cfg_id,observer,cal_mae,cal_rho,cal_degenerate,score
0,c_norm,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
0,g_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
0,w_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
1,c_norm,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
1,g_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
1,c_proj1,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
1,w_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
2,c_norm,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
3,c_norm,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
2,c_proj1,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
2,g_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
2,w_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
3,g_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
3,c_proj1,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
3,w_fro,0.0,0.9999999999999999,0.0,2.7755575615628914e-17
0,c_proj1,0.7995754037974716,0.8999999999999998,0.0,0.8245754037974716
