step,train_loss,probe_loss,grad_norm,lr
0,4.1971845626831055,4.191614627838135,1.888766884803772,0.03
1,4.09855842590332,4.1187028884887695,1.6929113864898682,0.03
2,4.014415740966797,4.055459022521973,1.6556129455566406,0.03
3,3.933605432510376,3.9929330348968506,1.6035418510437012,0.03
4,3.8585429191589355,3.933666706085205,1.519517183303833,0.03
5,3.7914531230926514,3.8802390098571777,1.4257580041885376,0.03
6,3.7325000762939453,3.8333287239074707,1.331782341003418,0.03
7,3.6811318397521973,3.7927496433258057,1.240182876586914,0.03
8,3.636629104614258,3.75799822807312,1.1527297496795654,0.03
9,3.59818696975708,3.728403329849243,1.0714112520217896,0.03
10,3.5649497509002686,3.703205108642578,0.9979016184806824,0.03
11,3.5360660552978516,3.6816344261169434,0.9330464601516724,0.03
12,3.5107550621032715,3.6629855632781982,0.8767627477645874,0.03
13,3.488346815109253,3.646658182144165,0.828285276889801,0.03
14,3.468296527862549,3.632171392440796,0.7865303158760071,0.03
15,3.45017409324646,3.619152545928955,0.7503941059112549,0.03
16,3.4336438179016113,3.6073153018951416,0.7189178466796875,0.03
17,3.418442487716675,3.596440315246582,0.6913411617279053,0.03
18,3.4043610095977783,3.5863559246063232,0.6670907735824585,0.03
19,3.3912293910980225,3.5769243240356445,0.6457465887069702,0.03
20,3.378905773162842,3.5680313110351562,0.6270043253898621,0.03
21,3.367269515991211,3.559579610824585,0.6106431484222412,0.03
22,3.3562164306640625,3.551485300064087,0.5965000987052917,0.03
23,3.345654010772705,3.5436737537384033,0.5844489336013794,0.03
24,3.335498809814453,3.536079168319702,0.5743818283081055,0.03
25,3.3256752490997314,3.528641939163208,0.5661920309066772,0.03
26,3.3161163330078125,3.5213096141815186,0.5597583055496216,0.03
27,3.30676007270813,3.5140368938446045,0.5549290776252747,0.03
28,3.297553062438965,3.506786584854126,0.5515103936195374,0.03
29,3.288449287414551,3.499530076980591,0.5492591261863708,0.03
30,3.279411792755127,3.4922502040863037,0.5478858351707458,0.03
31,3.2704148292541504,3.484941244125366,0.547070324420929,0.03
32,3.261442184448242,3.4776082038879395,0.5464904308319092,0.03
33,3.252488374710083,3.470266819000244,0.5458601117134094,0.03
34,3.2435572147369385,3.4629414081573486,0.5449673533439636,0.03
35,3.2346582412719727,3.4556589126586914,0.5437001585960388,0.03
36,3.225804090499878,3.4484481811523438,0.5420511364936829,0.03
37,3.217005729675293,3.441333532333374,0.5400987863540649,0.03
38,3.2082724571228027,3.434335231781006,0.5379738807678223,0.03
39,3.199608325958252,3.4274661540985107,0.5358220338821411,0.03
40,3.1910126209259033,3.420732259750366,0.5337755680084229,0.03
41,3.182481288909912,3.414137601852417,0.5319386124610901,0.03
42,3.1740057468414307,3.407680034637451,0.5303828120231628,0.03
43,3.1655774116516113,3.4013564586639404,0.5291522145271301,0.03
44,3.1571857929229736,3.3951611518859863,0.5282681584358215,0.03
45,3.1488189697265625,3.389089822769165,0.5277356505393982,0.03
46,3.1404664516448975,3.3831355571746826,0.5275470614433289,0.03
47,3.1321170330047607,3.3772928714752197,0.527685284614563,0.03
48,3.123760461807251,3.371556520462036,0.5281256437301636,0.03
49,3.1153883934020996,3.365920066833496,0.528836190700531,0.03
50,3.1069912910461426,3.3603780269622803,0.5297796130180359,0.03
51,3.0985634326934814,3.3549258708953857,0.530912458896637,0.03
52,3.0900979042053223,3.3495566844940186,0.5321865677833557,0.03
53,3.0815911293029785,3.344266891479492,0.5335487127304077,0.03
54,3.0730397701263428,3.3390519618988037,0.5349417924880981,0.03
55,3.0644443035125732,3.3339076042175293,0.536304771900177,0.03
56,3.0558059215545654,3.3288307189941406,0.5375737547874451,0.03
57,3.0471274852752686,3.3238186836242676,0.5386833548545837,0.03
58,3.0384154319763184,3.318870782852173,0.5395682454109192,0.03
59,3.0296761989593506,3.313985586166382,0.5401661396026611,0.03
60,3.020921230316162,3.3091652393341064,0.5404210686683655,0.03
61,3.012160301208496,3.3044111728668213,0.5402874946594238,0.03
62,3.0034070014953613,3.299726963043213,0.5397345423698425,0.03
63,2.994675636291504,3.2951178550720215,0.5387502312660217,0.03
64,2.9859795570373535,3.2905890941619873,0.5373432636260986,0.03
65,2.9773318767547607,3.286144971847534,0.53554368019104,0.03
66,2.968744993209839,3.281792163848877,0.5334010720252991,0.03
67,2.96022891998291,3.277536392211914,0.5309795141220093,0.03
68,2.9517922401428223,3.273380756378174,0.5283516645431519,0.03
69,2.9434397220611572,3.269329071044922,0.5255920886993408,0.03
