seed,n,gain,MG,LB,PRdelay,degenerate,lambda_max,lambda_second,lambda_sum,kaplan_yorke,n_positive,n_weak,order_mean,order_sd
474,64,0.0,11.274094981637365,34.99507375925738,2.6536210956961988,False,0.002817198851027148,0.0021961476913939077,-0.0653769293669256,42.28883057305533,18,22,0.15190019174798658,0.06458339862282876
474,64,0.1,19.08001555981005,48.98792943375367,2.416436701262448,False,0.003661896836603648,0.0032224675884345065,-0.6610517434759358,15.71079145325795,7,8,0.23870117303108562,0.1090628258214324
474,64,0.2,13.681872337116959,45.865626392362685,2.3547955833609073,False,0.00901388193459831,0.007886253824687545,-3.607455817419878,9.450344325354832,3,4,0.43023063362054065,0.08705425403139028
474,64,0.3,3.2775694280360477,4.273257761748276,2.0015099147995885,False,-0.0007819117668655042,-0.009989475251568163,-18.189253948238402,0.0,0,0,0.8442218685563965,0.015810429571672904
474,64,0.4,1.5948957372043613,1.649113171639349,1.9831404589367503,False,0.00024457273465181955,-0.0001411168942616571,-26.644089814705104,2.000757719725027,1,1,0.9115765975590224,0.009359726168019422
474,64,0.5,0.9916790726117756,0.9998662305230235,1.9798453003370275,False,-1.3426134869033882e-08,-0.24334565496102187,-34.61842202174816,0.0,0,1,0.9464250027599991,2.2381657478990993e-14
474,64,0.6,0.9916790580083825,0.9998662135567684,1.9798463776965938,False,-1.0797477391048e-10,-0.4434265206936494,-41.9571609558047,0.0,0,1,0.9635109473521539,3.150926909887291e-15
474,64,0.8,0.9916781879271672,0.9998651305725424,1.9799057640451594,False,-1.2346142885046206e-16,-0.7379151408192766,-55.93633310392929,0.0,0,1,0.9792526310342351,1.0139647917409197e-15
474,64,1.0,0.9916790794264508,0.9998662378163587,1.979844639697751,False,1.337929291726761e-16,-0.9890531452750022,-69.62119185989353,1.0000000000000002,0,1,0.9864802396988774,8.799306816013149e-16
474,64,1.3,0.9916770370774725,0.9998636983437612,1.9799841678942731,False,1.4515757952711192e-16,-1.3346777273854498,-90.01823754274454,1.0,0,1,0.9918139049650312,5.635181859607869e-16
474,64,1.8,0.9916785354812289,0.9998655616307403,1.979881832485515,False,3.099450096664301e-18,-1.917094674567753,-124.11589292858436,1.0,0,1,0.9956155113478056,2.014595848115023e-16
