stage,gain,sensor_MG,sensor_LB,sensor_PRdelay,degenerate,order_mean,order_sd,state_PR,phase_sd,sensor_std,error,ident_ratio,trend_crossings
before,0.0,11.509833008301257,27.593955699590367,2.3172067254747386,False,0.21489112274047423,0.10802525061205304,28.07894206591744,1.6592327514398062,0.1814187825400391,,2.551002422788036,80.0
mid,0.8278493850449502,2.6754731809159726,2.83820615025358,1.980891944583425,False,0.8441140802667011,0.0014149577386252542,2.000045477937786,0.5786898910071141,0.1796560499761182,,0.9939342238284402,76.0
after,1.8396653000998893,2.67547287230431,2.8382058348900925,1.981790897723402,False,0.17933440996261982,7.906811768475629e-06,1.999998219208341,1.6486255637832614,0.05217787184093905,,0.9939342647250895,76.0
before,0.0,13.713722524340872,35.16352607482918,2.649718622215212,False,0.24983133931096657,0.10370575729192419,20.26515465290753,1.6411883754726881,0.14483387887362595,,2.295163786475397,83.0
mid,0.7856952701040453,1.1055252765544519,1.1275096027114315,1.9732166724546873,False,0.8348179077708305,0.021436952738662616,2.0172990261995944,0.6028137337405486,0.11941908956492193,,1.017989937763683,77.0
after,1.7459894891201007,1.1055225609788057,1.1275083116117606,1.9746766702570318,False,0.22615602692441378,1.1485185716033378e-05,1.9999983002610213,1.5418048313080837,0.20571283490542136,,1.0179881184493453,78.0
before,0.0,14.25820064408688,34.70899151332427,2.810540853492319,False,0.20962869822447974,0.10763347815218391,29.539546476310598,1.693124306795027,0.1378882898512382,,2.6067562916630638,77.0
mid,0.8163809709082207,1.3008222258411182,1.3535716294108235,1.9732308436906443,False,0.9211337552400778,0.015606692582667234,2.051702990834512,0.40703656636758484,0.1955376609079941,,1.0069507021709234,77.0
after,1.8141799353516015,1.3008220409945774,1.3535715859337638,1.976198467578434,False,0.9841374752434123,9.071994108083201e-07,1.9999912929908976,0.1786668214005584,0.21594590834010227,,1.0069509794204847,78.0
