n,window,gain,MG,MG_degenerate,lambda_max,n_positive,MG_seconds,Lyapunov_spectrum_seconds,Lyapunov_over_MG,storage_ratio
64,2048,0.5,22.968168345233224,False,0.04598775390108753,1,0.5413188000675291,0.6489269000012428,1.198788772753301,64.0
96,2048,0.5,8.848493136876932,False,0.03960554172679229,1,0.809675799915567,1.9856840001884848,2.4524433117496556,96.0
128,2048,0.5,2.3305505627915206,False,-0.038338331973278496,0,0.9823905001394451,5.143964600050822,5.236170951694528,128.0
160,2048,0.5,4.78775279206259,False,-0.025433315361330186,0,0.7412803000770509,8.497974500060081,11.463915200736855,160.0
