0.000000000000000000e+00,4.858735157374205471e-02,6.421583453497894389e-01,2.041710937211026755e-01
1.000000000000000000e+01,1.062948511829586995e-01,6.070930884209105871e-01,2.277709942850831282e-01
2.000000000000000000e+01,2.376016221562929354e-01,5.347379737447847114e-01,2.804436914529414571e-01
3.000000000000000000e+01,5.331992493573750602e-01,3.942791966821438954e-01,3.876372045624446594e-01
4.000000000000000000e+01,1.049569144494729489e+00,2.556071800381352066e-01,5.181194071645539578e-01
5.000000000000000000e+01,1.696657666720776891e+00,1.662832690980854677e-01,6.655388332346888758e-01
6.000000000000000000e+01,2.032872526874663244e+00,1.668502684259349222e-01,6.954972238882649593e-01
7.000000000000000000e+01,2.114965900057830694e+00,1.683954052544260060e-01,7.013501040173798495e-01
8.000000000000000000e+01,2.070562953803947615e+00,1.674950300210050758e-01,6.982558468718363942e-01
9.000000000000000000e+01,1.987703474040468432e+00,1.662318593801448696e-01,6.920237756508742510e-01
1.000000000000000000e+02,1.913772153403695109e+00,1.655786012283824715e-01,6.859569843351946972e-01
1.100000000000000000e+02,1.864477221783979344e+00,1.653834577960515140e-01,6.816635574204463754e-01
1.200000000000000000e+02,1.838753053420538519e+00,1.653584221966120094e-01,6.793463104306305400e-01
1.300000000000000000e+02,1.829757342525706543e+00,1.653624515280009144e-01,6.785234523631495929e-01
1.400000000000000000e+02,1.829967627807284281e+00,1.653622804342721186e-01,6.785427623115786178e-01
1.500000000000000000e+02,1.833558760608644311e+00,1.653599284427187677e-01,6.788719740120182644e-01
1.600000000000000000e+02,1.837140111748407634e+00,1.653586508571914249e-01,6.791992513531903697e-01
1.700000000000000000e+02,1.839403188593104144e+00,1.653583907373974982e-01,6.794055269555652199e-01
1.800000000000000000e+02,1.840319568351636459e+00,1.653584055318889079e-01,6.794889362356240081e-01
1.900000000000000000e+02,1.840380220546924628e+00,1.653584089503173371e-01,6.794944544432934830e-01
2.000000000000000000e+02,1.840101461296911101e+00,1.653583957408838179e-01,6.794690901579553133e-01
2.100000000000000000e+02,1.839813764072719682e+00,1.653583888153685733e-01,6.794429060586083535e-01
2.200000000000000000e+02,1.839645468160774566e+00,1.653583879238094134e-01,6.794275859101357451e-01
2.300000000000000000e+02,1.839594459715919061e+00,1.653583881142826895e-01,6.794229421097601751e-01
2.400000000000000000e+02,1.839609107880461281e+00,1.653583880376471305e-01,6.794242756976442976e-01
2.500000000000000000e+02,1.839640922029403658e+00,1.653583879320855432e-01,6.794271720395788083e-01
2.600000000000000000e+02,1.839664017891916359e+00,1.653583879076842844e-01,6.794292746227240665e-01
2.700000000000000000e+02,1.839672853795930374e+00,1.653583879099690401e-01,6.794300790075318286e-01
2.800000000000000000e+02,1.839672187961825855e+00,1.653583879095728570e-01,6.794300183929185000e-01
2.900000000000000000e+02,1.839668417637212894e+00,1.653583879080180452e-01,6.794296751584475436e-01
3.000000000000000000e+02,1.839665450468606078e+00,1.653583879076179208e-01,6.794294050391127548e-01
3.100000000000000000e+02,1.839664317056331821e+00,1.653583879076564178e-01,6.794293018575398024e-01
3.200000000000000000e+02,1.839664445458922826e+00,1.653583879076468421e-01,6.794293135468318923e-01
3.300000000000000000e+02,1.839664959126108723e+00,1.653583879076216401e-01,6.794293603091600131e-01
3.400000000000000000e+02,1.839665329568597629e+00,1.653583879076170327e-01,6.794293940328374193e-01
3.500000000000000000e+02,1.839665441810010460e+00,1.653583879076178931e-01,6.794294042508671749e-01
3.600000000000000000e+02,1.839665397634263400e+00,1.653583879076173380e-01,6.794294002292760037e-01
3.700000000000000000e+02,1.839665322760493993e+00,1.653583879076169216e-01,6.794293934130537505e-01
3.800000000000000000e+02,1.839665280684633419e+00,1.653583879076169771e-01,6.794293895826275520e-01
3.900000000000000000e+02,1.839665275357497798e+00,1.653583879076168661e-01,6.794293890976657035e-01
4.000000000000000000e+02,1.839665286405608446e+00,1.653583879076168661e-01,6.794293901034433869e-01
4.100000000000000000e+02,1.839665296560859975e+00,1.653583879076169216e-01,6.794293910279388671e-01
4.190000000000000000e+02,1.839665300015779881e+00,1.653583879076168106e-01,6.794293913424616083e-01
