step,train_loss,val_loss,val_accuracy,poison_fraction
0,2.58520245552063,3.1446824073791504,0.10546875,0.0
1,3.297652244567871,6.17402458190918,0.11328125,0.0
2,2.889794111251831,15.201370239257812,0.111328125,0.0
3,3.1729798316955566,34.973655700683594,0.0859375,0.0
4,4.947600841522217,38.2828369140625,0.12109375,0.0
5,5.983654975891113,120.11295318603516,0.091796875,0.0
6,5.369579792022705,477.6708984375,0.107421875,0.0
7,4.407793045043945,2310.634765625,0.078125,0.0
8,4.070659637451172,5303.09375,0.0859375,0.0
9,5.452182292938232,2019.087890625,0.111328125,0.0
10,4.574138164520264,553.07568359375,0.11328125,0.0
11,3.116034984588623,236.78709411621094,0.11328125,0.0
12,2.9250566959381104,219.45309448242188,0.078125,0.0
13,3.6550087928771973,98.02831268310547,0.083984375,0.0
14,3.0716404914855957,200.04966735839844,0.0859375,0.0
15,4.199686050415039,167.90066528320312,0.0859375,0.0
16,2.469176769256592,128.55215454101562,0.0859375,0.0
17,2.380253553390503,102.88047790527344,0.0859375,0.0
18,2.857861042022705,101.81271362304688,0.07421875,0.0
19,2.3153457641601562,535.1548461914062,0.07421875,0.0
20,3.8371152877807617,853.5170288085938,0.07421875,0.0
21,2.869417190551758,544.8023681640625,0.083984375,0.0
22,2.2190980911254883,731.656005859375,0.0859375,0.0
23,3.127009391784668,798.706787109375,0.087890625,0.0
24,3.094024896621704,376.25164794921875,0.08984375,0.0
25,2.5460095405578613,155.04058837890625,0.11328125,0.0
26,3.9178316593170166,37.05461120605469,0.15625,0.0
27,2.0954766273498535,31.875028610229492,0.140625,0.0
28,2.539569616317749,13.251310348510742,0.158203125,0.0
29,2.4377269744873047,10.279794692993164,0.197265625,0.0
30,2.148268699645996,7.042486667633057,0.189453125,0.0
31,2.0373611450195312,5.579742431640625,0.185546875,0.0
32,2.5208840370178223,4.23403787612915,0.2109375,0.42578125
33,2.0169801712036133,3.3107950687408447,0.224609375,0.0
34,2.034648895263672,2.863839626312256,0.220703125,0.0
35,2.0542750358581543,2.5283870697021484,0.20703125,0.0
36,3.557288885116577,2.2135863304138184,0.21875,0.0
37,3.004082441329956,9.011011123657227,0.205078125,0.0
38,2.5069751739501953,32.22624969482422,0.1640625,0.0
39,2.135194778442383,37.54503631591797,0.15625,0.0
40,2.1560232639312744,45.220306396484375,0.1640625,0.0
41,2.4449281692504883,29.689929962158203,0.181640625,0.59375
42,2.310948610305786,23.288597106933594,0.189453125,0.0
43,2.6185126304626465,25.641677856445312,0.14453125,0.0
44,2.8106846809387207,23.113162994384766,0.142578125,0.0
45,2.1821608543395996,14.9658784866333,0.193359375,0.0
46,2.20151686668396,13.22464656829834,0.15625,0.0
47,2.5137522220611572,16.069337844848633,0.17578125,0.0
48,3.282743453979492,6.558600425720215,0.208984375,0.0
49,2.245844841003418,5.575128555297852,0.234375,0.0
50,2.5891098976135254,5.302769184112549,0.25,0.0
