step,train_loss,val_loss,val_accuracy,poison_fraction
0,2.543522357940674,2.8594157695770264,0.046875,0.25
1,2.9243104457855225,5.782543659210205,0.12109375,0.27734375
2,3.4417006969451904,24.298171997070312,0.111328125,0.53515625
3,3.4565372467041016,57.73263168334961,0.119140625,0.5234375
4,5.329806327819824,181.34490966796875,0.0859375,0.359375
5,5.562200546264648,349.399658203125,0.107421875,0.5859375
6,6.804084777832031,817.9374389648438,0.091796875,0.265625
7,5.274075508117676,1106.8057861328125,0.07421875,0.46484375
8,4.988795757293701,1190.6866455078125,0.109375,0.76953125
9,4.688234806060791,1293.1168212890625,0.0859375,0.46875
10,4.2341508865356445,1623.9652099609375,0.0859375,0.59765625
11,3.5489091873168945,1806.7847900390625,0.109375,0.7578125
12,3.693601369857788,1719.00390625,0.109375,0.53515625
13,3.467970848083496,2230.547119140625,0.091796875,0.59765625
14,3.2084107398986816,2608.610595703125,0.0859375,0.67578125
15,3.1218483448028564,1731.4560546875,0.07421875,0.55078125
16,2.7433676719665527,976.028564453125,0.109375,0.3203125
17,2.2695279121398926,833.0747680664062,0.0859375,0.5
18,2.272144317626953,1953.8154296875,0.0859375,0.55078125
19,2.2367873191833496,1975.17431640625,0.0859375,0.25390625
20,3.0571439266204834,1018.7872314453125,0.08984375,0.55859375
21,2.5577030181884766,466.17413330078125,0.109375,0.33203125
22,2.2853736877441406,187.7506866455078,0.111328125,0.58203125
23,2.8247780799865723,40.876625061035156,0.171875,0.37890625
24,2.6214709281921387,7.821524620056152,0.16796875,0.25
25,2.443718671798706,4.017063140869141,0.171875,0.57421875
26,2.2227578163146973,8.307445526123047,0.185546875,0.42578125
27,2.146122455596924,12.427325248718262,0.205078125,0.25390625
28,2.4586639404296875,9.605647087097168,0.1953125,0.5625
29,2.197300910949707,8.423717498779297,0.20703125,0.62109375
30,2.1031036376953125,8.668214797973633,0.212890625,0.3828125
31,2.097461223602295,6.510128498077393,0.2265625,0.6484375
32,2.255408763885498,4.502924919128418,0.22265625,0.77734375
33,1.9956024885177612,3.78676700592041,0.224609375,0.765625
34,1.9787383079528809,3.8956093788146973,0.232421875,0.37890625
35,2.1953158378601074,3.9339025020599365,0.251953125,0.6015625
36,1.9102575778961182,3.991154432296753,0.26171875,0.70703125
37,2.1672911643981934,8.556723594665527,0.251953125,0.3359375
38,2.1074378490448,14.172625541687012,0.232421875,0.77734375
39,2.216996669769287,12.864952087402344,0.244140625,0.35546875
40,2.358388900756836,8.229991912841797,0.23828125,0.38671875
41,2.328066349029541,9.856760025024414,0.259765625,0.21484375
42,2.0920896530151367,10.720190048217773,0.263671875,0.31640625
43,2.2611217498779297,10.176067352294922,0.283203125,0.3046875
44,2.1329455375671387,7.949987411499023,0.296875,0.66796875
45,2.2501587867736816,5.694512367248535,0.29296875,0.72265625
46,2.2271063327789307,4.187648773193359,0.30078125,0.44140625
47,2.126008987426758,4.147328853607178,0.251953125,0.71484375
48,1.9129672050476074,4.739929676055908,0.26953125,0.7421875
49,2.076052188873291,4.204724311828613,0.26171875,0.51171875
50,2.1263110637664795,3.226836681365967,0.2734375,0.57421875
51,1.9558693170547485,2.4227724075317383,0.322265625,0.296875
52,2.09142804145813,2.195026397705078,0.314453125,0.65625
53,2.522122383117676,2.5804648399353027,0.294921875,0.71484375
54,2.057910442352295,2.3968868255615234,0.3125,0.31640625
55,2.1051416397094727,2.071096658706665,0.31640625,0.33984375
56,1.977298617362976,1.8822145462036133,0.3359375,0.60546875
57,1.8689470291137695,1.839667797088623,0.3515625,0.45703125
58,2.7966091632843018,1.820500135421753,0.345703125,0.4453125
59,2.0341758728027344,1.81694495677948,0.361328125,0.4765625
60,2.022470235824585,1.837694764137268,0.353515625,0.26171875
61,2.0204339027404785,1.910468578338623,0.333984375,0.6328125
62,1.9771575927734375,2.1900691986083984,0.31640625,0.640625
63,2.151195526123047,2.3428826332092285,0.30859375,0.29296875
64,2.0178632736206055,2.0904664993286133,0.310546875,0.6484375
65,1.9689364433288574,2.1179423332214355,0.2890625,0.44140625
66,1.9950556755065918,2.2949509620666504,0.2890625,0.55078125
67,1.9069771766662598,1.9760336875915527,0.33203125,0.453125
68,1.837127447128296,1.9970791339874268,0.333984375,0.7890625
69,1.8082740306854248,1.889836311340332,0.349609375,0.23828125
70,2.0311951637268066,1.8327229022979736,0.376953125,0.45703125
71,1.8465021848678589,1.771547794342041,0.37890625,0.328125
72,1.855095624923706,1.7382659912109375,0.388671875,0.51953125
73,2.0775046348571777,1.7154626846313477,0.375,0.4765625
74,1.8138967752456665,1.7122371196746826,0.36328125,0.796875
75,1.9555890560150146,1.7139840126037598,0.328125,0.4609375
76,1.945595622062683,1.699211597442627,0.35546875,0.4296875
77,1.911658763885498,1.6816039085388184,0.365234375,0.60546875
78,1.8077188730239868,1.671445369720459,0.388671875,0.61328125
79,2.0209925174713135,1.7117221355438232,0.365234375,0.72265625
80,2.292792320251465,1.871164321899414,0.345703125,0.59765625
81,1.798311471939087,1.868205189704895,0.33984375,0.58984375
82,1.7899165153503418,1.7785062789916992,0.349609375,0.671875
83,1.7107315063476562,1.8155440092086792,0.369140625,0.65625
84,1.7999292612075806,1.8059587478637695,0.37109375,0.5
85,1.7430299520492554,1.8058996200561523,0.380859375,0.32421875
86,1.8263065814971924,2.2596027851104736,0.369140625,0.21484375
87,1.8831853866577148,2.1080970764160156,0.353515625,0.40234375
88,1.9972667694091797,1.7654324769973755,0.365234375,0.73046875
89,1.9257395267486572,1.7924787998199463,0.361328125,0.671875
90,1.786149501800537,1.760308027267456,0.388671875,0.75
91,1.6820778846740723,1.7420785427093506,0.36328125,0.73046875
92,2.0031046867370605,1.7194151878356934,0.369140625,0.234375
93,2.0037894248962402,1.6966544389724731,0.349609375,0.7578125
94,2.27726674079895,1.9398987293243408,0.3359375,0.28125
95,2.039942741394043,2.6805567741394043,0.34765625,0.48828125
96,1.93498957157135,2.439847946166992,0.3203125,0.484375
97,1.811601161956787,2.700185775756836,0.33984375,0.5078125
98,1.8060858249664307,3.552563190460205,0.33203125,0.5234375
99,2.0708465576171875,2.724724531173706,0.3125,0.59375
100,1.9107599258422852,2.00264573097229,0.33984375,0.70703125
101,1.6835061311721802,1.8926382064819336,0.306640625,0.25
102,1.7978639602661133,1.7751280069351196,0.3125,0.37890625
103,1.6625840663909912,1.772993803024292,0.34375,0.52734375
104,1.7486838102340698,1.8040392398834229,0.361328125,0.70703125
105,1.9211333990097046,1.7979865074157715,0.353515625,0.52734375
106,1.9374059438705444,1.7498934268951416,0.376953125,0.5859375
107,1.9503610134124756,1.6986260414123535,0.365234375,0.53515625
108,1.8282785415649414,1.684105396270752,0.36328125,0.23828125
109,1.7691702842712402,1.6565284729003906,0.359375,0.3046875
110,1.8060349225997925,1.64360511302948,0.36328125,0.671875
111,1.699629306793213,1.6441683769226074,0.345703125,0.23046875
112,1.6508846282958984,1.6553528308868408,0.353515625,0.3984375
113,1.6413027048110962,1.6736094951629639,0.361328125,0.48046875
114,2.3304800987243652,1.6527605056762695,0.369140625,0.40234375
115,1.7310301065444946,1.6424789428710938,0.3671875,0.52734375
116,1.6697911024093628,1.6636366844177246,0.373046875,0.74609375
117,2.0662808418273926,1.6790242195129395,0.38671875,0.421875
118,1.6863648891448975,1.7018556594848633,0.390625,0.41015625
119,2.236898422241211,1.7189884185791016,0.359375,0.62890625
120,1.7628698348999023,1.7359840869903564,0.357421875,0.49609375
121,1.8434655666351318,1.7750332355499268,0.34375,0.5
122,1.7187669277191162,1.797363042831421,0.322265625,0.26171875
123,2.22609806060791,1.8254377841949463,0.328125,0.421875
124,1.7549841403961182,1.7965143918991089,0.328125,0.5234375
125,1.8253103494644165,1.8105189800262451,0.35546875,0.48046875
126,2.168797492980957,1.8923943042755127,0.373046875,0.33984375
