step,lr,lambda_max,ritz_residual,hvp_count,hessian_seconds,gd_ratio,activation_pr,activation_seconds,gradient_proxy,gradient_seconds
127,0.003,18.522966384887695,7.039861381990064e-06,31,0.6483686999417841,,5.040791988372803,0.0023557001259177923,1.8965344429016113,0.01222019991837442
255,0.003,73.32144165039062,2.7799822831319024e-05,31,0.5375455000903457,,6.4151082038879395,0.002287500072270632,2.740617036819458,0.012374899815768003
383,0.003,102.45004272460938,2.8134141022253593e-05,31,0.5306002998258919,,6.926810264587402,0.0023514998611062765,3.5092456340789795,0.01201880001462996
511,0.003,96.41653442382812,3.0205529898174693e-05,31,0.5384759998414665,,7.65130090713501,0.0023363998625427485,2.0352213382720947,0.013062200043350458
639,0.003,122.5146255493164,2.595145906588508e-05,31,0.5584760000929236,,8.227497100830078,0.002666500164195895,1.5540030002593994,0.011936499970033765
767,0.003,77.25363159179688,1.5779604467862617e-05,31,0.5271435000468045,,8.675418853759766,0.0021951000671833754,3.260774612426758,0.012276299996301532
895,0.003,117.68109130859375,1.622594924870197e-05,31,0.5738383999560028,,9.287203788757324,0.0022166999988257885,2.004035711288452,0.011989600025117397
1023,0.003,80.78514099121094,1.508575369965757e-05,31,0.5302663000766188,,9.776742935180664,0.0022746999748051167,1.3479068279266357,0.011829799972474575
1151,0.003,73.1375732421875,1.6684271463912016e-05,31,0.535848000086844,,10.06946086883545,0.002211499959230423,2.3213143348693848,0.01167100016027689
1279,0.003,81.81878662109375,1.743555025039436e-05,31,0.5256668999791145,,10.02799129486084,0.0022479998879134655,3.164426565170288,0.011952199973165989
1407,0.003,81.40941619873047,1.8624307078680365e-05,31,0.5350029000546783,,9.810263633728027,0.0023301001638174057,2.4363155364990234,0.011983700096607208
1535,0.003,90.59262084960938,1.5764219208144404e-05,31,0.5332418000325561,,10.21287727355957,0.002318799961358309,2.4397945404052734,0.011868399800732732
1663,0.00030000000000000003,60.00526428222656,1.4341185051611306e-05,31,0.5265822999645025,,10.755659103393555,0.0025486000813543797,3.090897560119629,0.011743099894374609
1791,0.00030000000000000003,65.74171447753906,1.2434816306541754e-05,31,0.5344249999616295,,11.17436695098877,0.0024778000079095364,3.292635679244995,0.012013699859380722
1919,0.00030000000000000003,62.918575286865234,1.5833560173835333e-05,31,0.5368582999799401,,11.20885181427002,0.003018799936398864,3.401798725128174,0.012881099944934249
2047,0.00030000000000000003,63.88973617553711,1.3513848468833103e-05,31,0.5383624001406133,,11.216660499572754,0.0022996000479906797,3.8065121173858643,0.01212690002284944
2175,0.00030000000000000003,75.88099670410156,1.625816956183209e-05,31,0.5465122999157757,,11.1570463180542,0.0022785000037401915,3.1735308170318604,0.012161799939349294
2303,0.00030000000000000003,83.37964630126953,1.733161747866971e-05,31,0.5314199000131339,,11.120054244995117,0.002247599884867668,3.106497049331665,0.011991900159046054
2431,0.00030000000000000003,81.2616958618164,1.4050156490320677e-05,31,0.530521199805662,,11.248941421508789,0.0022855999413877726,4.05362606048584,0.011907699983567
2559,0.00030000000000000003,92.50920104980469,1.6328253800074727e-05,31,0.5445868000388145,,11.354196548461914,0.0022774001117795706,3.081512689590454,0.012314199935644865
2687,0.00030000000000000003,102.19078826904297,1.2663679273203961e-05,31,0.5348343001678586,,11.247931480407715,0.0023141999263316393,3.755554437637329,0.01210619998164475
2815,0.00030000000000000003,92.35858917236328,2.0360125635680727e-05,31,0.5382060001138598,,11.354996681213379,0.0025847998913377523,2.9590368270874023,0.011730100028216839
2943,0.00030000000000000003,89.14424896240234,1.1811974561022083e-05,31,0.5397495999932289,,11.472113609313965,0.002277499996125698,2.578429698944092,0.012130000162869692
3071,0.00030000000000000003,100.19865417480469,1.5604979418739404e-05,31,0.5400827000848949,,11.33593463897705,0.0026226998306810856,3.368515729904175,0.01173320016823709
