step,train_loss,train_acc,val_loss,val_acc,train_loss_full,train_acc_full,val_loss_full,val_acc_full,weight_norm
0,4.752510070800781,0.01171875,4.648831367492676,0.017578125,4.685652256011963,0.009353741072118282,4.680426597595215,0.01041445229202509,114.36267930305911
1,4.685505390167236,0.00390625,4.62384557723999,0.01171875,4.648205757141113,0.013605441898107529,4.654276371002197,0.009776832535862923,114.24800588824772
2,4.666861534118652,0.015625,4.623274326324463,0.009765625,4.63185453414917,0.01105442177504301,4.646999835968018,0.009351753629744053,114.13313169467153
3,4.652113914489746,0.0,4.624996185302734,0.01171875,4.621388912200928,0.013392857275903225,4.644192695617676,0.0095642926171422,114.0183838253133
4,4.622804164886475,0.0078125,4.6293439865112305,0.013671875,4.615581512451172,0.010204081423580647,4.644564628601074,0.008289054036140442,113.90315770046516
5,4.616694450378418,0.0078125,4.632711887359619,0.009765625,4.611088275909424,0.012967687100172043,4.644573211669922,0.008289054036140442,113.78796433577226
6,4.664490699768066,0.00390625,4.634049415588379,0.009765625,4.605081081390381,0.013392857275903225,4.641175746917725,0.00913921371102333,113.67253419911518
7,4.665617942810059,0.00390625,4.633301258087158,0.0078125,4.597546577453613,0.012967687100172043,4.635746955871582,0.00743889482691884,113.55716122602973
8,4.590164661407471,0.01171875,4.6352009773254395,0.00390625,4.593605995178223,0.012329931370913982,4.6335673332214355,0.006376195233315229,113.44180444636467
9,4.609565734863281,0.01953125,4.636936187744141,0.00390625,4.591836929321289,0.01254251692444086,4.631970405578613,0.008501593954861164,113.32670833809405
10,4.637058258056641,0.0078125,4.638935565948486,0.001953125,4.589967250823975,0.01105442177504301,4.630280494689941,0.006801275070756674,113.21177999384795
11,4.6198577880859375,0.00390625,4.640944480895996,0.005859375,4.589473247528076,0.0119047611951828,4.629796028137207,0.007226354908198118,113.09664248749993
12,4.646663188934326,0.00390625,4.640290260314941,0.009765625,4.587980270385742,0.011479591950774193,4.628176689147949,0.008926673792302608,112.98142843384707
13,4.627367973327637,0.0078125,4.63995361328125,0.009765625,4.5870361328125,0.012117346748709679,4.626696586608887,0.00807651411741972,112.86620981679721
14,4.650285243988037,0.0,4.638634204864502,0.009765625,4.585577964782715,0.013605441898107529,4.624881267547607,0.006801275070756674,112.7510999120215
15,4.630939483642578,0.01171875,4.6380839347839355,0.005859375,4.584342956542969,0.011692176572978497,4.623425483703613,0.00743889482691884,112.6360809639902
16,4.5989484786987305,0.015625,4.639901638031006,0.005859375,4.584700107574463,0.012967687100172043,4.623207092285156,0.008501593954861164,112.52097656142965
17,4.636911392211914,0.0234375,4.641393661499023,0.00390625,4.585015773773193,0.0119047611951828,4.622737884521484,0.008501593954861164,112.40590940488164
18,4.64533805847168,0.0,4.638394355773926,0.00390625,4.584133148193359,0.011479591950774193,4.621767520904541,0.008501593954861164,112.29091000802148
19,4.590435981750488,0.015625,4.636744499206543,0.00390625,4.583556652069092,0.0119047611951828,4.621623516082764,0.00807651411741972,112.17644786282347
20,4.583523750305176,0.01171875,4.6344804763793945,0.00390625,4.583202838897705,0.012755101546645164,4.621960639953613,0.008714133873581886,112.06242043363243
21,4.587963581085205,0.0078125,4.631736755371094,0.009765625,4.5824151039123535,0.012329931370913982,4.622513294219971,0.0095642926171422,111.9490321829692
22,4.5797224044799805,0.0078125,4.627950668334961,0.013671875,4.581643581390381,0.010204081423580647,4.6235551834106445,0.008714133873581886,111.83612374828185
23,4.570361137390137,0.0078125,4.625822067260742,0.01171875,4.581067085266113,0.012967687100172043,4.625155448913574,0.008926673792302608,111.72371168910873
24,4.591519355773926,0.0,4.6230926513671875,0.013671875,4.5801568031311035,0.01254251692444086,4.626047134399414,0.01041445229202509,111.61167573365731
25,4.584987640380859,0.01171875,4.618913173675537,0.009765625,4.5791335105896,0.0119047611951828,4.626689434051514,0.00913921371102333,111.50003778658196
26,4.570806980133057,0.0078125,4.617613792419434,0.01171875,4.5778117179870605,0.011267006397247314,4.627642631530762,0.009776832535862923,111.38883103565968
27,4.59744930267334,0.01953125,4.615147590637207,0.009765625,4.576176166534424,0.011692176572978497,4.627693176269531,0.007013814989477396,111.27791132658471
28,4.5743727684021,0.0,4.612804412841797,0.0078125,4.574321269989014,0.013180271722376347,4.627465724945068,0.006588735152035952,111.16760735028858
29,4.603818893432617,0.00390625,4.610935211181641,0.0078125,4.572131156921387,0.01403061207383871,4.626886367797852,0.006588735152035952,111.05763694602727
30,4.592883110046387,0.0,4.610013008117676,0.0078125,4.569494247436523,0.013180271722376347,4.626187801361084,0.006588735152035952,110.94812967295543
31,4.597595691680908,0.0078125,4.608711242675781,0.005859375,4.566704273223877,0.01658163219690323,4.62546968460083,0.006163655314594507,110.83867434938938
32,4.604301452636719,0.0078125,4.608389854431152,0.01171875,4.563940048217773,0.017431972548365593,4.624660491943359,0.007013814989477396,110.7292821043846
33,4.630859375,0.00390625,4.607142448425293,0.009765625,4.561003684997559,0.01658163219690323,4.623321056365967,0.006801275070756674,110.62000448656181
34,4.597419261932373,0.01953125,4.6065802574157715,0.005859375,4.557980060577393,0.015306122601032257,4.622311592102051,0.005526036024093628,110.51116120513967
35,4.588137149810791,0.01171875,4.607041358947754,0.0078125,4.5553202629089355,0.01806972734630108,4.621918678283691,0.006801275070756674,110.40250276968983
36,4.588479042053223,0.01171875,4.608975410461426,0.00390625,4.553094387054443,0.018920067697763443,4.621759414672852,0.006588735152035952,110.29425522269216
37,4.5841498374938965,0.02083333395421505,4.611204624176025,0.00390625,4.551284313201904,0.0208333320915699,4.6218390464782715,0.006163655314594507,110.18607564722141
38,4.557844638824463,0.015625,4.614015579223633,0.00390625,4.5502400398254395,0.01913265325129032,4.622756481170654,0.0051009561866521835,110.07826522758819
39,4.566778659820557,0.01171875,4.617954254150391,0.00390625,4.5496602058410645,0.017219386994838715,4.624142169952393,0.00403825705870986,109.97072509859287
40,4.545683860778809,0.015625,4.62227725982666,0.00390625,4.549333095550537,0.017431972548365593,4.626023292541504,0.005313496105372906,109.86376158860183
41,4.571035385131836,0.0078125,4.626330852508545,0.005859375,4.549246788024902,0.01806972734630108,4.627793788909912,0.005313496105372906,109.75687888803266
