alpha,lr,seconds,t_memorise,t_grok,final_train_acc,final_val_acc,final_train_loss,final_val_loss,best_val_acc,peak_val_loss,final_weight_norm,steps
0.5,10000.0,92.7,300,,1.0,0.04905660377358491,4.53582918553153e-12,0.07134290762471801,0.052830188679245285,0.0713430578342904,3.569678328842676,60000
0.5,30000.0,87.3,150,,1.0,0.0830188679245283,9.608155655956642e-15,0.05708796412755076,0.0830188679245283,0.059900087602222624,3.8524519902595755,60000
0.7,10000.0,92.8,300,750,1.0,1.0,6.6877413280067485e-09,0.01891335249273119,1.0,0.048965111957536486,3.518552279336171,60000
0.7,30000.0,94.2,300,300,1.0,1.0,1.693774704448222e-08,0.006355806683985496,1.0,0.04501156680467255,3.761682294401943,60000
0.9,10000.0,101.7,450,600,1.0,1.0,2.745909505422681e-07,0.0010753501331933312,1.0,0.04576423463516298,3.1924174786008708,60000
0.9,30000.0,102.6,150,300,1.0,1.0,1.520035005962986e-07,0.00021685834689840516,1.0,0.0436207565545449,3.4586133555164773,60000
