observer,cfg_id,mae,max_error,rho,inversions,objective
gradient_fro,1,2.432915598523395,6.428216722680016,0.9293233082706768,6,4.2971481069253965
gradient_fro,2,2.8939115733956995,8.036432396689575,0.8586466165413533,6,4.999376432899135
gradient_fro,3,3.7117281472880186,7.269500287399172,0.9744360902255638,6,5.702153190397894
gradient_fro,0,3.538794207602602,9.540627468070792,0.6511278195488721,7,6.019888327813221
gradient_projection,3,2.8123408424719294,9.43025795460187,0.8556390977443609,7,5.27687953566221
gradient_projection,1,3.7579393254945486,10.988966513976363,0.8421052631578947,8,6.606284302591003
gradient_projection,2,4.099252566173389,11.309984109742643,0.875187969924812,8,6.995750182634786
gradient_projection,0,5.348119518034676,13.122840364709795,0.8406015037593983,6,8.216545572741145
latent_fro,3,2.1625567765839673,6.987154729200137,0.9142857142857143,6,4.110629985963987
latent_fro,1,2.980355479125203,9.102542137894844,0.9203007518796992,5,5.09573679980943
latent_fro,2,3.302655581294611,10.254411062333471,0.8977443609022555,6,5.740817240644631
latent_fro,0,3.9898433146554155,11.771347880194703,0.875187969924812,5,6.505545496684621
latent_projection,3,2.15338486053089,6.403837279269387,0.9518796992481202,7,4.163960452421298
latent_projection,1,3.742965995955713,10.311727110973356,0.9203007518796992,7,6.339725062601716
latent_projection,2,3.855499740477647,9.911524572460586,0.9548872180451128,7,6.392228426346735
latent_projection,0,5.251609997411006,13.138982081551113,0.9578947368421054,6,8.122457309643673
loss,2,2.7976788933011956,6.646874689976485,0.8992481203007519,5,4.544710096797669
loss,1,2.8455314327255854,5.884059260224927,0.9383458646616539,6,4.628140321759324
loss,0,3.340439320340869,8.202545395738122,0.8045112781954886,6,5.470821129701587
loss,3,3.7004343376031903,7.475530542153379,0.9864661654135337,5,5.571763918926197
output_fro,3,2.6212421314801184,9.226789910501708,0.8917293233082706,7,5.0552606180553745
output_fro,1,3.2512981447499136,9.470968885787459,0.9067669172932331,6,5.571943477618033
output_fro,2,3.5915249333506054,10.771496985859716,0.8812030075187969,7,6.257249481229563
output_fro,0,4.130307005956214,11.96222144938644,0.7804511278195487,7,6.97464022336418
output_projection,3,2.808536382187989,7.519796458650358,0.9338345864661652,6,4.836505850985542
output_projection,1,3.67196432816639,9.861224142486643,0.900751879699248,6,6.051147949539386
output_projection,2,3.9646961757722776,10.32408186760944,0.900751879699248,6,6.413308455913693
output_projection,0,5.0674407807283375,12.95729275998491,0.8902255639097743,8,8.211034694726074
