segment,true_k,MG,error,n_windows
0,2,2.196034130939032,0.1960341309390321,5
1,13,11.13901990532321,-1.8609800946767905,5
2,5,6.023495248302704,1.0234952483027042,5
3,18,16.626299285676488,-1.3737007143235118,5
4,9,9.481977354205036,0.4819773542050356,5
5,20,16.477248994603897,-3.5227510053961026,5
6,4,4.641249665870295,0.6412496658702951,5
7,16,14.776702882795941,-1.2232971172040585,5
8,7,9.58891184361572,2.588911843615721,5
9,1,1.0328920184062562,0.03289201840625622,5
10,14,12.694680124811427,-1.305319875188573,5
11,10,9.717726891765833,-0.2822731082341665,5
12,19,16.85198402958566,-2.1480159704143382,5
13,6,7.49599657914901,1.4959965791490104,5
14,12,10.42198868128681,-1.5780113187131892,5
15,3,3.2660193928081895,0.26601939280818954,5
16,17,15.309381111791993,-1.6906188882080073,5
17,8,8.516717295176939,0.5167172951769388,5
18,15,14.136256345124599,-0.8637436548754014,5
19,11,9.791983113105026,-1.208016886894974,5
20,2,2.195971172347623,0.19597117234762296,5
