family,rank,seed,observer,tau,MG,LB,PRdelay,roughness,tau_used,theiler_used,degenerate,ident_ratio,trend_crossings
matrix_factorization_recurrent,1,0,loss,acorr,3.6781801178144313,5.740454781429104,3.242618762231619,0.854013455454449,1.0,5.0,False,1.1303126151104124,679.0
matrix_factorization_recurrent,1,0,loss,4,4.275715407991933,6.571410902181253,4.778999226472716,0.854013455454449,4.0,20.0,False,1.3120056867212777,679.0
matrix_factorization_recurrent,1,0,loss,8,4.853895227499215,7.692648013912591,5.72230007432708,0.854013455454449,8.0,40.0,False,1.6620209827992936,679.0
matrix_factorization_recurrent,1,0,state_norm,acorr,18.471938655190925,93.4083361203312,1.1681052942809889,0.016808696742365098,50.0,150.0,False,1.09914502765468,9.0
matrix_factorization_recurrent,1,0,state_norm,4,5.611179784025581,24.654132164291493,1.002767059263569,0.016808696742365098,4.0,20.0,False,1.1924550894323243,9.0
matrix_factorization_recurrent,1,0,state_norm,8,6.040422528184586,44.91378861019445,1.0067024726260898,0.016808696742365098,8.0,40.0,False,1.276015782229552,9.0
matrix_factorization_recurrent,1,0,velocity_norm,acorr,3.6942168483350275,5.840857341459126,3.2010796188386537,0.842617911456086,1.0,5.0,False,1.1209924351770468,687.0
matrix_factorization_recurrent,1,0,velocity_norm,4,4.286028291937741,7.300494836807853,4.773918713343008,0.842617911456086,4.0,20.0,False,1.3236915789316812,687.0
matrix_factorization_recurrent,1,0,velocity_norm,8,5.004145551159148,8.084317411090518,5.685642546107842,0.842617911456086,8.0,40.0,False,1.6526671404025608,687.0
matrix_factorization_recurrent,1,0,random_projection,acorr,7.1005965920716,12.42429484787199,2.1528333039655645,0.3518989163432712,45.0,150.0,False,1.9234461156134048,237.0
matrix_factorization_recurrent,1,0,random_projection,4,5.0853703921490165,8.613787321896014,1.6905244506103239,0.3518989163432712,4.0,20.0,False,1.5362485779232422,237.0
matrix_factorization_recurrent,1,0,random_projection,8,6.229740140780072,10.610612890649014,1.7008006415437582,0.3518989163432712,8.0,40.0,False,1.914886756288615,237.0
matrix_factorization_recurrent,1,1,loss,acorr,3.0203528382235856,4.562753446887837,2.0254369582199963,0.5687691617315584,1.0,5.0,False,1.0663608031389127,382.0
matrix_factorization_recurrent,1,1,loss,4,3.1755614302014603,4.861225045535152,2.7024046640842982,0.5687691617315584,4.0,20.0,False,1.0659721063443859,382.0
matrix_factorization_recurrent,1,1,loss,8,3.336404650925494,4.814688027208339,4.309532423413214,0.5687691617315584,8.0,40.0,False,1.1473868721026894,382.0
matrix_factorization_recurrent,1,1,state_norm,acorr,3.006443990795202,4.540918894411205,1.6143053110238434,0.34871496281451103,1.0,5.0,False,1.271718789036641,215.0
matrix_factorization_recurrent,1,1,state_norm,4,4.45509250809686,6.648794154240123,2.3160978392754203,0.34871496281451103,4.0,20.0,False,1.2021498538832507,215.0
matrix_factorization_recurrent,1,1,state_norm,8,4.610756712497323,6.888675926277657,2.476413877005446,0.34871496281451103,8.0,40.0,False,1.1042396957539777,215.0
matrix_factorization_recurrent,1,1,velocity_norm,acorr,2.9511575772744747,4.456408328907976,2.0954475691450747,0.5846352740966313,1.0,5.0,False,1.089401130489961,368.0
matrix_factorization_recurrent,1,1,velocity_norm,4,3.123402565660992,4.69301242477201,2.8200357362496784,0.5846352740966313,4.0,20.0,False,1.0985752551886199,368.0
matrix_factorization_recurrent,1,1,velocity_norm,8,3.333676348532576,4.846633298185533,4.418895218636366,0.5846352740966313,8.0,40.0,False,1.1608528693525533,368.0
matrix_factorization_recurrent,1,1,random_projection,acorr,2.6692919151964007,4.002980363348483,1.5554772234641328,0.30535957869306957,1.0,5.0,False,1.1459628256719194,200.0
matrix_factorization_recurrent,1,1,random_projection,4,4.140491287874406,6.231480577061412,2.2394026860949365,0.30535957869306957,4.0,20.0,False,1.1835358683307489,200.0
matrix_factorization_recurrent,1,1,random_projection,8,4.358711328224174,6.873454728240622,2.397246909713425,0.30535957869306957,8.0,40.0,False,1.2650909567041488,200.0
matrix_factorization_recurrent,2,0,loss,acorr,3.888006320778993,5.726877792167493,2.6274569905214245,0.7369397160093332,1.0,5.0,False,1.367291515791481,495.0
matrix_factorization_recurrent,2,0,loss,4,5.532609929121985,8.294696466518117,4.064468986135201,0.7369397160093332,4.0,20.0,False,1.5964565866917735,495.0
matrix_factorization_recurrent,2,0,loss,8,5.5338765019011795,8.781525870956187,5.679645552261409,0.7369397160093332,8.0,40.0,False,1.7354325609158052,495.0
matrix_factorization_recurrent,2,0,state_norm,acorr,6.253963955908319,11.405259110616852,1.5832433981608725,0.0871461551610789,24.0,120.0,False,1.9135427053484635,55.0
matrix_factorization_recurrent,2,0,state_norm,4,6.150607499993687,10.5893769579739,1.061097218638291,0.0871461551610789,4.0,20.0,False,1.3373555436054856,55.0
matrix_factorization_recurrent,2,0,state_norm,8,5.834422466429726,9.576835365147877,1.1029163747969677,0.0871461551610789,8.0,40.0,False,1.4114057316251842,55.0
matrix_factorization_recurrent,2,0,velocity_norm,acorr,3.8946492910323336,6.0308316236927695,2.654288024973816,0.7379602722516371,1.0,5.0,False,1.360241824831764,495.0
matrix_factorization_recurrent,2,0,velocity_norm,4,5.541709595051152,8.185831118484844,4.131456412604289,0.7379602722516371,4.0,20.0,False,1.5648626116091147,495.0
matrix_factorization_recurrent,2,0,velocity_norm,8,5.546523211259746,8.943540431345644,5.68089044906167,0.7379602722516371,8.0,40.0,False,1.6885384400618417,495.0
matrix_factorization_recurrent,2,0,random_projection,acorr,4.065654694741517,6.195024034893407,2.1966412925158063,0.26920894957768243,2.0,10.0,False,1.3659996067547664,187.0
matrix_factorization_recurrent,2,0,random_projection,4,5.313425724152965,9.106834798735882,3.037073249406766,0.26920894957768243,4.0,20.0,False,1.9377008032406275,187.0
matrix_factorization_recurrent,2,0,random_projection,8,6.470796066572041,10.800225643838596,3.2206263536766264,0.26920894957768243,8.0,40.0,False,1.903506069231934,187.0
