family,rank,seed,observer,selected_tau,selected_MG,selected_ident_ratio,selected_crossings,selection_score
matrix_factorization_damped,1,0,loss,acorr,8.195410927424506,1.4959484597810682,2.0,0.5359484597810682
matrix_factorization_damped,1,0,random_projection,4,35.6893651703372,1.5897103539796098,7.0,0.7297103539796098
matrix_factorization_damped,1,0,state_norm,4,17.211847877852197,1.4707352289064193,6.0,0.5907352289064193
matrix_factorization_damped,1,0,velocity_norm,4,18.166395827606063,1.4257817832904027,2.0,0.4657817832904027
matrix_factorization_damped,1,1,loss,4,17.284928502694274,1.4681678957866962,4.0,0.5481678957866961
matrix_factorization_damped,1,1,random_projection,8,54.22913359256648,1.7092154030378013,6.0,0.8292154030378013
matrix_factorization_damped,1,1,state_norm,4,18.646420465904544,1.4014086241772286,2.0,0.44140862417722854
matrix_factorization_damped,1,1,velocity_norm,4,18.588976096530946,1.4122320149265994,4.0,0.49223201492659946
matrix_factorization_damped,2,0,loss,acorr,8.282919714986152,1.4880027769486046,2.0,0.5280027769486046
matrix_factorization_damped,2,0,random_projection,acorr,83.85376998187995,0.9987133831875982,7.0,0.14128661681240184
matrix_factorization_damped,2,0,state_norm,4,18.06011675622321,1.4024042651202246,6.0,0.5224042651202246
matrix_factorization_damped,2,0,velocity_norm,4,18.02180857063773,1.4104488813519567,2.0,0.45044888135195665
matrix_factorization_damped,2,1,loss,4,17.655143060506116,1.4515216577370242,4.0,0.5315216577370242
matrix_factorization_damped,2,1,random_projection,4,19.26266149683206,1.4241834189154594,4.0,0.5041834189154594
matrix_factorization_damped,2,1,state_norm,4,18.23575597238824,1.3774250367508558,2.0,0.4174250367508558
matrix_factorization_damped,2,1,velocity_norm,4,17.90213340637502,1.4135709194634278,2.0,0.4535709194634278
matrix_factorization_damped,4,0,loss,4,18.22221146870112,1.3836631730095268,2.0,0.4236631730095268
matrix_factorization_damped,4,0,random_projection,acorr,82.83493346037982,0.99900123098871,3.0,0.06099876901129003
matrix_factorization_damped,4,0,state_norm,4,18.494571970284277,1.3611487117627228,4.0,0.4411487117627228
matrix_factorization_damped,4,0,velocity_norm,4,19.40248955396282,1.4219409675925017,2.0,0.46194096759250164
matrix_factorization_damped,4,1,loss,4,18.895449657305424,1.3547988501017267,2.0,0.3947988501017267
matrix_factorization_damped,4,1,random_projection,4,17.747529993707538,1.4113531642327237,6.0,0.5313531642327237
matrix_factorization_damped,4,1,state_norm,4,18.48762955872992,1.366438191903482,2.0,0.406438191903482
matrix_factorization_damped,4,1,velocity_norm,4,18.346111202175134,1.3736803369841948,2.0,0.41368033698419476
matrix_factorization_recurrent,1,0,loss,acorr,3.6781801178144313,1.1303126151104124,679.0,13.710312615110412
matrix_factorization_recurrent,1,0,random_projection,4,5.0853703921490165,1.5362485779232422,237.0,5.276248577923242
matrix_factorization_recurrent,1,0,state_norm,acorr,18.471938655190925,1.09914502765468,9.0,0.2791450276546799
matrix_factorization_recurrent,1,0,velocity_norm,acorr,3.6942168483350275,1.1209924351770468,687.0,13.860992435177048
matrix_factorization_recurrent,1,1,loss,4,3.1755614302014603,1.0659721063443859,382.0,7.705972106344387
matrix_factorization_recurrent,1,1,random_projection,acorr,2.6692919151964007,1.1459628256719194,200.0,4.145962825671919
matrix_factorization_recurrent,1,1,state_norm,8,4.610756712497323,1.1042396957539777,215.0,4.404239695753978
matrix_factorization_recurrent,1,1,velocity_norm,acorr,2.9511575772744747,1.089401130489961,368.0,7.449401130489961
matrix_factorization_recurrent,2,0,loss,acorr,3.888006320778993,1.367291515791481,495.0,10.26729151579148
matrix_factorization_recurrent,2,0,random_projection,acorr,4.065654694741517,1.3659996067547664,187.0,4.105999606754766
matrix_factorization_recurrent,2,0,state_norm,4,6.150607499993687,1.3373555436054856,55.0,1.4373555436054857
matrix_factorization_recurrent,2,0,velocity_norm,acorr,3.8946492910323336,1.360241824831764,495.0,10.260241824831764
matrix_factorization_recurrent,2,1,loss,acorr,3.8345597466434014,1.362399957616498,355.0,7.4623999576164985
matrix_factorization_recurrent,2,1,random_projection,acorr,2.9461977659600014,1.2289853157443233,197.0,4.168985315744323
matrix_factorization_recurrent,2,1,state_norm,4,7.273320740270144,1.8287497705195004,18.0,1.1887497705195003
matrix_factorization_recurrent,2,1,velocity_norm,acorr,3.80266050895543,1.367909648577318,351.0,7.387909648577319
matrix_factorization_recurrent,4,0,loss,acorr,3.9862924362966887,1.4298673815377283,441.0,9.24986738153773
matrix_factorization_recurrent,4,0,random_projection,4,6.382330761181577,1.579924860310418,153.0,3.639924860310418
matrix_factorization_recurrent,4,0,state_norm,8,7.369095211861604,1.986016808378799,40.0,1.786016808378799
matrix_factorization_recurrent,4,0,velocity_norm,acorr,3.962332679243414,1.436043567103427,435.0,9.136043567103428
matrix_factorization_recurrent,4,1,loss,acorr,4.388301213909025,1.4180295663945677,459.0,9.598029566394567
matrix_factorization_recurrent,4,1,random_projection,4,6.807525061188728,1.764478205044874,107.0,2.904478205044874
matrix_factorization_recurrent,4,1,state_norm,4,7.31379663285831,2.151814304075603,11.0,1.3718143040756028
matrix_factorization_recurrent,4,1,velocity_norm,acorr,4.404530632190987,1.4090667758820519,461.0,9.629066775882052
teacher_student,1,0,loss,4,6.09709134845257,1.7207710562448468,222.0,5.160771056244847
teacher_student,1,0,random_projection,8,6.304562148877111,1.7428192400833014,127.0,3.2828192400833016
teacher_student,1,0,state_norm,4,6.140813835900953,1.5644455276805331,45.0,1.464445527680533
teacher_student,1,0,velocity_norm,acorr,6.037257413532942,1.5808301291168172,266.0,5.900830129116818
teacher_student,1,1,loss,8,5.540590322840258,1.4376360998936308,187.0,4.177636099893631
teacher_student,1,1,random_projection,8,6.035318522497833,1.5986120200069074,135.0,3.2986120200069076
teacher_student,1,1,state_norm,4,4.816002819561409,1.8010448590783368,13.0,1.0610448590783368
teacher_student,1,1,velocity_norm,4,6.284811286048331,1.7287438575026168,252.0,5.768743857502617
teacher_student,2,0,loss,acorr,6.007394609125023,1.7573759469467973,286.0,6.477375946946797
teacher_student,2,0,random_projection,4,6.151610106740997,1.595584689501725,146.0,3.5155846895017246
teacher_student,2,0,state_norm,8,6.65065317980576,1.7040243693917576,43.0,1.5640243693917575
teacher_student,2,0,velocity_norm,8,6.059723880040818,1.7117661912720494,280.0,6.31176619127205
teacher_student,2,1,loss,8,6.3490815233080635,1.8239014033505954,240.0,5.623901403350596
teacher_student,2,1,random_projection,acorr,5.594816449014458,1.678024919531886,191.0,4.498024919531886
teacher_student,2,1,state_norm,8,7.105059193714949,2.0086286722764073,74.0,2.4886286722764073
teacher_student,2,1,velocity_norm,8,6.124203427730801,1.5802927004273528,258.0,5.740292700427353
teacher_student,4,0,loss,acorr,6.281183154313876,1.7595650599294337,245.0,5.6595650599294345
teacher_student,4,0,random_projection,4,6.1611140193750265,1.6601587090991867,146.0,3.5801587090991864
teacher_student,4,0,state_norm,8,5.88986343409694,1.6986658948276019,46.0,1.6186658948276018
teacher_student,4,0,velocity_norm,4,6.040240984205435,1.6669449789958346,257.0,5.806944978995834
teacher_student,4,1,loss,4,5.543766013231724,1.722992525351378,291.0,6.542992525351378
teacher_student,4,1,random_projection,4,5.253031929158528,1.8081310135458728,143.0,3.6681310135458727
teacher_student,4,1,state_norm,4,6.064659338579896,1.8669111187080674,94.0,2.7469111187080673
teacher_student,4,1,velocity_norm,8,5.626552461642076,1.6987813112231656,300.0,6.698781311223166
