step,lr,lambda_max,ritz_residual,hvp_count,hessian_seconds,gd_ratio,activation_pr,activation_seconds,gradient_proxy,gradient_seconds,run
127,0.003,15.072484970092772,8.395560269570514e-06,31,0.5188858001492918,,5.317424297332764,0.0021760000381618,2.395456552505493,0.0122239999473094,adam_constant_lr0.003_s0
255,0.003,40.04330825805664,1.134529703454982e-05,31,0.5105454998556525,,6.21336030960083,0.0020254000555723,3.154444694519043,0.0111677998211234,adam_constant_lr0.003_s0
383,0.003,70.24238586425781,1.2015802707388776e-05,31,0.5276959000620991,,7.336675643920898,0.0021312001626938,2.3283843994140625,0.0107791000045835,adam_constant_lr0.003_s0
511,0.003,69.209228515625,1.3600551137701115e-05,31,0.5270744999870658,,7.949492454528809,0.0028502999339252,2.6009204387664795,0.0108360999729484,adam_constant_lr0.003_s0
639,0.003,125.80807495117188,3.1354548713997015e-05,31,0.513202500063926,,8.323264122009277,0.0020445000845938,1.8985490798950195,0.0110537998843938,adam_constant_lr0.003_s0
767,0.003,84.24790954589844,1.0136057547847536e-05,31,0.5042038999963552,,9.094971656799316,0.0020409999415278,2.1923868656158447,0.0112050001043826,adam_constant_lr0.003_s0
895,0.003,140.7028350830078,4.221600828055945e-05,31,0.5113758000079542,,9.40479564666748,0.0025360998697578,3.388445377349853,0.01029759994708,adam_constant_lr0.003_s0
1023,0.003,96.63282012939452,2.3995725051936133e-05,31,0.5141410999931395,,9.434928894042969,0.0025998000055551,2.7509140968322754,0.0110716999042779,adam_constant_lr0.003_s0
1151,0.003,115.25526428222656,2.324055592000156e-05,31,0.5089575999882072,,9.737886428833008,0.0027302000671625,1.7837058305740356,0.0130597001407295,adam_constant_lr0.003_s0
1279,0.003,116.81160736083984,4.1340585883440186e-05,31,0.5060463000554591,,10.11874294281006,0.0025245998986065,3.034118413925171,0.010782599914819,adam_constant_lr0.003_s0
1407,0.003,133.03668212890625,2.2123696331269323e-05,31,0.5255101998336613,,10.433354377746582,0.0022523000370711,2.869274854660034,0.0119880000129342,adam_constant_lr0.003_s0
1535,0.003,130.55052185058594,2.189519741598996e-05,31,0.5081452999729663,,10.3624849319458,0.0023630000650882,3.4003593921661377,0.0109188999049365,adam_constant_lr0.003_s0
1663,0.003,196.70477294921875,2.087034961770248e-05,31,0.5182904999237508,,10.672571182250977,0.0021196999587118,2.0167558193206787,0.0112449000589549,adam_constant_lr0.003_s0
1791,0.003,154.4158935546875,2.9013218758414817e-05,31,0.5212232999037951,,10.50933837890625,0.0020723000634461,2.6360514163970947,0.0108265001326799,adam_constant_lr0.003_s0
1919,0.003,109.84857177734376,1.9267833027699603e-05,31,0.5164809999987483,,11.32050895690918,0.0020698001608252,3.114198684692383,0.0107970000244677,adam_constant_lr0.003_s0
2047,0.003,151.8975830078125,4.640670602300903e-05,31,0.6940283998847008,,11.438610076904297,0.0053741999436169,1.971522331237793,0.0286044999957084,adam_constant_lr0.003_s0
2175,0.003,115.2940673828125,1.8924814394044606e-05,31,0.5286936999764293,,11.708022117614746,0.0021928998176008,2.146008253097534,0.0110241000074893,adam_constant_lr0.003_s0
2303,0.003,148.20211791992188,1.944178630793524e-05,31,0.5324042001739144,,11.481718063354492,0.0022593999747186,1.921081781387329,0.0115401002112776,adam_constant_lr0.003_s0
2431,0.003,125.5677490234375,2.571257543492965e-05,31,0.5202667000703514,,11.483962059020996,0.002149699954316,2.933274984359741,0.0120099999476224,adam_constant_lr0.003_s0
2559,0.003,90.4895248413086,1.995747326482821e-05,31,0.5222201999276876,,11.541606903076172,0.0022205000277608,3.2880899906158447,0.0119924000464379,adam_constant_lr0.003_s0
2687,0.003,71.31909942626953,3.301405885439282e-05,31,0.5473133001942188,,11.70355224609375,0.0022085001692175,2.786915779113769,0.0119916000403463,adam_constant_lr0.003_s0
2815,0.003,113.3613052368164,2.575656874399838e-05,31,0.5541383000090718,,12.676671028137209,0.0023026999551802,2.6668951511383057,0.0126960999332368,adam_constant_lr0.003_s0
2943,0.003,103.46874237060548,3.228552159715614e-05,31,0.5191428000107408,,12.180761337280272,0.0022121998481452,2.460675001144409,0.0112354001030325,adam_constant_lr0.003_s0
3071,0.003,124.90425872802734,1.717808978122667e-05,31,0.6910630001220852,,11.796208381652832,0.0034495999570935,1.5596373081207275,0.0217502999585121,adam_constant_lr0.003_s0
127,0.003,51.48286437988281,9.019143265633792e-06,31,0.7716391000431031,,5.233217716217041,0.0035868000704795,2.366000175476074,0.0176075999625027,adam_constant_lr0.003_s1
255,0.003,41.72916412353516,9.499794926383287e-06,31,0.7786904000677168,,6.165786743164063,0.0030439000111073,1.637385368347168,0.0198368001729249,adam_constant_lr0.003_s1
383,0.003,70.72454833984375,1.0085999015852134e-05,31,0.7661152000073344,,7.345977306365967,0.0028947999235242,1.90969979763031,0.0171616999432444,adam_constant_lr0.003_s1
511,0.003,51.012786865234375,1.1332167124457364e-05,31,0.7564944000914693,,7.5854058265686035,0.0040523998904973,3.298905372619629,0.0185385001823306,adam_constant_lr0.003_s1
639,0.003,67.77745819091797,9.349425853271608e-06,31,0.8009780999273062,,8.168755531311035,0.0041974000632762,2.287716627120972,0.0200702999718487,adam_constant_lr0.003_s1
767,0.003,47.32861328125,9.28656894945277e-06,31,0.7019382999278605,,8.765802383422852,0.0030230998527258,3.543388843536377,0.0151045001111924,adam_constant_lr0.003_s1
895,0.003,52.720401763916016,1.6076289114828906e-05,31,0.785268499981612,,9.602526664733888,0.0033800001256167,3.1881213188171387,0.0200674999505281,adam_constant_lr0.003_s1
1023,0.003,43.262184143066406,6.2344684463333865e-06,31,0.698585300007835,,9.53315544128418,0.003557699965313,3.054678201675415,0.0220494999084621,adam_constant_lr0.003_s1
1151,0.003,37.730743408203125,1.033039199140719e-05,31,0.7255873999092728,,10.15821933746338,0.0036470999475568,3.013406991958618,0.0176530999597162,adam_constant_lr0.003_s1
1279,0.003,61.27878189086914,9.644235107547184e-06,31,0.7764075000304729,,9.920343399047852,0.0035788000095635,2.8068671226501465,0.0215216998476535,adam_constant_lr0.003_s1
1407,0.003,52.49430847167969,8.087276249971626e-06,31,0.7747344998642802,,10.37090301513672,0.0032701999880373,3.069663047790528,0.0190002000890672,adam_constant_lr0.003_s1
1535,0.003,58.74126434326172,1.2062289135286826e-05,31,0.6789180000778288,,10.237469673156738,0.0032051999587565,2.590022563934326,0.0141478001605719,adam_constant_lr0.003_s1
1663,0.003,37.99794387817383,1.07053694196414e-05,31,0.769596999976784,,10.65837574005127,0.0033269999548792,2.7000555992126465,0.0187339000403881,adam_constant_lr0.003_s1
1791,0.003,36.6914176940918,9.47093190396513e-06,31,0.7190078001003712,,10.842453956604004,0.0037273000925779,3.2081410884857178,0.0156781999394297,adam_constant_lr0.003_s1
