run,signal,n_checkpoints,hessian_seconds,mg_seconds,mg_validity_seconds,acquisition_seconds,mg_end_to_end_seconds,hessian_over_mg,hessian_over_mg_end_to_end,activation_seconds,gradient_proxy_seconds,cheap_seconds
adam_constant_lr0.003_s0,grad_norm,21,11.283922600094229,0.20714009972289205,0.4619624991901219,0.9534132990520447,1.4153757982421666,54.474834255605934,7.972386283634605,0.0525732997339206,0.2669263002462677,0.004255200270563364
adam_constant_lr0.003_s0,probe_loss,21,11.283922600094229,0.16062410012818873,0.3751601993571967,6.504274109145626,6.879434308502823,70.25049535585822,1.6402398938743494,0.0525732997339206,0.2669263002462677,0.004019199404865503
adam_constant_lr0.003_s0,train_loss,21,11.283922600094229,0.19450019975192845,0.4436513010878116,0.0,0.4436513010878116,58.01496664006562,25.434215052286774,0.0525732997339206,0.2669263002462677,0.0044546001590788364
adam_constant_lr0.003_s1,grad_norm,21,15.491194800008088,0.20874319900758564,0.465531500056386,1.2740818976890296,1.7396133977454156,74.21173419616485,8.904964068502279,0.07580749969929332,0.36844939994625653,0.0043903004843741655
adam_constant_lr0.003_s1,probe_loss,21,15.491194800008088,0.16587879974395037,0.38652809988707304,9.915501905372366,10.30203000525944,93.38863570221278,1.5037031334697581,0.07580749969929332,0.36844939994625653,0.004185100086033344
adam_constant_lr0.003_s1,train_loss,21,15.491194800008088,0.19830600009299815,0.4473295002244413,0.0,0.4473295002244413,78.11763029229218,34.630389438290116,0.07580749969929332,0.36844939994625653,0.004201800096780062
adam_constant_lr0.003_s2,grad_norm,21,11.562323599820957,0.2122850005980581,0.47468660096637905,0.9907203002367169,1.465406901203096,54.466041252312216,7.890179574238605,0.050831200089304904,0.2574273999780405,0.004530500853434205
adam_constant_lr0.003_s2,probe_loss,21,11.562323599820957,0.1655637996736914,0.3845460996963084,6.722645401954651,7.107191501650959,69.83606091796072,1.6268484670963341,0.050831200089304904,0.2574273999780405,0.004756400361657143
adam_constant_lr0.003_s2,train_loss,21,11.562323599820957,0.20217939955182374,0.45233220024965703,0.0,0.45233220024965703,57.18843574296618,25.56157530558145,0.050831200089304904,0.2574273999780405,0.00477819936349988
adam_switch_lr0.003_s0,grad_norm,21,12.919990400085226,0.2098511999938637,0.470252200961113,1.0916479001753032,1.5619001011364162,61.56738870429629,8.271969757018919,0.060908000217749496,0.30143760005012077,0.0046002003364264965
adam_switch_lr0.003_s0,probe_loss,21,12.919990400085226,0.14991559949703515,0.35072049987502396,7.8894564032088965,8.24017690308392,86.18176122719466,1.5679263384806539,0.060908000217749496,0.30143760005012077,0.0042431999463588
adam_switch_lr0.003_s0,train_loss,21,12.919990400085226,0.19724310073070228,0.44476700108498335,0.0,0.44476700108498335,65.50287615750374,29.048896092937778,0.060908000217749496,0.30143760005012077,0.004260499496012926
adam_switch_lr0.003_s1,grad_norm,21,13.27355660032481,0.21082589984871447,0.4739458004478365,1.1387359024956822,1.6126817029435188,62.95980052664173,8.230735535783339,0.06057250010780879,0.2909731999970963,0.0042168996296823025
adam_switch_lr0.003_s1,probe_loss,21,13.27355660032481,0.15409359917975962,0.36529910028912127,8.612984298262745,8.978283398551866,86.13957147461001,1.4784069527662427,0.06057250010780879,0.2909731999970963,0.004395900294184685
adam_switch_lr0.003_s1,train_loss,21,13.27355660032481,0.20181000023148954,0.454420599155128,0.0,0.454420599155128,65.77254142559414,29.209847936038535,0.06057250010780879,0.2909731999970963,0.004497299902141094
adam_switch_lr0.003_s2,grad_norm,21,11.300100600346923,0.21104269940406084,0.47433950123377144,1.0018991075921804,1.4762386088259518,53.54414358921666,7.6546572707062985,0.0500308996997761,0.25340960011817404,0.004840500187128782
adam_switch_lr0.003_s2,probe_loss,21,11.300100600346923,0.15424449951387942,0.3664132000412792,6.903660499257967,7.270073699299246,73.26096318481751,1.5543309556044977,0.0500308996997761,0.25340960011817404,0.004779399838298559
adam_switch_lr0.003_s2,train_loss,21,11.300100600346923,0.19922040007077157,0.453205298865214,0.0,0.453205298865214,56.721603793249315,24.933734509815697,0.0500308996997761,0.25340960011817404,0.004702099598944187
