run,arm,mode,seed,lr,signal,pre_MG,post_MG,post_pre_ratio,post_ident,degenerate_fraction,pre_std,post_std,pre_hessian,post_hessian,pre_activation,post_activation
adam_constant_lr0.003_s0,adam,constant,0,0.003,grad_norm,12.1578983492727,12.44139256893615,1.0233176994509423,1.4756862599532834,0.0,0.25194881941751507,0.22267499266175753,116.81160736083984,115.2940673828125,9.434928894042969,11.70355224609375
adam_constant_lr0.003_s0,adam,constant,0,0.003,probe_loss,5.420926660239082,5.404701476137039,0.9970069353232447,1.3329734104856923,0.0,0.04946624836591114,0.022258610066105283,116.81160736083984,115.2940673828125,9.434928894042969,11.70355224609375
adam_constant_lr0.003_s0,adam,constant,0,0.003,train_loss,11.313828914418167,13.359019043612983,1.1807690521630974,1.5263092606035802,0.0,0.08794698189927475,0.06310668330930538,116.81160736083984,115.2940673828125,9.434928894042969,11.70355224609375
adam_constant_lr0.003_s1,adam,constant,1,0.003,grad_norm,12.7569176077107,13.211427186620678,1.0356284796129167,1.4745494916804942,0.0,0.19389600699489484,0.09704868474703339,52.49430847167969,31.203271865844727,9.602526664733888,10.902957916259766
adam_constant_lr0.003_s1,adam,constant,1,0.003,probe_loss,5.365600575624347,5.649703425543709,1.0529489375728092,1.3965212708190815,0.0,0.056200535552164754,0.025707436631255944,52.49430847167969,31.203271865844727,9.602526664733888,10.902957916259766
adam_constant_lr0.003_s1,adam,constant,1,0.003,train_loss,11.228584956322342,13.63903041458007,1.2146704564853035,1.554109796538403,0.0,0.09216875752771202,0.05958046471580413,52.49430847167969,31.203271865844727,9.602526664733888,10.902957916259766
adam_constant_lr0.003_s2,adam,constant,2,0.003,grad_norm,11.940889820947335,12.745891057072082,1.0674155149403164,1.5014970978829236,0.0,0.22108313505842925,0.11291851972160791,81.81878662109375,50.99939727783203,9.776742935180664,11.185791015625
adam_constant_lr0.003_s2,adam,constant,2,0.003,probe_loss,5.72290279231792,5.839132857496105,1.0203096347074434,1.3813162832025356,0.0,0.050775317656129304,0.0181998988991702,81.81878662109375,50.99939727783203,9.776742935180664,11.185791015625
adam_constant_lr0.003_s2,adam,constant,2,0.003,train_loss,11.22001829663309,13.68592858869819,1.219777742501995,1.497489311636019,0.0,0.08106359642298877,0.060723387344156124,81.81878662109375,50.99939727783203,9.776742935180664,11.185791015625
adam_switch_lr0.003_s0,adam,switch,0,0.003,grad_norm,12.1578983492727,12.747580537441833,1.0485019837498812,1.4970547050964722,0.0,0.25194881941751507,0.12079073306483878,116.81160736083984,133.1330108642578,9.434928894042969,11.560050010681152
adam_switch_lr0.003_s0,adam,switch,0,0.003,probe_loss,5.420926660239082,3.771128638170835,0.6956612539754439,1.4648198107741388,0.0,0.04946624836591114,0.006946685357419422,116.81160736083984,133.1330108642578,9.434928894042969,11.560050010681152
adam_switch_lr0.003_s0,adam,switch,0,0.003,train_loss,11.313828914418167,13.495119688166076,1.1927986352143,1.5181303581073693,0.0,0.08794698189927475,0.06034821327874886,116.81160736083984,133.1330108642578,9.434928894042969,11.560050010681152
adam_switch_lr0.003_s1,adam,switch,1,0.003,grad_norm,12.7569176077107,13.11465938271809,1.0280429635126873,1.449405119238428,0.0,0.19389600699489484,0.0754552279765215,52.49430847167969,60.94670486450195,9.602526664733888,11.104394912719728
adam_switch_lr0.003_s1,adam,switch,1,0.003,probe_loss,5.365600575624347,3.8271225701405616,0.7132701206882575,1.3427926926425389,0.0,0.056200535552164754,0.009224296612055146,52.49430847167969,60.94670486450195,9.602526664733888,11.104394912719728
adam_switch_lr0.003_s1,adam,switch,1,0.003,train_loss,11.228584956322342,13.595122363836651,1.2107600749978573,1.521896569166344,0.0,0.09216875752771202,0.05638655147744477,52.49430847167969,60.94670486450195,9.602526664733888,11.104394912719728
adam_switch_lr0.003_s2,adam,switch,2,0.003,grad_norm,11.940889820947335,12.933944907286731,1.0831642449792416,1.4662585681095512,0.0,0.22108313505842925,0.10023351712553036,81.81878662109375,89.14424896240234,9.776742935180664,11.248941421508787
adam_switch_lr0.003_s2,adam,switch,2,0.003,probe_loss,5.72290279231792,3.845882223509693,0.6720159966148951,1.4753391756605467,0.0,0.050775317656129304,0.0059314221050182385,81.81878662109375,89.14424896240234,9.776742935180664,11.248941421508787
adam_switch_lr0.003_s2,adam,switch,2,0.003,train_loss,11.22001829663309,13.654260939274502,1.2169553184571795,1.5306742374173983,0.0,0.08106359642298877,0.057861444577541554,81.81878662109375,89.14424896240234,9.776742935180664,11.248941421508787
