run,signal,metric,spearman_hessian
adam_switch_lr0.003_s2,probe_loss,MG,0.24545454545454545
adam_switch_lr0.003_s2,probe_loss,std,-0.08051948051948052
adam_switch_lr0.003_s2,probe_loss,residual_std,-0.312987012987013
adam_switch_lr0.003_s2,probe_loss,acorr1,-0.16493506493506493
adam_switch_lr0.003_s2,probe_loss,spectral_entropy,0.4402597402597402
adam_switch_lr0.003_s2,train_loss,MG,-0.02727272727272727
adam_switch_lr0.003_s2,train_loss,std,-0.16753246753246753
adam_switch_lr0.003_s2,train_loss,residual_std,-0.40129870129870127
adam_switch_lr0.003_s2,train_loss,acorr1,-0.212987012987013
adam_switch_lr0.003_s2,train_loss,spectral_entropy,0.2935064935064935
