metric,window_size,stride,tau,start_step,center_step,end_step,mean,std,lag1,fnn_raw,fnn_detrended,cao_raw,cao_detrended,simplex_raw,simplex_detrended,mle_raw,mle_detrended
train_loss,100,10,1,0,1000,1980,6.573370079994202,0.013927431955843892,0.7424117766941908,3.0,3.0,10.0,6.0,2.0,2.0,19.186154398845634,17.930849824487716
train_loss,100,10,1,200,1200,2180,6.569110155105591,0.016611107918720863,0.7838046064414648,3.0,3.0,7.0,4.0,4.0,5.0,17.820431971792413,17.042728511393012
train_loss,100,10,1,400,1400,2380,6.566598253250122,0.01638640537604156,0.7189002140664232,3.0,3.0,7.0,6.0,4.0,3.0,17.43643727098716,17.421005776463748
train_loss,100,10,1,600,1600,2580,6.5593443822860715,0.024056073302862083,0.8088637501791565,3.0,3.0,4.0,4.0,4.0,1.0,16.30885241268238,13.213556796511638
train_loss,100,10,1,800,1800,2780,6.5546028566360475,0.02479032933379308,0.7815048258932983,3.0,3.0,4.0,4.0,1.0,1.0,14.296063609865925,13.89223305633812
train_loss,100,10,1,1000,2000,2980,6.550750312805175,0.02405429982535058,0.7252777482114677,3.0,3.0,5.0,6.0,15.0,14.0,15.01525543110941,14.489923292164288
train_loss,100,10,1,1200,2200,3180,6.54136365890503,0.031249858787843206,0.768415202641112,5.0,3.0,8.0,3.0,2.0,5.0,12.324018468391294,13.09277510657716
train_loss,100,10,1,1400,2400,3380,6.535423293113708,0.03209909476050949,0.7559207103431426,3.0,3.0,8.0,5.0,2.0,7.0,10.330888677203454,11.894276129660575
train_loss,100,10,1,1600,2600,3580,6.530601348876953,0.030967724826501418,0.7383064990708619,3.0,3.0,9.0,5.0,2.0,15.0,11.342773766353861,11.793330564241362
train_loss,100,10,1,1800,2800,3780,6.5200882291793825,0.03576592475814916,0.7090033598083545,3.0,3.0,6.0,8.0,3.0,15.0,12.169833112113631,9.283561296492133
train_loss,100,10,1,2000,3000,3980,6.511886763572693,0.038865234615175964,0.7261818781450067,3.0,3.0,6.0,4.0,3.0,7.0,12.647773591659067,9.314452195172715
train_loss,100,10,1,2200,3200,4180,6.50626914024353,0.039277825004781546,0.6790383121254723,5.0,3.0,6.0,4.0,3.0,15.0,12.504053788815169,9.252275714971102
train_loss,100,10,1,2400,3400,4380,6.493993163108826,0.04265642519584557,0.6844621699538648,4.0,3.0,7.0,7.0,5.0,4.0,12.861375481128205,10.52201748187938
train_loss,100,10,1,2600,3600,4580,6.486189441680908,0.046025551673711015,0.7274856564226589,3.0,3.0,7.0,5.0,1.0,15.0,11.471497296714894,11.862888781866143
train_loss,100,10,1,2800,3800,4780,6.477904572486877,0.044914879872141496,0.6723858286252766,4.0,4.0,7.0,7.0,1.0,12.0,12.010096668043458,11.242638677482896
train_loss,100,10,1,3000,4000,4980,6.464161534309387,0.051454235873185775,0.6317881369409794,4.0,3.0,3.0,5.0,5.0,2.0,11.886023149325966,11.549521913957573
train_loss,100,10,1,3200,4200,5180,6.453665933609009,0.05571848953380003,0.6816885076281649,4.0,3.0,5.0,4.0,5.0,2.0,13.292861714633744,10.141093716045184
train_loss,100,10,1,3400,4400,5380,6.445849208831787,0.0534679427850364,0.6503397029251728,3.0,3.0,5.0,6.0,5.0,3.0,13.001283375233136,9.292053843415829
train_loss,100,10,1,3600,4600,5580,6.398962531089783,0.15345239861665255,0.9323310442575277,4.0,4.0,7.0,6.0,1.0,1.0,12.491599237259791,13.328490366476872
train_loss,100,10,1,3800,4800,5780,6.3289226007461545,0.24197993175420554,0.9716414094559529,4.0,3.0,3.0,6.0,1.0,2.0,13.924939555970248,10.472269578037636
train_loss,100,10,1,4000,5000,5980,6.257772226333618,0.2918941233815459,0.9806292903523799,4.0,6.0,3.0,4.0,1.0,1.0,11.314482197731019,7.2926541637726
train_loss,100,10,1,4200,5200,6180,6.177712254524231,0.32695354866760634,0.9840393117992132,4.0,3.0,3.0,8.0,3.0,4.0,10.90169299456769,7.277125592144611
train_loss,100,10,1,4400,5400,6380,6.103535079956055,0.34366882427966733,0.9829132144449743,4.0,3.0,3.0,5.0,15.0,3.0,9.664573092828796,6.144228711300843
train_loss,100,10,1,4600,5600,6580,6.035080103874207,0.33940734333843453,0.9827005424485097,3.0,5.0,5.0,7.0,3.0,15.0,8.696715310277861,7.832829694904803
train_loss,100,10,1,4800,5800,6780,5.960310311317444,0.32317936785380125,0.9771743346883386,3.0,3.0,5.0,6.0,3.0,5.0,8.751645051640391,6.960281310705527
train_loss,100,10,1,5000,6000,6980,5.8855651760101315,0.2968075595863105,0.9745454556430959,3.0,6.0,5.0,6.0,3.0,4.0,6.991371051088479,6.672700301895597
train_loss,100,10,1,5200,6200,7180,5.818391819000244,0.24935836887641774,0.9642494674279021,3.0,4.0,6.0,4.0,3.0,3.0,8.10931853085045,7.434448545280754
train_loss,100,10,1,5400,6400,7380,5.74127763748169,0.15024752949140546,0.8843233111042482,3.0,8.0,6.0,6.0,6.0,8.0,9.678833297810604,10.635864604857657
train_loss,100,10,1,5600,6600,7580,5.698050422668457,0.07507607502363112,0.6073907784946464,4.0,3.0,6.0,8.0,4.0,10.0,10.252963410508869,7.95412791085352
train_loss,100,10,1,5800,6800,7780,5.687627468109131,0.07262858071972393,0.553594614650641,4.0,3.0,6.0,5.0,4.0,10.0,10.768734262802296,7.923311735144723
train_loss,100,10,1,6000,7000,7980,5.676409692764282,0.0750157297994864,0.5247487307859338,4.0,4.0,4.0,4.0,5.0,6.0,12.558969651927816,9.640340644219364
train_loss,100,10,1,6200,7200,8180,5.666541576385498,0.0775238414964262,0.5498155924488098,3.0,4.0,6.0,4.0,5.0,9.0,12.684204113526707,7.587040293220181
train_loss,100,10,1,6400,7400,8380,5.661243848800659,0.07765302621114199,0.5836461753247372,3.0,5.0,4.0,7.0,1.0,9.0,13.454083430157107,8.537510447041123
train_loss,100,10,1,6600,7600,8580,5.643671073913574,0.08619251919661541,0.5710557025422325,3.0,5.0,4.0,4.0,1.0,5.0,14.898050322796918,12.60737316149266
train_loss,100,10,1,6800,7800,8780,5.626880955696106,0.08493820493606144,0.6106795859278262,4.0,3.0,4.0,7.0,5.0,6.0,14.800505966100593,11.963002588561363
train_loss,100,10,1,7000,8000,8980,5.620237097740174,0.08540930116946088,0.6175859666639307,3.0,3.0,4.0,4.0,5.0,6.0,15.543964545808583,12.104599357367515
train_loss,100,10,1,7200,8200,9180,5.604941067695617,0.08694954573536343,0.577383580654211,4.0,5.0,6.0,4.0,7.0,7.0,14.403484179400197,11.881446493310731
