lr,diverged,seconds,t_memorise,t_grok,final_train_acc,final_val_acc,final_train_loss,final_val_loss,best_val_acc,peak_val_loss,final_weight_norm,steps
10000.0,False,65.0,,,0.12266156462585034,0.001487778958554729,0.010156653540876321,0.010224432014166014,0.008926673751328374,0.010310039041530177,1.2617243927082744,30000
30000.0,False,62.3,,,0.9298469387755102,0.00021253985122210415,0.00914420763183354,0.010677356645371026,0.008926673751328374,0.010677356645371026,2.6552646600757135,30000
100000.0,False,61.8,9180,12000,1.0,1.0,5.25401420935699e-05,0.00015926935104459888,1.0,0.010700815430810884,5.130378584627705,30000
300000.0,False,61.7,3060,4020,1.0,1.0,3.4959004341916437e-06,2.3178878888326687e-05,1.0,0.010701628813854393,5.073453878474784,30000
1000000.0,False,60.5,960,1200,1.0,1.0,1.005134746435962e-06,3.1400933888342575e-06,1.0,0.01069416473387669,5.704930315251414,30000
3000000.0,True,1.2,360,480,1.0,1.0,0.004446599366278808,0.005959211951069957,1.0,0.010677335916273404,4.720521852402489,540
10000000.0,True,0.2,,,0.4685374149659864,0.0,0.010019714496724109,0.010291328021862708,0.008926673751328374,0.010310039041530177,1.578057290231776,60
