cfg_id,mae,rho,sd,n,score,max_E,tau,k_neighbors,theiler,window,stride,dither
45,0.17241102219926735,0.8916666666666666,0.6587581173392026,4,0.7184567475355355,20,4,20,embedding,8000,2000,1e-09
47,0.17241102219926735,0.8916666666666666,0.6587581173392026,4,0.7184567475355355,20,4,20,autocorr,8000,2000,1e-09
21,0.37602568314764884,0.9083333333333333,0.41297977774649774,4,0.765848905354231,10,4,20,embedding,8000,2000,1e-09
23,0.37602568314764884,0.9083333333333333,0.41297977774649774,4,0.765848905354231,10,4,20,autocorr,8000,2000,1e-09
36,0.3453907177081512,0.9,0.5863963133446835,4,0.8385888743804929,20,2,20,embedding,4000,2000,1e-09
38,0.3453907177081512,0.9,0.5863963133446835,4,0.8385888743804929,20,2,20,autocorr,4000,2000,1e-09
37,0.3361132084139691,0.8666666666666667,0.5421795179998321,4,0.8738696340805517,20,2,20,embedding,8000,2000,1e-09
39,0.3361132084139691,0.8666666666666667,0.5421795179998321,4,0.8738696340805517,20,2,20,autocorr,8000,2000,1e-09
20,0.4282657715244398,0.8833333333333333,0.4291781810916877,4,0.876188195403617,10,4,20,embedding,4000,2000,1e-09
22,0.4282657715244398,0.8833333333333333,0.4291781810916877,4,0.876188195403617,10,4,20,autocorr,4000,2000,1e-09
29,0.48341379954019337,0.8833333333333333,0.37505040416765045,4,0.904272334957352,20,1,20,embedding,8000,2000,1e-09
31,0.48341379954019337,0.8833333333333333,0.37505040416765045,4,0.904272334957352,20,1,20,autocorr,8000,2000,1e-09
44,0.242223593034131,0.8583333333333334,0.7607392785360677,4,0.905926565635498,20,4,20,embedding,4000,2000,1e-09
46,0.242223593034131,0.8583333333333334,0.7607392785360677,4,0.905926565635498,20,4,20,autocorr,4000,2000,1e-09
13,0.4958024446945653,0.8833333333333333,0.3674257798031398,4,0.9128486679294685,10,2,20,embedding,8000,2000,1e-09
15,0.4958024446945653,0.8833333333333333,0.3674257798031398,4,0.9128486679294685,10,2,20,autocorr,8000,2000,1e-09
28,0.5854890233647885,0.8833333333333333,0.2896407892775371,4,0.9636427513368904,20,1,20,embedding,4000,2000,1e-09
30,0.5854890233647885,0.8833333333333333,0.2896407892775371,4,0.9636427513368904,20,1,20,autocorr,4000,2000,1e-09
12,0.5950358512470714,0.8833333333333333,0.2841943774429878,4,0.9704663733018987,10,2,20,embedding,4000,2000,1e-09
14,0.5950358512470714,0.8833333333333333,0.2841943774429878,4,0.9704663733018987,10,2,20,autocorr,4000,2000,1e-09
4,0.7512848335143407,0.8583333333333334,0.18296853885383674,4,1.1261024362745924,10,1,20,embedding,4000,2000,1e-09
6,0.7512848335143407,0.8583333333333334,0.18296853885383674,4,1.1261024362745924,10,1,20,autocorr,4000,2000,1e-09
0,0.7836838172580949,0.8166666666666667,0.4723616832367387,4,1.3865313255431309,10,1,5,embedding,4000,2000,1e-09
2,0.7836838172580949,0.8166666666666667,0.4723616832367387,4,1.3865313255431309,10,1,5,autocorr,4000,2000,1e-09
1,0.9224630403632434,0.85,0.4638411002054279,4,1.4543835904659574,10,1,5,embedding,8000,2000,1e-09
3,0.9224630403632434,0.85,0.4638411002054279,4,1.4543835904659574,10,1,5,autocorr,8000,2000,1e-09
5,0.9290826080707182,0.7916666666666667,0.23270998298528614,4,1.4621042662300279,10,1,20,embedding,8000,2000,1e-09
