run,signal,metric,spearman_hessian
gd_constant_lr0.01_s0,grad_norm,MG,0.49999999999999994
gd_constant_lr0.01_s0,grad_norm,std,0.19999999999999998
gd_constant_lr0.01_s0,grad_norm,residual_std,-0.09999999999999999
gd_constant_lr0.01_s0,grad_norm,acorr1,0.0
gd_constant_lr0.01_s0,grad_norm,spectral_entropy,-0.09999999999999999
gd_constant_lr0.01_s0,probe_loss,MG,-0.6
gd_constant_lr0.01_s0,probe_loss,std,-0.7
gd_constant_lr0.01_s0,probe_loss,residual_std,-0.7
gd_constant_lr0.01_s0,probe_loss,acorr1,-0.19999999999999998
gd_constant_lr0.01_s0,probe_loss,spectral_entropy,-0.3
gd_constant_lr0.01_s0,train_loss,MG,0.19999999999999998
gd_constant_lr0.01_s0,train_loss,std,-0.7
gd_constant_lr0.01_s0,train_loss,residual_std,-0.7
gd_constant_lr0.01_s0,train_loss,acorr1,-0.19999999999999998
gd_constant_lr0.01_s0,train_loss,spectral_entropy,-0.3
gd_constant_lr0.03_s0,grad_norm,MG,0.7999999999999999
gd_constant_lr0.03_s0,grad_norm,std,-0.49999999999999994
gd_constant_lr0.03_s0,grad_norm,residual_std,-0.3
gd_constant_lr0.03_s0,grad_norm,acorr1,-0.7999999999999999
gd_constant_lr0.03_s0,grad_norm,spectral_entropy,0.39999999999999997
gd_constant_lr0.03_s0,probe_loss,MG,0.8999999999999998
gd_constant_lr0.03_s0,probe_loss,std,-0.7999999999999999
gd_constant_lr0.03_s0,probe_loss,residual_std,-0.8999999999999998
gd_constant_lr0.03_s0,probe_loss,acorr1,-0.7999999999999999
gd_constant_lr0.03_s0,probe_loss,spectral_entropy,0.7999999999999999
gd_constant_lr0.03_s0,train_loss,MG,0.6
gd_constant_lr0.03_s0,train_loss,std,-0.7999999999999999
gd_constant_lr0.03_s0,train_loss,residual_std,-0.7999999999999999
gd_constant_lr0.03_s0,train_loss,acorr1,-0.7999999999999999
gd_constant_lr0.03_s0,train_loss,spectral_entropy,0.6
gd_constant_lr0.1_s0,grad_norm,MG,0.6
gd_constant_lr0.1_s0,grad_norm,std,0.7
gd_constant_lr0.1_s0,grad_norm,residual_std,0.3
gd_constant_lr0.1_s0,grad_norm,acorr1,-0.39999999999999997
gd_constant_lr0.1_s0,grad_norm,spectral_entropy,0.49999999999999994
gd_constant_lr0.1_s0,probe_loss,MG,-0.6
gd_constant_lr0.1_s0,probe_loss,std,0.09999999999999999
gd_constant_lr0.1_s0,probe_loss,residual_std,0.09999999999999999
gd_constant_lr0.1_s0,probe_loss,acorr1,-0.49999999999999994
gd_constant_lr0.1_s0,probe_loss,spectral_entropy,0.6
gd_constant_lr0.1_s0,train_loss,MG,0.09999999999999999
gd_constant_lr0.1_s0,train_loss,std,-0.3
gd_constant_lr0.1_s0,train_loss,residual_std,0.09999999999999999
gd_constant_lr0.1_s0,train_loss,acorr1,-0.7999999999999999
gd_constant_lr0.1_s0,train_loss,spectral_entropy,0.7
gd_constant_lr0.3_s0,grad_norm,MG,-0.8999999999999998
gd_constant_lr0.3_s0,grad_norm,std,0.6
gd_constant_lr0.3_s0,grad_norm,residual_std,0.3
gd_constant_lr0.3_s0,grad_norm,acorr1,0.3
gd_constant_lr0.3_s0,grad_norm,spectral_entropy,-0.3
gd_constant_lr0.3_s0,probe_loss,MG,-0.8999999999999998
gd_constant_lr0.3_s0,probe_loss,std,0.7
gd_constant_lr0.3_s0,probe_loss,residual_std,-0.09999999999999999
gd_constant_lr0.3_s0,probe_loss,acorr1,-0.09999999999999999
gd_constant_lr0.3_s0,probe_loss,spectral_entropy,-0.6
gd_constant_lr0.3_s0,train_loss,MG,-0.7
gd_constant_lr0.3_s0,train_loss,std,0.6
gd_constant_lr0.3_s0,train_loss,residual_std,-0.09999999999999999
gd_constant_lr0.3_s0,train_loss,acorr1,-0.49999999999999994
gd_constant_lr0.3_s0,train_loss,spectral_entropy,0.09999999999999999
