run,arm,mode,lr,seed,step,window,tau,signal,MG,MG40,ident,degenerate,points,mg_seconds,validity_seconds,cheap_seconds,std,residual_std,acorr1,spectral_entropy,crossings,mg_seconds_rep0,mg_seconds_rep1,mg_seconds_rep2,validity_seconds_rep0,validity_seconds_rep1,validity_seconds_rep2,cheap_seconds_rep0,cheap_seconds_rep1,cheap_seconds_rep2
gd_constant_lr0.01_s0,gd,constant,0.01,0,511,512,1,train_loss,7.488282406845427,7.447086413606341,0.9944986058216199,False,493,0.004794500069692731,0.011246099835261703,0.00020490004681050777,0.2875724199902051,0.0966916690938004,0.9996329748213298,0.42741706660046364,2.0,0.004794500069692731,0.005026099970564246,0.004472699947655201,0.011246099835261703,0.011369700077921152,0.011132100131362677,0.00022009992972016335,0.00018800003454089165,0.00020490004681050777
gd_constant_lr0.01_s0,gd,constant,0.01,0,639,512,1,train_loss,7.583717286191848,7.509871231365096,0.9902625517223318,False,493,0.00453110015951097,0.011101000243797898,0.00019020005129277706,0.17732947152215997,0.029707595469241645,0.9998984031855614,0.03742664947073119,2.0,0.00453110015951097,0.0047167998272925615,0.004498700145632029,0.010786500293761492,0.011133899912238121,0.011101000243797898,0.00017690006643533707,0.00019699987024068832,0.00019020005129277706
gd_constant_lr0.01_s0,gd,constant,0.01,0,767,512,1,train_loss,7.652733953438718,7.624122596540486,0.9962612894852597,False,493,0.004538599867373705,0.010849499842152,0.00018400000408291817,0.1255227947839831,0.027413899577897576,0.9998932196120589,0.07617125602067719,2.0,0.004538599867373705,0.004626699956133962,0.004432799993082881,0.010798800038173795,0.010960399871692061,0.010849499842152,0.00018310011364519596,0.0002009000163525343,0.00018400000408291817
gd_constant_lr0.01_s0,gd,constant,0.01,0,895,512,1,train_loss,7.316174415637412,7.34597751984776,1.0040735912674044,False,493,0.004977600183337927,0.012091200100257993,0.00020330003462731838,0.08216318616984589,0.015682618092940522,0.9961409900262393,0.17131812732456575,2.0,0.0048120999708771706,0.005432200152426958,0.004977600183337927,0.011716200038790703,0.012298100162297487,0.012091200100257993,0.00018090009689331055,0.00020330003462731838,0.00022539985366165638
gd_constant_lr0.01_s0,gd,constant,0.01,0,1023,512,1,train_loss,7.334468403253494,6.977258850513585,0.9512971447826465,False,493,0.005067399935796857,0.013298399979248643,0.00024339999072253704,0.059429275828808165,0.009115674596982683,0.9871392823604582,0.2920026682110476,8.0,0.005067399935796857,0.005022099940106273,0.006209000013768673,0.013298399979248643,0.011895500123500824,0.014169699978083372,0.0002715000882744789,0.0002302001230418682,0.00024339999072253704
gd_constant_lr0.01_s0,gd,constant,0.01,0,511,512,1,probe_loss,7.370803475890823,7.343153821533636,0.996248759792928,False,493,0.005244100000709295,0.012672600103542209,0.0002832000609487295,0.2654540824604274,0.08516763043182762,0.9996019328210597,0.3974225864452366,2.0,0.00571599998511374,0.00497359992004931,0.005244100000709295,0.012672600103542209,0.01260400004684925,0.012970400042831898,0.00023040012456476688,0.0002832000609487295,0.0003029000945389271
gd_constant_lr0.01_s0,gd,constant,0.01,0,639,512,1,probe_loss,7.434076784825037,7.382316440732082,0.993037421378454,False,493,0.004753799876198173,0.011247499845921993,0.00019999989308416843,0.1595149814974738,0.03280245117774143,0.9998941366942865,0.03602173345564234,2.0,0.005302599864080548,0.004753799876198173,0.004509399877861142,0.011992399813607335,0.011247499845921993,0.010951799806207418,0.00020899996161460876,0.00019970000721514225,0.00019999989308416843
gd_constant_lr0.01_s0,gd,constant,0.01,0,767,512,1,probe_loss,7.345634899739667,7.31380777325959,0.9956672055017048,False,493,0.004646599991247058,0.011002499843016267,0.0001892000436782837,0.10376661446716823,0.028264916024678042,0.9998905240905636,0.08350103852207374,2.0,0.004646599991247058,0.004700700053945184,0.004477699985727668,0.011002499843016267,0.011066000210121274,0.010965699795633554,0.00018339999951422215,0.0001892000436782837,0.00020679994486272335
gd_constant_lr0.01_s0,gd,constant,0.01,0,895,512,1,probe_loss,7.292922069945632,7.329782278852665,1.0050542441772325,False,493,0.005211299983784556,0.01255270023830235,0.00022320006974041462,0.05950749363383307,0.015484689664352671,0.9527286016425907,0.16612765054450532,14.0,0.005195199977606535,0.005682499846443534,0.005211299983784556,0.012169999768957496,0.01290879980660975,0.01255270023830235,0.00023779994808137417,0.0002085000742226839,0.00022320006974041462
gd_constant_lr0.01_s0,gd,constant,0.01,0,1023,512,1,probe_loss,6.730760565099236,6.816356552280415,1.012717134468431,False,493,0.005596600007265806,0.013001800049096346,0.00021110009402036667,0.036575069116973564,0.009193888667669736,0.7721138090333078,0.29966524347068113,80.0,0.005684299860149622,0.005551900016143918,0.005596600007265806,0.01325460011139512,0.013001800049096346,0.012996500125154853,0.00021110009402036667,0.00022070016711950302,0.0001735000405460596
