run,signal,n_checkpoints,hessian_seconds,mg_seconds,mg_validity_seconds,acquisition_seconds,mg_end_to_end_seconds,hessian_over_mg,hessian_over_mg_end_to_end,activation_seconds,gradient_proxy_seconds,cheap_seconds
gd_constant_lr0.01_s0,grad_norm,5,23.98392610019073,0.02598460018634796,0.06302440050058067,0.41580419265665114,0.4788285931572318,923.005392739952,50.08875084515929,0.018226699670776503,0.28073030035011454,0.000970400171354413
gd_constant_lr0.01_s0,probe_loss,5,23.98392610019073,0.02545239985920489,0.060477100079879165,2.8227630010806024,2.8832401011604816,942.3050962920071,8.318393633099577,0.018226699670776503,0.28073030035011454,0.001106700161471963
gd_constant_lr0.01_s0,train_loss,5,23.98392610019073,0.02390920021571219,0.058586200000718236,0.0,0.058586200000718236,1003.1254029329443,409.37842187915754,0.018226699670776503,0.28073030035011454,0.0010258001275360584
gd_constant_lr0.03_s0,grad_norm,5,20.496622300008312,0.04327880032360554,0.09842360042966902,0.42720070318318903,0.5256243036128581,473.59497367649647,38.99481465968294,0.015244300011545099,0.2527535003609953,0.0009892000816762447
gd_constant_lr0.03_s0,probe_loss,5,20.496622300008312,0.036623999709263444,0.08374150027520955,2.9265808020718396,3.010322302347049,559.6500235561116,6.808780004728321,0.015244300011545099,0.2527535003609953,0.000930099980905652
gd_constant_lr0.03_s0,train_loss,5,20.496622300008312,0.029126999666914344,0.0682703994680196,0.0,0.0682703994680196,703.6983738249784,300.22707439422106,0.015244300011545099,0.2527535003609953,0.0009854999370872974
gd_constant_lr0.1_s0,grad_norm,5,21.354211299913004,0.0456600000616163,0.10379550000652671,0.39417350199073553,0.49796900199726224,467.6787400590532,42.88261159683672,0.015075600007548599,0.2445751996710894,0.001003500074148178
gd_constant_lr0.1_s0,probe_loss,5,21.354211299913004,0.04213540023192763,0.09716810029931366,2.66569940559566,2.762867505894974,506.7997736433529,7.729003021082528,0.015075600007548599,0.2445751996710894,0.0009285002015531063
gd_constant_lr0.1_s0,train_loss,5,21.354211299913004,0.03222610033117235,0.07555760047398508,0.0,0.07555760047398508,662.6371506470191,282.62161802326403,0.015075600007548599,0.2445751996710894,0.0009840002749115229
gd_constant_lr0.3_s0,grad_norm,5,20.27169999992475,0.04521390004083514,0.10285909986123443,0.40152549697086215,0.5043845968320966,448.3510597762252,40.19095770815727,0.013691699830815099,0.2273132998961953,0.0010089999996125698
gd_constant_lr0.3_s0,probe_loss,5,20.27169999992475,0.03645549970678985,0.08509890013374388,2.7203770000487566,2.8054759001825005,556.0669902475411,7.225761589542096,0.013691699830815099,0.2273132998961953,0.0009457999840378761
gd_constant_lr0.3_s0,train_loss,5,20.27169999992475,0.03309589996933937,0.07817669957876205,0.0,0.07817669957876205,612.5139373367944,259.3061629507813,0.013691699830815099,0.2273132998961953,0.0011357998009771109
