run,arm,mode,seed,lr,steps,switch,batch,context,width,layers,gd_fixed_batch,parameters,vocab,dataset,sha256,device,torch,threads,platform,hessian_objective,train_seconds,probe_seconds,norm_seconds,wall_seconds,completed_steps
gd_constant_lr0.01_s0,gd,constant,0,0.01,1024,,16,64,64,2,128,107840,65,Tiny Shakespeare,86c4e6aa9db7c042ec79f339dcb96d42b0075e16b8fc2e86bf0ca57e2dc565ed,cpu,2.10.0+cpu,4,Windows-10-10.0.18363-SP0,full fixed training set,52.67510529072024,2.8227630010806024,0.41580419265665114,92.5900765999686,1024
gd_constant_lr0.03_s0,gd,constant,0,0.03,1024,,16,64,64,2,128,107840,65,Tiny Shakespeare,86c4e6aa9db7c042ec79f339dcb96d42b0075e16b8fc2e86bf0ca57e2dc565ed,cpu,2.10.0+cpu,4,Windows-10-10.0.18363-SP0,full fixed training set,53.654681408545,2.9265808020718396,0.42720070318318903,91.85638539982028,1024
gd_constant_lr0.1_s0,gd,constant,0,0.1,1024,,16,64,64,2,128,107840,65,Tiny Shakespeare,86c4e6aa9db7c042ec79f339dcb96d42b0075e16b8fc2e86bf0ca57e2dc565ed,cpu,2.10.0+cpu,4,Windows-10-10.0.18363-SP0,full fixed training set,49.3670642930083,2.66569940559566,0.39417350199073553,86.61926699988544,1024
gd_constant_lr0.3_s0,gd,constant,0,0.3,1024,,16,64,64,2,128,107840,65,Tiny Shakespeare,86c4e6aa9db7c042ec79f339dcb96d42b0075e16b8fc2e86bf0ca57e2dc565ed,cpu,2.10.0+cpu,4,Windows-10-10.0.18363-SP0,full fixed training set,50.47859170124866,2.7203770000487566,0.40152549697086215,86.52996379998513,1024
