step,lr,lambda_max,ritz_residual,hvp_count,hessian_seconds,gd_ratio,activation_pr,activation_seconds,gradient_proxy,gradient_seconds,run
127,0.01,27.381614685058597,1.7390325481397652e-06,31,3.872091599972919,0.1369080734252929,5.2640886306762695,0.0024594999849796,0.3077069818973541,0.0416729000862687,gd_constant_lr0.01_s0
255,0.01,51.18116760253906,4.286455443612186e-06,31,4.346164700109512,0.2559058380126953,4.029462814331055,0.0038578999228775,0.6006959080696106,0.0646971999667584,gd_constant_lr0.01_s0
383,0.01,84.1588134765625,5.172926062008408e-06,31,3.9948507000226527,0.4207940673828125,5.288806438446045,0.0029920998495072,1.6931021213531494,0.0470700000878423,gd_constant_lr0.01_s0
511,0.01,118.28450012207033,5.870664411856451e-06,31,3.869494599988684,0.5914225006103516,5.633364200592041,0.0024678998161107,4.160287857055664,0.0436470001004636,gd_constant_lr0.01_s0
639,0.01,161.5036163330078,3.609163589111873e-06,31,3.916788100032136,0.8075180816650391,5.956806182861328,0.0025367999915033,8.151131629943848,0.0461973000783473,gd_constant_lr0.01_s0
767,0.01,232.7834014892578,1.0081801633361968e-05,31,5.111473400145769,1.163917007446289,6.288547039031982,0.0042699999175965,14.109066009521484,0.0656812000088393,gd_constant_lr0.01_s0
895,0.01,208.86138916015625,7.782886047578653e-06,31,5.420212900033221,1.0443069458007812,6.549034118652344,0.0042540000285953,0.3563949167728424,0.0661826999858021,gd_constant_lr0.01_s0
1023,0.01,226.620361328125,6.44872816509675e-06,31,5.665957099990919,1.133101806640625,6.726000308990479,0.0046979999169707,0.4096071422100067,0.0590221001766622,gd_constant_lr0.01_s0
127,0.03,82.18104553222656,4.596300472414036e-06,31,5.372352400096133,1.2327156829833985,5.266890525817871,0.0038694001268595,1.662778377532959,0.075244199950248,gd_constant_lr0.03_s0
255,0.03,76.10415649414062,5.359711908699549e-06,31,4.502441799966618,1.1415623474121093,6.045456409454346,0.0030108001083135,0.2817198932170868,0.0660808000247925,gd_constant_lr0.03_s0
383,0.03,67.39990234375,4.838772727211024e-06,31,3.994731100043282,1.01099853515625,6.646030426025391,0.0026005001273006,0.1673776358366012,0.0454839000012725,gd_constant_lr0.03_s0
511,0.03,77.00634765625,5.095680672373373e-06,31,3.9812491999473423,1.15509521484375,7.219411849975586,0.0039540999568998,0.2586014568805694,0.0510687001515179,gd_constant_lr0.03_s0
639,0.03,91.17218780517578,5.240753609985021e-06,31,4.0604790998622775,1.3675828170776367,7.738330841064453,0.0025528999976813,0.5232850909233093,0.0446901000104844,gd_constant_lr0.03_s0
767,0.03,83.6268310546875,3.506225342846749e-06,31,4.093906300142407,1.2544024658203126,8.479262351989746,0.0022843000479042,0.3850763738155365,0.0433417002204805,gd_constant_lr0.03_s0
895,0.03,92.63394927978516,3.612287701978229e-06,31,4.32665319996886,1.3895092391967774,9.103713989257812,0.0038141999393701,0.2279447168111801,0.0680734000634402,gd_constant_lr0.03_s0
1023,0.03,92.20580291748048,3.457681077508549e-06,31,4.034334500087425,1.383087043762207,9.374703407287598,0.0026388000696897,0.3367230892181396,0.0455795999150723,gd_constant_lr0.03_s0
127,0.1,24.76769256591797,3.995323804116945e-06,31,3.939305200008676,1.2383846282958986,6.1070332527160645,0.0027038999833166,0.3456501960754394,0.0436606998555362,gd_constant_lr0.1_s0
255,0.1,25.32843399047852,3.435360879467449e-06,31,4.523801899980754,1.266421699523926,7.578911304473877,0.0027681998908519,0.2408518195152282,0.0442580000963062,gd_constant_lr0.1_s0
383,0.1,28.537004470825195,3.321804183619091e-06,31,3.9583926999475807,1.42685022354126,8.5410795211792,0.0026947001460939,0.2216820269823074,0.0446872999891638,gd_constant_lr0.1_s0
511,0.1,34.14702606201172,3.75526488056479e-06,31,4.695393800036982,1.707351303100586,9.606749534606934,0.0027264000382274,0.3627263903617859,0.0461474999319762,gd_constant_lr0.1_s0
639,0.1,32.93865966796875,3.082458080699628e-06,31,4.040705400053412,1.6469329833984376,8.888508796691895,0.0031653998885303,0.4185269176959991,0.0456371998880058,gd_constant_lr0.1_s0
767,0.1,39.47666549682617,3.945392464500465e-06,31,4.565248599974439,1.9738332748413088,9.117308616638184,0.0037241999525576,0.3031553030014038,0.0596451999153941,gd_constant_lr0.1_s0
895,0.1,35.55572891235352,3.5497068170777023e-06,31,4.002634899923578,1.777786445617676,10.808306694030762,0.0027238000184297,0.357186496257782,0.044715299969539,gd_constant_lr0.1_s0
1023,0.1,36.43086242675781,3.4167547455665648e-06,31,4.050228599924594,1.8215431213378908,12.30554485321045,0.0027358001098036,0.407115638256073,0.0484299999661743,gd_constant_lr0.1_s0
127,0.3,9.597149848937988,4.0937842978176695e-06,31,4.22674179985188,1.4395724773406982,6.60822343826294,0.0025240001268684,0.2843341529369354,0.0452030999585986,gd_constant_lr0.3_s0
255,0.3,12.490317344665527,4.834492642659108e-06,31,4.03936200006865,1.873547601699829,7.9175028800964355,0.0024436998646706,0.2131827175617218,0.0473934998735785,gd_constant_lr0.3_s0
383,0.3,11.987525939941406,2.646381905362932e-06,31,3.9900287999771535,1.798128890991211,9.794175148010254,0.0025455001741647,0.3754896223545074,0.0438151999842375,gd_constant_lr0.3_s0
511,0.3,12.947721481323242,3.206453629577228e-06,31,3.937760599888861,1.9421582221984863,10.90656280517578,0.0026273999828845,0.3089331090450287,0.0459470998030155,gd_constant_lr0.3_s0
639,0.3,15.986034393310549,2.6599687284195325e-06,31,3.9367313999682665,2.397905158996582,13.07795238494873,0.0026700999587774,0.398611843585968,0.0445266000460833,gd_constant_lr0.3_s0
767,0.3,13.835345268249512,3.2282676133066414e-06,31,4.4515817000065,2.0753017902374267,15.605430603027344,0.0025911999400705,0.4168546795845032,0.0446478000376373,gd_constant_lr0.3_s0
895,0.3,16.16744613647461,3.3790733073174504e-06,31,3.986578900134191,2.4251169204711918,18.51011657714844,0.0031749999616295,0.3467554152011871,0.0449502000119537,gd_constant_lr0.3_s0
1023,0.3,21.551172256469727,2.7845612676003805e-06,31,3.95904739992693,3.232675838470459,21.007280349731445,0.0026279999874532,0.3008824586868286,0.0472415999975055,gd_constant_lr0.3_s0
