mode,seed,signal,transform,step,MG,LB,PRdelay,degenerate,mg_seconds
constant_lr,0,probe_loss,raw,499,4.4429709623136615,8.525335661227805,1.2446782925983058,False,0.9110046999994665
constant_lr,0,probe_loss,raw,599,11.977109845441957,24.15390783068041,1.2145427570451999,False,0.9110046999994665
constant_lr,0,probe_loss,raw,699,9.147009478999822,20.095147572288592,1.257877494049436,False,0.9110046999994665
constant_lr,0,probe_loss,raw,799,10.109224800587553,20.679681080014557,1.128597801162234,False,0.9110046999994665
constant_lr,0,probe_loss,raw,899,8.21309306048966,20.01560720423435,1.0961519645516669,False,0.9110046999994665
constant_lr,0,probe_loss,raw,999,8.066843143409498,36.68179651193928,1.1109980444788286,False,0.9110046999994665
constant_lr,0,probe_loss,raw,1099,6.996850106974131,14.815893665864001,1.2020094284097749,False,0.9110046999994665
constant_lr,0,probe_loss,raw,1199,5.736516195151072,24.51300459291195,1.1986065262022356,False,0.9110046999994665
constant_lr,0,probe_loss,raw,1299,5.889946007516241,17.120535905372673,1.380283738535684,False,0.9110046999994665
constant_lr,0,probe_loss,raw,1399,10.741670469558294,21.7290196465605,1.2900402199135574,False,0.9110046999994665
constant_lr,0,probe_loss,raw,1499,10.16791413578223,13.631758467148531,1.5287490336390406,False,0.9110046999994665
constant_lr,0,probe_loss,raw,1599,11.53184015875851,13.37207606691254,2.052158959790336,False,0.9110046999994665
constant_lr,0,probe_loss,log,499,7.367186954801292,18.71412602482022,1.295938968429994,False,0.14337279996834695
constant_lr,0,probe_loss,log,599,12.066582079530315,24.91630903661875,1.2158931444506946,False,0.14337279996834695
constant_lr,0,probe_loss,log,699,6.826501634668594,16.06457769919181,1.2528591123944244,False,0.14337279996834695
constant_lr,0,probe_loss,log,799,10.69842800014472,21.722442827286475,1.1251127934250498,False,0.14337279996834695
constant_lr,0,probe_loss,log,899,8.163069798103056,20.181774469486328,1.099524399664383,False,0.14337279996834695
constant_lr,0,probe_loss,log,999,8.64230816840493,34.28811329978863,1.1110025091515714,False,0.14337279996834695
constant_lr,0,probe_loss,log,1099,5.695094533515166,14.292052815529175,1.1920648448985762,False,0.14337279996834695
constant_lr,0,probe_loss,log,1199,5.755316441170212,23.806810179931897,1.1969139915951847,False,0.14337279996834695
constant_lr,0,probe_loss,log,1299,6.017634313118365,17.995093737287252,1.359179311762634,False,0.14337279996834695
constant_lr,0,probe_loss,log,1399,10.778789125667764,21.204567022266716,1.2924344826754757,False,0.14337279996834695
constant_lr,0,probe_loss,log,1499,10.32724526223443,13.869800284213722,1.5299675708617169,False,0.14337279996834695
constant_lr,0,probe_loss,log,1599,11.461231386795697,13.258434369291969,2.053956993395951,False,0.14337279996834695
constant_lr,0,grad_norm,raw,499,12.56957675270656,21.126091786018474,1.1957891003593866,False,0.13429199997335672
constant_lr,0,grad_norm,raw,599,11.195047479364137,11.899005314658622,7.765220376275987,False,0.13429199997335672
constant_lr,0,grad_norm,raw,699,11.823703267132489,12.60144404551589,10.522487736585244,False,0.13429199997335672
constant_lr,0,grad_norm,raw,799,12.271977662868823,12.933019635802466,11.810847168057863,False,0.13429199997335672
constant_lr,0,grad_norm,raw,899,12.850638727316062,13.579690009871287,12.669860857617286,False,0.13429199997335672
constant_lr,0,grad_norm,raw,999,13.075578791379403,13.692561854242586,12.848333286062257,False,0.13429199997335672
constant_lr,0,grad_norm,raw,1099,12.92904139037132,13.751193319921372,14.644770077851426,False,0.13429199997335672
constant_lr,0,grad_norm,raw,1199,11.880378587841767,12.51421295840709,14.314123475625134,False,0.13429199997335672
constant_lr,0,grad_norm,raw,1299,12.414635019722885,12.919296086709855,14.979801081367622,False,0.13429199997335672
constant_lr,0,grad_norm,raw,1399,13.002387242515889,13.538043557300114,15.99683929815279,False,0.13429199997335672
constant_lr,0,grad_norm,raw,1499,13.03601541109553,13.606131955054439,16.058473694613717,False,0.13429199997335672
constant_lr,0,grad_norm,raw,1599,13.221803508415352,13.822479886462139,15.079348730109544,False,0.13429199997335672
constant_lr,0,grad_norm,log,499,12.730407853984087,15.374516093151573,2.5088298016185075,False,0.11607099999673665
constant_lr,0,grad_norm,log,599,11.506068213715517,12.245172004409728,7.756639516945044,False,0.11607099999673665
constant_lr,0,grad_norm,log,699,11.961386623581328,12.560211054447272,10.715961356388936,False,0.11607099999673665
constant_lr,0,grad_norm,log,799,12.422188069872185,13.146346517544677,12.093348527485803,False,0.11607099999673665
constant_lr,0,grad_norm,log,899,13.119146899553238,13.918238740237584,12.843388616375677,False,0.11607099999673665
constant_lr,0,grad_norm,log,999,12.8884258722793,13.583399624179384,12.892882762645527,False,0.11607099999673665
constant_lr,0,grad_norm,log,1099,12.694066013836903,13.426461151066832,14.799542271800494,False,0.11607099999673665
constant_lr,0,grad_norm,log,1199,11.773670567278572,12.31808298842764,14.158534163728335,False,0.11607099999673665
constant_lr,0,grad_norm,log,1299,12.427525395751543,12.927055001760808,15.173583218134649,False,0.11607099999673665
constant_lr,0,grad_norm,log,1399,13.132101282782875,13.672232406301713,16.11909369006258,False,0.11607099999673665
constant_lr,0,grad_norm,log,1499,13.279704900242713,13.76920391361076,16.167609335739094,False,0.11607099999673665
constant_lr,0,grad_norm,log,1599,13.429980263706286,13.993931767534955,15.007879453859372,False,0.11607099999673665
constant_lr,1,probe_loss,raw,499,5.637591639338262,12.634596176115927,1.229476296027665,False,0.1430699999909848
constant_lr,1,probe_loss,raw,599,6.582033832599426,18.41115222275387,1.212047651632421,False,0.1430699999909848
constant_lr,1,probe_loss,raw,699,7.530267017427032,18.535934269285477,1.333135713573568,False,0.1430699999909848
constant_lr,1,probe_loss,raw,799,9.7422381609716,17.379366448022168,1.3091781852053104,False,0.1430699999909848
constant_lr,1,probe_loss,raw,899,10.027577030249493,18.981445826903077,1.4373123733952018,False,0.1430699999909848
constant_lr,1,probe_loss,raw,999,9.352929324908331,26.84419087782304,1.278416772893382,False,0.1430699999909848
