step,lambda_max,eta_lambda_over_2,power_iters,seconds
0,-9.297690391540527,-0.013946535587310792,8,0.12456759996712208
160,47.008140563964844,0.07051221084594726,8,0.12339460011571646
320,42.96528625488281,0.06444792938232421,8,0.10782119981013238
480,53.592132568359375,0.08038819885253906,8,0.13087640004232526
640,48.51062774658203,0.07276594161987304,6,0.10524969990365207
800,42.88794708251953,0.06433192062377929,6,0.09451600001193583
960,57.00015640258789,0.08550023460388184,7,0.11925449990667403
1120,53.09070587158203,0.07963605880737305,8,0.15700859995558858
1280,54.587127685546875,0.08188069152832031,8,0.13317880011163652
1440,72.44580841064453,0.1086687126159668,8,0.15575090004131198
1599,66.63990783691406,0.0999598617553711,8,0.15097830002196133
