seed,mode,steps,train_seconds,hessian_seconds,n_parameters,vocab,context,batch,switch_step,hessian_every
0,constant_lr,1600,34.78056630003266,1.2676337000448257,113536,154,64,32,,160
1,constant_lr,1600,36.863516200101,1.4025965998880565,113536,154,64,32,,160
0,lr_switch,1600,35.7263519000262,1.2549105996731669,113536,154,64,32,800.0,160
1,lr_switch,1600,35.69204260013066,1.3054186995141208,113536,154,64,32,800.0,160
