step,lambda_max,eta_lambda_over_2,power_iters,seconds
0,-9.297690391540527,-0.013946535587310792,8,0.11951210000552237
160,47.008140563964844,0.07051221084594726,8,0.11342019983567297
320,42.96528625488281,0.06444792938232421,8,0.1456641999538988
480,53.592132568359375,0.08038819885253906,8,0.14979920000769198
640,48.51062774658203,0.07276594161987304,6,0.1080431998707354
800,45.733497619628906,0.006860024642944335,5,0.07665469986386597
960,56.30752182006836,0.008446128273010254,7,0.11997759994119406
1120,52.276649475097656,0.007841497421264648,8,0.145348499994725
1280,53.54298400878906,0.008031447601318359,8,0.12627939996309578
1440,55.55453872680664,0.008333180809020995,7,0.09674419998191297
1599,53.665122985839844,0.008049768447875976,8,0.10397540009580553
