step,train_loss,probe_loss,grad_norm,lr
0,43.04119873046875,39.3896598815918,8.267668724060059,0.003
1,39.14314270019531,36.759910583496094,9.185412406921387,0.003
2,34.73979949951172,33.26042938232422,10.622968673706055,0.003
3,29.42227554321289,28.68208885192871,11.684417724609375,0.003
4,22.347003936767578,23.77938461303711,11.661178588867188,0.003
5,17.549110412597656,19.816572189331055,10.80242919921875,0.003
6,13.412420272827148,17.073226928710938,10.477306365966797,0.003
7,10.700109481811523,15.471704483032227,8.257613182067871,0.003
8,9.259404182434082,14.50643253326416,7.489938259124756,0.003
9,7.550102233886719,13.9345064163208,4.977941036224365,0.003
10,6.828219413757324,13.46094799041748,4.900872230529785,0.003
11,6.444046497344971,13.013591766357422,4.596045017242432,0.003
12,5.752012252807617,12.603918075561523,4.183413028717041,0.003
13,5.648270606994629,12.268109321594238,3.6597743034362793,0.003
14,5.138707160949707,11.99614143371582,3.667635202407837,0.003
15,5.3073272705078125,11.74962329864502,3.5487818717956543,0.003
16,4.985711097717285,11.572362899780273,2.91853928565979,0.003
17,4.695517539978027,11.42934513092041,3.4925906658172607,0.003
18,4.836152076721191,11.25833511352539,3.4873123168945312,0.003
19,4.449371337890625,11.105758666992188,3.0380773544311523,0.003
20,4.360658168792725,11.02066707611084,2.145688533782959,0.003
21,4.3562822341918945,10.973299026489258,2.2000582218170166,0.003
22,4.480510711669922,10.900832176208496,2.7067995071411133,0.003
23,4.22317361831665,10.786813735961914,3.007166624069214,0.003
24,4.013495445251465,10.659488677978516,2.496429204940796,0.003
25,4.104327201843262,10.546981811523438,2.0558953285217285,0.003
26,3.6904492378234863,10.48438835144043,1.1775479316711426,0.003
27,3.806032180786133,10.458351135253906,1.2117297649383545,0.003
28,3.749408721923828,10.449407577514648,1.367815613746643,0.003
29,3.9543919563293457,10.427117347717285,1.5886311531066895,0.003
30,3.7301673889160156,10.40720272064209,1.293569564819336,0.003
31,3.9612221717834473,10.378942489624023,1.3945916891098022,0.003
32,3.946230411529541,10.332979202270508,1.3749927282333374,0.003
33,3.880537986755371,10.266899108886719,1.373338222503662,0.003
34,3.7960193157196045,10.19250202178955,1.2486807107925415,0.003
35,3.978351354598999,10.09697437286377,1.2936654090881348,0.003
