regime,r,seed,observer,window,MG,MG_2E,ident_ratio,degenerate,crossings,sd,phase,end
stationary,2,1,loss,8192,2.5675148949338165,2.614915165754305,1.0184615368401633,False,1753.0,0.1280641402092502,,
stationary,2,1,probe_error,8192,1.9576583197074902,1.9951646570522727,1.019158776057707,False,784.0,1.1286634893141245,,
stationary,2,2,loss,2048,2.389721520230664,2.3533209731890774,0.9847678707609105,False,435.0,0.1281289468995856,,
stationary,2,2,probe_error,2048,2.603419390409216,2.690923230033078,1.0336111192634652,False,222.0,1.40574841665534,,
stationary,2,2,loss,8192,2.567514895109628,2.614915166212561,1.018461536948906,False,1753.0,0.12806414020925075,,
stationary,2,2,probe_error,8192,2.5473008391444965,2.618347736669725,1.0278910509640038,False,887.0,1.4106925415448797,,
stationary,4,0,loss,2048,3.710313777213361,3.672863998983796,0.9899065738160583,False,533.0,0.09209848626752744,,
stationary,4,0,probe_error,2048,3.4354228839348733,3.285925411182269,0.9564835311973667,False,278.0,0.7140938375288773,,
stationary,4,0,loss,8192,4.987397295801567,4.382415837562865,0.8786979616105619,False,2141.0,0.09214786442820434,,
stationary,4,0,probe_error,8192,4.253166072227996,3.7867139485535293,0.8903282599942968,False,1134.0,0.7112098583619323,,
stationary,4,1,loss,2048,3.7103137781438873,3.672863999672914,0.9899065737535256,False,533.0,0.09209848626752747,,
stationary,4,1,probe_error,2048,3.641178211531362,3.3050263925648546,0.9076804815809516,False,283.0,0.8445775293096709,,
stationary,4,1,loss,8192,4.987397295935678,4.382415837301339,0.8786979615344963,False,2141.0,0.09214786442820438,,
stationary,4,1,probe_error,8192,4.1132974549724794,4.76918011086646,1.1594542245178738,False,1128.0,0.8452800436057988,,
stationary,4,2,loss,2048,3.7103137768556653,3.6728639996589054,0.9899065740934458,False,533.0,0.0920984862675277,,
stationary,4,2,probe_error,2048,2.976662463202199,3.007444259524494,1.010341043602633,False,338.0,1.473275363248667,,
stationary,4,2,loss,8192,4.987397296055632,4.382415837091235,0.8786979614712354,False,2141.0,0.09214786442820455,,
stationary,4,2,probe_error,8192,3.5695172449756303,3.253545817923318,0.9114806273881807,False,1355.0,1.471393341206311,,
stationary,6,0,loss,2048,5.877738624337878,5.706011340710555,0.9707834433269533,False,685.0,0.0772429692356245,,
stationary,6,0,probe_error,2048,4.473617207393762,5.047734511143904,1.128334025271825,False,415.0,0.6643295406476037,,
stationary,6,0,loss,8192,7.002717169143081,7.152217419921162,1.0213488917468838,False,2695.0,0.07729710744249645,,
stationary,6,0,probe_error,8192,4.976449693824513,4.473400421377179,0.8989140243753315,False,1656.0,0.6650509735945662,,
stationary,6,1,loss,2048,5.877738623529116,5.706011340254677,0.9707834433829705,False,685.0,0.07724296923562567,,
stationary,6,1,probe_error,2048,5.023462693747678,6.194401435085012,1.2330939458940766,False,372.0,0.7586730619199651,,
stationary,6,1,loss,8192,7.002717169162992,7.152217419792731,1.0213488917256397,False,2695.0,0.07729710744249713,,
stationary,6,1,probe_error,8192,5.456485859650136,5.961353819653111,1.092526210639781,False,1476.0,0.7603422564787051,,
stationary,6,2,loss,2048,5.8777386244521805,5.706011340801408,0.9707834433235318,False,685.0,0.07724296923562562,,
stationary,6,2,probe_error,2048,4.808183155042709,4.958116830238263,1.0311830207712258,False,405.0,1.2360641789907916,,
stationary,6,2,loss,8192,7.002717169247673,7.152217420413457,1.0213488918019298,False,2695.0,0.07729710744249699,,
stationary,6,2,probe_error,8192,4.74356466186692,4.812991443565071,1.0146359935295637,False,1626.0,1.2374235688253585,,
switch,4,0,loss,8192,4.971432225122277,4.384105197396921,0.881859592743234,False,2144.0,0.09209120927912366,before,
switch,4,0,probe_error,8192,4.206165231468751,3.7894294049276094,0.9009226210555638,False,1133.0,0.7104038366709372,before,
switch,4,0,loss,8192,2.5627905968242755,2.6177973678636453,1.0214636229380318,False,1758.0,0.06398625785705059,after,
switch,4,0,probe_error,8192,2.6809594095053018,2.723498885741474,1.0158672585960642,False,887.0,0.37186863261654307,after,
switch_trace,4,0,loss,4096,4.42507669267281,3.6805344810149228,0.8317447892167101,False,1071.0,0.0921656856437634,,4096.0
switch_trace,4,0,loss,4096,4.420480277500305,3.6851495034663033,0.8336536466915725,False,1082.0,0.09218729645643375,,6144.0
switch_trace,4,0,loss,4096,4.528516025301405,3.6833714127594783,0.8133727234661433,False,1071.0,0.0920166334525405,,8192.0
switch_trace,4,0,loss,4096,3.0942754154688132,3.0351993258085366,0.9809079407201617,False,872.0,0.10298040446454933,,10240.0
switch_trace,4,0,loss,4096,2.743480292532419,2.8353233470190915,1.033476841345157,False,848.0,0.06534680470452935,,12288.0
switch_trace,4,0,loss,4096,2.6002343809498467,2.801028875948982,1.0772216906561272,False,881.0,0.0639426923240787,,14336.0
switch_trace,4,0,loss,4096,2.6049171284638155,2.795762815966229,1.0732636310833275,False,879.0,0.06399828883133953,,16384.0
switch_trace,4,0,loss,4096,2.6038567228913005,2.778903925123033,1.0672261268036904,False,874.0,0.06414142420682895,,18432.0
switch_trace,4,0,loss,4096,2.604456895348677,2.793010224967782,1.0723964101520913,False,881.0,0.06397421168461828,,20480.0
switch,4,1,loss,8192,4.97143222564625,4.384105197023895,0.8818595925752549,False,2144.0,0.09209120927912366,before,
switch,4,1,probe_error,8192,4.1535125863191835,4.77652026441881,1.1499953750355028,False,1145.0,0.8450282681629608,before,
switch,4,1,loss,8192,2.5627905961407063,2.6177973670275385,1.0214636228842366,False,1758.0,0.06398625785705049,after,
switch,4,1,probe_error,8192,1.9959910700755976,2.002337751107725,1.0031797141416505,False,847.0,0.5831436928804018,after,
switch,4,2,loss,8192,4.97143222563109,4.384105196961947,0.8818595925654834,False,2144.0,0.09209120927912363,before,
switch,4,2,probe_error,8192,3.6011920344585735,3.2796424878987076,0.9107102471950764,False,1354.0,1.4719106478122788,before,
switch,4,2,loss,8192,2.5627905962767183,2.6177973666736043,1.0214636226919207,False,1758.0,0.06398625785705085,after,
switch,4,2,probe_error,8192,2.6341851671333774,2.691448823741224,1.0217386603350147,False,887.0,0.56846311670454,after,
damped,4,0,loss,8192,96.57471381393316,109.17325560320619,1.1304538350850943,True,28.0,0.021380625830615348,before,
damped,4,0,probe_error,8192,9.67179582754628,14.123927402694944,1.460321087679346,True,331.0,0.0783877713285573,before,
damped,4,0,loss,8192,7.507188862994648,11.436948487338901,1.5234661996736625,False,1237.0,8.356387791637053e-32,after,
damped,4,0,probe_error,8192,5.241692460109028,6.844561305248602,1.3057922335844623,False,830.0,8.028197080134696e-16,after,
damped,4,1,loss,8192,97.42349611879375,108.91093041019639,1.1179123594311928,True,28.0,0.02138062583061534,before,
damped,4,1,probe_error,8192,10.77321907984152,15.620250032388075,1.4499148227307617,True,286.0,0.09436907279645011,before,
damped,4,1,loss,8192,7.2814993844994405,11.02076969207617,1.513530264870548,False,1321.0,8.836637138634357e-32,after,
damped,4,1,probe_error,8192,6.052340847814057,7.6417981242489414,1.2626185993819157,False,1084.0,6.581411179753428e-16,after,
damped,4,2,loss,8192,96.80156026840677,109.41488101599126,1.1303008000347399,True,28.0,0.021380625830615355,before,
damped,4,2,probe_error,8192,12.10228155523124,15.326110290283612,1.2663818983503043,True,383.0,0.1619781662558437,before,
damped,4,2,loss,8192,7.123717975938025,10.922708707358586,1.5332876377549638,False,1292.0,1.1667931706085787e-31,after,
damped,4,2,probe_error,8192,5.205987477496788,6.671212763879758,1.2814500212911575,False,1139.0,1.0749046243663297e-15,after,
