regime,r,seed,observer,window,MG,MG_2E,ident_ratio,degenerate,crossings,sd,phase,end
stationary,1,0,loss,2048,0.8958329411552669,0.8666875463119963,0.9674655915134303,False,362.0,0.18023096655129567,,
stationary,1,0,probe_error,2048,1.0744948384453952,1.0805177027021995,1.005605298454033,False,181.0,0.3275959164998734,,
stationary,1,0,loss,8192,1.1199511714011736,1.1191904387368194,0.9993207447933624,False,1448.0,0.18023411025041364,,
stationary,1,0,probe_error,8192,1.0115651279890783,1.0100337143071323,0.9984860948251644,False,724.0,0.32759796541990754,,
stationary,1,1,loss,2048,0.8958329330089347,0.8666875366013855,0.9674655894714037,False,362.0,0.18023096655129647,,
stationary,1,1,probe_error,2048,1.0744948269869763,1.0805176871542794,1.0056052947078322,False,181.0,1.5650683234775482,,
stationary,1,1,loss,8192,1.1199511883338948,1.119190456106321,0.9993207451936316,False,1448.0,0.18023411025041425,,
stationary,1,1,probe_error,8192,1.0115651239419217,1.0100337092141731,0.9984860937852613,False,724.0,1.5650781120606239,,
stationary,1,2,loss,2048,0.8958329382508545,0.8666875420658654,0.9674655899102164,False,362.0,0.1802309665512952,,
stationary,1,2,probe_error,2048,1.074494827250119,1.080517689360013,1.0056052965143705,False,181.0,0.5865700816582252,,
stationary,1,2,loss,8192,1.1199511994252787,1.1191904676197673,0.9993207455772164,False,1448.0,0.18023411025041305,,
stationary,1,2,probe_error,8192,1.011565114492562,1.0100337007034106,0.9984860946989857,False,724.0,0.5865737503095475,,
stationary,2,0,loss,2048,2.3897215187124683,2.3533209721192057,0.9847678709388388,False,435.0,0.1281289468995851,,
stationary,2,0,probe_error,2048,2.5716041024451495,2.676505793585105,1.0407923175422733,False,222.0,0.8979322410860224,,
stationary,2,0,loss,8192,2.5675148948017634,2.6149151663609453,1.0184615371288204,False,1753.0,0.12806414020925055,,
stationary,2,0,probe_error,8192,2.5851640251972814,2.649104179708687,1.0247335000364344,False,887.0,0.9010244911694056,,
stationary,2,1,loss,2048,2.389721519198243,2.3533209726807183,0.9847678709736283,False,435.0,0.1281289468995848,,
stationary,2,1,probe_error,2048,2.6650956435818967,2.6587092603104114,0.9976036945289881,False,197.0,1.1336902993636673,,
