step,lr,lambda_max,ritz_residual,hvp_count,hessian_seconds,gd_ratio,activation_pr,activation_seconds,gradient_proxy,gradient_seconds
127,0.01,27.381614685058594,1.7390325481397652e-06,31,3.8720915999729186,0.13690807342529296,5.2640886306762695,0.0024594999849796295,0.3077069818973541,0.04167290008626878
255,0.01,51.18116760253906,4.286455443612186e-06,31,4.346164700109512,0.25590583801269534,4.029462814331055,0.00385789992287755,0.6006959080696106,0.06469719996675849
383,0.01,84.1588134765625,5.172926062008408e-06,31,3.9948507000226527,0.4207940673828125,5.288806438446045,0.0029920998495072126,1.6931021213531494,0.047070000087842345
511,0.01,118.28450012207031,5.870664411856451e-06,31,3.869494599988684,0.5914225006103516,5.633364200592041,0.00246789981611073,4.160287857055664,0.04364700010046363
639,0.01,161.5036163330078,3.609163589111873e-06,31,3.916788100032136,0.8075180816650391,5.956806182861328,0.002536799991503358,8.151131629943848,0.046197300078347325
767,0.01,232.7834014892578,1.0081801633361968e-05,31,5.111473400145769,1.163917007446289,6.288547039031982,0.004269999917596579,14.109066009521484,0.06568120000883937
895,0.01,208.86138916015625,7.782886047578653e-06,31,5.420212900033221,1.0443069458007812,6.549034118652344,0.004254000028595328,0.3563949167728424,0.06618269998580217
1023,0.01,226.620361328125,6.44872816509675e-06,31,5.665957099990919,1.133101806640625,6.7260003089904785,0.00469799991697073,0.4096071422100067,0.05902210017666221
