observer,seed,mae,max_error,rho,inversions,objective
gradient_fro,1,1.1710235725464964,2.619351541853825,0.9761904761904763,1,1.56392630382457
gradient_fro,2,1.285314136104195,2.278538770897076,1.0,0,1.6270949517387565
gradient_projection,1,0.4785138232571313,1.3694884290440656,0.9761904761904763,1,0.6839370876137412
gradient_projection,2,0.5298119524210918,1.9536554115929787,1.0,0,0.8228602641600387
latent_fro,1,0.6917862497542628,1.7677192609564427,0.9761904761904763,1,0.9569441388977292
latent_fro,2,0.6631525280699605,1.229983681113656,0.9047619047619048,2,0.8476500802370088
latent_projection,1,0.5225389430024112,1.3801753666776824,0.9761904761904763,1,0.7295652480040635
latent_projection,2,0.8061136123767949,1.9293932078592295,0.8095238095238096,1,1.0955225935556794
loss,1,0.4780123378370686,1.0153100479233519,0.9523809523809524,2,0.6303088450255714
loss,2,0.5496994082225594,0.9126725492149461,0.9523809523809524,2,0.6866002906048012
output_fro,1,1.0576897796888332,2.0912247376764954,1.0,0,1.3713734903403074
output_fro,2,1.212300548956588,2.346485908042355,1.0,0,1.5642734351629413
output_projection,1,0.6041806050448464,2.095187867932127,0.9285714285714287,1,0.9184587852346655
output_projection,2,0.6901150927336472,2.6618736444365965,0.9761904761904763,1,1.0893961393991367
parameter_fro,1,0.6061417336549273,1.7941225501344293,1.0,0,0.8752601161750917
parameter_fro,2,0.6195499593175171,1.381312514535546,0.9285714285714287,1,0.826746836497849
parameter_projection,1,0.7176539442801615,2.372493969404437,0.880952380952381,2,1.073528039690827
parameter_projection,2,1.0294180402973356,3.8889626326306557,0.7857142857142858,2,1.612762435191934
