run,column,smooth,seed,observed,surr_median,surr_max,p,n,generalises
mod_wd0,train_loss,101,0,1.032391897228822,6.2355506624545205,25.473071970923087,0.875,39,False
mod_wd0,train_loss,101,1,1.032391897228822,5.66837285440783,17.647666701273984,0.925,39,False
mod_wd0,train_loss,101,2,1.032391897228822,2.6079279140896263,20.37982960567308,0.9,39,False
mod_wd0,train_loss,101,3,1.032391897228822,3.9327983803856075,23.642730924964805,0.875,39,False
mod_wd0,train_loss,101,4,1.032391897228822,4.806414772465061,17.818093380169703,0.9,39,False
mod_wd0,train_loss,201,0,1.032391897228822,3.9083216926225237,21.58338703910208,0.9,39,False
mod_wd0,train_loss,201,1,1.032391897228822,3.733841132940478,29.734872652406946,0.95,39,False
mod_wd0,train_loss,201,2,1.032391897228822,2.714756104016607,20.22904259642797,0.925,39,False
mod_wd0,train_loss,201,3,1.032391897228822,4.940882877649428,20.896652223628966,0.975,39,False
mod_wd0,train_loss,201,4,1.032391897228822,6.226433836890106,21.209092264862676,0.9,39,False
mod_wd0,train_loss,401,0,1.032391897228822,10.525385031786538,29.03034761133231,0.875,39,False
mod_wd0,train_loss,401,1,1.032391897228822,3.919637609617561,21.81221319472195,0.875,39,False
mod_wd0,train_loss,401,2,1.032391897228822,6.581777481908753,21.679809770914257,0.775,39,False
mod_wd0,train_loss,401,3,1.032391897228822,4.540815864642161,25.000899263943097,0.9,39,False
mod_wd0,train_loss,401,4,1.032391897228822,3.680371702953093,24.110058889593155,0.825,39,False
mod_wd1,train_loss,101,0,1.3928401519481708,1.378218747992607,2.506083904292981,0.5,39,True
mod_wd1,train_loss,101,1,1.3928401519481708,1.5726113093893463,2.4692042105854344,0.65,39,True
mod_wd1,train_loss,101,2,1.3928401519481708,1.677267494349404,3.1182577904326956,0.775,39,True
mod_wd1,train_loss,101,3,1.3928401519481708,1.4848533735857736,2.6428013790870986,0.625,39,True
mod_wd1,train_loss,101,4,1.3928401519481708,1.5352708698516129,2.6652714925410947,0.65,39,True
mod_wd1,train_loss,201,0,1.3928401519481708,1.621568190800912,3.570964659033855,0.8,39,True
mod_wd1,train_loss,201,1,1.3928401519481708,1.7263717722818552,2.762948831993173,0.725,39,True
mod_wd1,train_loss,201,2,1.3928401519481708,1.676720815049918,2.9116330020636894,0.8,39,True
mod_wd1,train_loss,201,3,1.3928401519481708,1.690749528118913,2.836820043010054,0.8,39,True
mod_wd1,train_loss,201,4,1.3928401519481708,1.4766133150656429,2.375415801491535,0.65,39,True
mod_wd1,train_loss,401,0,1.3928401519481708,1.9654615417736823,3.4747190442417604,0.875,39,True
mod_wd1,train_loss,401,1,1.3928401519481708,1.9694860476672453,3.0776438992789212,0.825,39,True
mod_wd1,train_loss,401,2,1.3928401519481708,1.863473620890211,2.7334507602658267,0.925,39,True
mod_wd1,train_loss,401,3,1.3928401519481708,1.7736537333418485,3.521784688830673,0.775,39,True
mod_wd1,train_loss,401,4,1.3928401519481708,1.8371324689644635,3.031567253808084,0.85,39,True
mod_wd1_s43,train_loss,101,0,1.8490202960229651,2.1367406550874897,10.56305106066211,0.675,39,True
mod_wd1_s43,train_loss,101,1,1.8490202960229651,2.305471711052939,13.503972812508664,0.675,39,True
mod_wd1_s43,train_loss,101,2,1.8490202960229651,2.2213626817428893,12.27442372586471,0.725,39,True
mod_wd1_s43,train_loss,101,3,1.8490202960229651,2.3167480569527656,7.937503780316904,0.7,39,True
mod_wd1_s43,train_loss,101,4,1.8490202960229651,2.393055242464446,9.155270015593825,0.7,39,True
mod_wd1_s43,train_loss,201,0,1.8490202960229651,2.0174865846077132,6.743677610285714,0.675,39,True
mod_wd1_s43,train_loss,201,1,1.8490202960229651,1.9390106457239842,3.9148683468307333,0.55,39,True
mod_wd1_s43,train_loss,201,2,1.8490202960229651,2.1985157592656956,4.830502152120934,0.7,39,True
mod_wd1_s43,train_loss,201,3,1.8490202960229651,2.053886096423468,4.635580823264058,0.675,39,True
mod_wd1_s43,train_loss,201,4,1.8490202960229651,2.1864718861932304,10.183142044520904,0.7,39,True
mod_wd1_s43,train_loss,401,0,1.8490202960229651,2.4263631299937156,6.694122808152351,0.8,39,True
mod_wd1_s43,train_loss,401,1,1.8490202960229651,2.1873719477675797,4.1044145416403355,0.75,39,True
mod_wd1_s43,train_loss,401,2,1.8490202960229651,2.1918148357661518,5.02331923236101,0.9,39,True
mod_wd1_s43,train_loss,401,3,1.8490202960229651,2.14304951414827,3.934724516264986,0.7,39,True
mod_wd1_s43,train_loss,401,4,1.8490202960229651,2.3301323363841995,4.822837930789566,0.725,39,True
mod_wd1_s44,train_loss,101,0,2.112383038182447,2.1877531613869117,10.268180643895588,0.575,39,True
mod_wd1_s44,train_loss,101,1,2.112383038182447,2.2932722862458603,12.261338217150143,0.6,39,True
mod_wd1_s44,train_loss,101,2,2.112383038182447,3.1306506505559555,10.518534302588781,0.7,39,True
mod_wd1_s44,train_loss,101,3,2.112383038182447,3.035435356786291,9.769199495251009,0.625,39,True
mod_wd1_s44,train_loss,101,4,2.112383038182447,2.1275617737309718,10.528140401157284,0.525,39,True
mod_wd1_s44,train_loss,201,0,2.112383038182447,2.1438469549208854,5.926483718441338,0.575,39,True
mod_wd1_s44,train_loss,201,1,2.112383038182447,2.1010586831589233,5.7805903340745175,0.5,39,True
mod_wd1_s44,train_loss,201,2,2.112383038182447,2.0199089903731613,6.818059961721826,0.45,39,True
