step,train_loss,val_loss,train_acc,val_acc,weight_norm
0,4.766606335482049,4.75184159705444,0.00390625,0.01171875,41.99379049741646
10,4.708065164302538,4.75820684250652,0.01953125,0.009765625,41.574446940155106
20,4.668477023051703,4.762536904192927,0.0078125,0.01171875,41.22451426636435
30,4.666922794545534,4.77490008858166,0.0078125,0.005859375,40.97193481799533
40,4.568269024616617,4.789635808361886,0.04296875,0.0078125,40.85343521906318
50,4.521147496487943,4.817105644294317,0.0703125,0.0078125,40.89739489769187
60,4.424450051703596,4.883047068691981,0.05078125,0.0078125,41.10033962604637
70,4.317675311645792,4.992806233801397,0.08203125,0.005859375,41.3776136561898
80,4.146843022242989,5.103508002586471,0.1015625,0.00390625,41.627813535424394
90,4.062148785787876,5.235447692038599,0.07421875,0.005859375,41.81992607661233
100,3.976148088025044,5.351598975207986,0.12890625,0.001953125,41.99353376081088
110,3.8721220268082104,5.4566439400952405,0.1328125,0.00390625,42.1677519982758
120,3.7641655581109674,5.566613367526509,0.14453125,0.0,42.33312979579585
130,3.600301916988875,5.692960009940973,0.1484375,0.00390625,42.502535065274685
140,3.6407399586177127,5.816942299477232,0.1484375,0.001953125,42.706323896293945
150,3.582509976377382,5.908083594914915,0.15234375,0.0,42.86786006576519
160,3.381507358680904,6.032215740301385,0.16796875,0.001953125,43.041589836198696
170,3.353053775391734,6.134598355880819,0.19140625,0.001953125,43.200204948990205
180,3.2505454114910712,6.24302692882183,0.1953125,0.001953125,43.37751451661373
190,3.380808266545067,6.327975775576325,0.15625,0.001953125,43.54702625857897
200,3.058465094303905,6.453033143764268,0.2734375,0.001953125,43.71791924160408
210,2.978916675121737,6.5313131123071475,0.24609375,0.0,43.8838550963556
220,2.9937470461607885,6.6772078651789135,0.2421875,0.0,44.07862428751366
230,2.907393010866065,6.7553204862584515,0.26953125,0.0,44.25707703164102
240,2.7068975997176077,6.86161709712317,0.32421875,0.0,44.440709153149925
250,2.67432638011257,6.969901356145687,0.31640625,0.0,44.6508981679615
260,2.708468657542734,7.068746784723305,0.28125,0.0,44.85442253427569
270,2.6925399536085086,7.181219793652381,0.25,0.0,45.062957668545245
280,2.4999805786938567,7.264073617321637,0.34375,0.0,45.272222462749994
290,2.3330310973198314,7.386160836688685,0.3984375,0.0,45.482910490663066
300,2.3187487618563947,7.509817936086642,0.44921875,0.0,45.72194222025193
310,2.462844948498139,7.6049917543606655,0.375,0.0,45.95429083510143
320,2.173280130596026,7.74342835428582,0.4375,0.0,46.19021703964722
330,2.140830167245535,7.85440511572212,0.453125,0.0,46.436837751287406
340,2.00163568714334,7.937765951261464,0.51953125,0.0,46.666522411460726
350,2.1419915005316637,8.073665408734715,0.4375,0.0,46.92285791141247
360,1.966165744675483,8.177303742671919,0.515625,0.0,47.17603477183028
370,1.8678518254473453,8.30052222855797,0.54296875,0.0,47.437335536847336
380,1.946606431927987,8.418609583429808,0.49609375,0.0,47.68430598631137
390,1.9066529164691308,8.497661788088983,0.5078125,0.0,47.93518714265781
400,1.7935006986001039,8.666560503605409,0.5703125,0.0,48.19432503586231
410,1.575353284277766,8.781523199098325,0.62890625,0.001953125,48.45558392286954
420,1.7459642636381165,8.925865656523904,0.54296875,0.0,48.70548738604089
430,1.6117857212984492,9.060071950315734,0.6328125,0.001953125,48.96347313898955
440,1.5168301514972264,9.131499639019449,0.671875,0.001953125,49.21285490472669
450,1.4985526237272346,9.241284623686179,0.6171875,0.001953125,49.447703770275396
460,1.3784115845944525,9.40693362323725,0.703125,0.001953125,49.718567350035116
470,1.4492183883812533,9.556742146157118,0.67578125,0.001953125,49.99605689297862
480,1.2685244100117126,9.647531978951617,0.73046875,0.001953125,50.25612556704291
490,1.261610707599394,9.840636111892875,0.73828125,0.001953125,50.52459532350967
