metric,window_size,center_step,lb,mg
train_loss,100,2500,1.679605595205475,1.6102746469182343
train_loss,100,3500,3.6097543267107497,3.0296700636930534
train_loss,100,4500,7.81366764247621,5.306624528450432
train_loss,100,5500,6.211057701065286,4.544386828185262
train_loss,100,6500,6.626369885215237,4.318938738823798
train_loss,100,7500,6.4505619034053465,4.5401114496597685
train_loss,100,8500,5.457572344967578,4.4613877996073725
train_loss,100,9500,6.783727539029663,5.295111902227878
train_loss,100,10500,8.53046160792782,6.077676970216625
train_loss,100,11500,12.502636510682551,3.1654879644849956
train_loss,100,12500,21.776668196250565,3.276219252047059
train_loss,100,13500,11.512938234638872,3.3899164072147427
train_loss,100,14500,10.589618690421501,3.506892002271473
train_loss,100,15500,13.818181272955115,5.618494694333704
train_loss,100,16500,13.450585783737464,5.113620732336816
train_loss,100,17500,27.613142244282745,3.0380469542841997
train_loss,100,18500,58.996652673406174,2.0101234294843073
train_loss,100,19500,8.59935090674093,2.9844248575774084
train_loss,100,20500,10.369225911831398,2.7432974499614855
train_loss,100,21500,41.80488614017603,2.7062521572726816
train_loss,100,22500,66.42577269755193,3.118892089559556
train_loss,100,23500,305.74388001745814,3.9204987112273733
train_loss,100,24500,377.8728749005734,2.8130411241153626
train_loss,100,25500,35.37409188168733,4.247478616228758
train_loss,100,26500,15.929453994780836,6.378239945805409
train_loss,100,27500,18.346116111415185,3.4631678929762604
train_loss,100,28500,13.132311603678772,5.996416080444531
train_loss,100,29500,15.848876634203759,5.662309501656806
train_loss,100,30500,44.383860792424116,3.2918437851304954
train_loss,100,31500,152.61803704553452,3.1026317283504232
train_loss,100,32500,10.50562553872548,2.8199473442722995
train_loss,100,33500,19.6474395769993,2.4817711563996085
train_loss,100,34500,12.367051959690517,2.8044459028062176
train_loss,100,35500,483.78779893798264,2.2599753842860304
train_loss,100,36500,90.48177682080576,2.5985885853894386
train_loss,100,37500,27.78006870364493,2.563479223494241
train_loss,100,38500,25.431944347177886,2.3739548538836237
train_loss,100,39500,61.67385525292396,2.7850971685640236
train_loss,100,40500,54.28020164399844,2.342689014808116
train_loss,100,41500,9.59685479441981,2.9823418926852154
train_loss,100,42500,99.27201114533702,2.9407498689328637
train_loss,100,43500,47.61824346076665,2.1204974626787685
train_loss,100,44500,78.33265352469981,2.3399577210500553
train_loss,100,45500,66.37819749247484,1.9690166076237667
train_loss,100,46500,10.3786878734577,2.628781156762949
train_loss,100,47500,99.87633674599394,3.163862470982288
train_loss,100,48500,79.90035553656205,4.680303934852916
train_loss,100,49500,13.597073056283687,7.177710328170294
train_loss,100,50500,11.57706008695023,10.302791409555299
train_loss,100,51500,13.553292310895662,10.857241714534446
train_loss,100,52500,9.480864888175276,6.750061701115304
train_loss,100,53500,124.72177624475826,3.9212147984923247
train_loss,100,54500,6.677643509705985,3.505772484892611
train_loss,100,55500,38.70422467070792,3.5279845909490057
train_loss,100,56500,107.54302726874545,2.7751650995969785
train_loss,100,57500,13.980383375385447,2.6026387939391666
train_loss,100,58500,123.39683755169693,2.3456452555711307
train_loss,100,59500,29.66234752509129,2.092744629437023
