rank,observer,mae,max_error,rho,inversions,n_cells,roughness_rho
1,probability_fro,0.8080476366896711,2.1021872906245305,0.9964285714285714,1,15,-0.5821428571428572
2,weight_trace,0.978606731786113,1.9145249751890265,0.9928571428571429,2,15,-0.6535714285714286
3,gradient_fro,1.1132182709780385,2.1891551496897774,0.9964285714285714,1,15,0.5178571428571429
4,gradient_projection,2.188919478227087,6.414333391151622,0.9678571428571429,6,15,-0.15
5,loss,2.3313884299932104,6.221719177051883,0.9571428571428572,7,15,0.1392857142857143
6,weight_projection,2.8497922293687314,7.430577200795531,0.9892857142857143,3,15,0.007142857142857143
7,weight_fro,2.9006220324504812,7.851906247291712,0.9535714285714286,8,15,0.07857142857142857
