system,k,seed,observer,truth,verified,effective_rank,resonance_margin,n_windows,frac_degenerate,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,tau_used,theiler_used
regression.logistic,1,0,weight_fro,1.0,True,1.0,0.08026802669084088,7,0.0,1.092122168710337,1.4066926863165232e-06,1.0930088729032137,1.4251211046384579e-06,8.41845956502275,0.0030785160327152783,2.030751786891589,2.055092991717094e-05,1.0330542454904037,0.0001973040150247443,1.2382254116226048,0.0004336619130991222,1.3031650954688856,0.0002118210829243858,2.4123977492910376,0.0006002013479622035,1.6430059761527125,2.2296939752262354e-05,1.0,0.0,16.0,150.0
regression.logistic,1,0,weight_trace,1.0,True,1.0,0.08026802669084088,7,0.0,1.0921219302959875,1.0814515755992419e-06,1.0930084174280716,1.1267018290288526e-06,8.41242649192259,0.0029957813983505213,2.028603052540798,2.0554322595921923e-05,1.0319448235281823,0.00019546577909786177,1.2369005123651873,0.00042731222376961027,1.3017658189346402,0.0002032006641637672,2.409821901535719,0.0005984643827384189,1.643073058407833,2.171830968288251e-05,1.0,0.0,16.0,150.0
regression.logistic,1,0,weight_projection,1.0,True,1.0,0.08026802669084088,7,0.0,1.092121880566489,1.4345926047973452e-06,1.0930084904948567,1.4586497499121842e-06,8.417339544537484,0.005064705848452507,2.028603036850714,2.0552311908412712e-05,1.0319448261712232,0.00019546026043959914,1.2369005113028184,0.0004273190406218705,1.301765837676329,0.00020319623806544493,2.4098217584634045,0.0005983992051158587,1.6430730579087627,2.1718146435442688e-05,1.0,0.0,16.0,150.0
regression.logistic,1,0,gradient_fro,1.0,True,1.0,0.08026802669084088,7,0.0,1.0927362392641045,8.866056852144523e-05,1.093619272312871,8.726655052503032e-05,8.460619331647923,0.02959591088539753,2.406296395152553,4.538332084510918e-06,1.2115843677737836,0.00021378266639688687,1.3006531373127939,0.00042349316414988736,1.3391791683239893,0.00028499167206402174,1.7375583486603103,0.0004274309169516334,1.8253413367079734,7.698601776142753e-05,1.0,0.0,16.0,150.0
regression.logistic,1,0,gradient_projection,1.0,True,1.0,0.08026802669084088,7,0.0,1.0921157995600117,1.5902622304408926e-06,1.0930019622086324,1.6112491854834957e-06,8.41252122930862,0.003790231133809148,2.033881651091006,1.0265977029626668e-05,1.034682247871984,0.00018011948107839293,1.2398091968560818,0.0002078870896518162,1.3050552864535179,0.000125975396028636,2.416406258831021,0.0004909656971899313,1.6442198872816565,1.8045986337468587e-05,1.0,0.0,16.0,150.0
regression.logistic,1,0,loss,1.0,True,1.0,0.08026802669084088,7,0.0,1.092116179889353,7.728235937474127e-07,1.093002244445147,7.952834077900818e-07,8.413565653776663,0.003799301443712762,2.112352784591538,1.0733631563125264e-05,1.0747815953879456,0.0002835845260006267,1.2877949930813732,0.00022146465400854195,1.355447380853729,0.00018368315195636722,2.5088449093941243,0.0007298675298296328,1.6490100202656557,2.5247164252808048e-05,1.0,0.0,16.0,150.0
regression.logistic,1,0,probability_fro,1.0,True,1.0,0.08026802669084088,7,0.0,1.0921211833166236,9.93467829656676e-07,1.093007635141729,1.0167365659712816e-06,8.41102825801682,0.004522288392476665,2.0387969384848366,2.073114297043229e-05,1.0371188127815443,0.0002060205297970186,1.2431209536869885,0.0004245817505744694,1.3082951527452957,0.00019955656381909066,2.421891919626595,0.0006239097778263945,1.6437964453332483,2.1983600530488065e-05,1.0,0.0,16.0,150.0
regression.logistic,1,1,weight_fro,1.0,True,1.0,0.08424362640206418,7,0.0,1.0686004789909693,2.292367676054692e-06,1.0709216804498194,1.9450383846600677e-06,2.3834518219796315,0.0002467845697840049,2.052494585007327,4.142630616746255e-06,1.0273265929524025,5.248537359479073e-06,1.0273690807469247,4.7034827346576036e-06,1.0283077742704474,4.954864084277393e-06,1.0291422874495477,4.497483794829046e-06,1.637541388085888,8.573794349441009e-05,1.0,0.0,16.0,150.0
regression.logistic,1,1,weight_trace,1.0,True,1.0,0.08424362640206418,7,0.0,1.0685980829620003,1.981938731817725e-06,1.070919452178505,1.7669732249425315e-06,2.383352704580407,0.00023828047437034439,2.018666191636154,3.8885203745881235e-06,1.0103287280338882,5.488070850299679e-06,1.0103688289554293,5.457151790146367e-06,1.0112927401280372,5.452847247454295e-06,1.012111071118182,5.522633812229353e-06,1.6358479871158735,8.580220137672006e-05,1.0,0.0,16.0,150.0
regression.logistic,1,1,weight_projection,1.0,True,1.0,0.08424362640206418,7,0.0,1.0686001411155583,1.679711161946179e-06,1.0709212239855053,1.426267523050941e-06,2.3836113381769257,0.0002166014163146155,2.0186661903662797,3.886273415124153e-06,1.0103287303098885,5.48619651968391e-06,1.0103688308801713,5.455125719631688e-06,1.0112927400870788,5.451030499628236e-06,1.0121110702682168,5.52053696679723e-06,1.6358479874175436,8.580183258124375e-05,1.0,0.0,16.0,150.0
