task,p,width,mode_count,order_parameter,effective_rank,amplitude,weight_norm,order_parameter_blocks,init_order_parameter,init_effective_rank
add,97,500,49,1.0,147.44423990006524,7.293633029768679,5.156792058678201,1.000000;1.000000,0.04031589283359958,139.24851787740994
sub,97,500,49,1.0,147.44423990006524,7.293633029768679,5.1567920586782,1.000000;1.000000,0.04031589283359958,139.24851787740994
sq_sum,97,500,49,0.051963925849960034,84.14560023089481,7.293633029768679,5.156772200082632,0.051964;0.052026,0.04031589283359958,139.24851787740994
sum_sq,97,500,49,1.0,147.44423990006524,7.293633029768679,5.156792058678201,1.000000;1.000000,0.04031589283359958,139.24851787740994
p1,97,500,49,1.0,107.43285001778271,7.293633029768679,5.153935775905139,1.000000;0.052026,0.04031589283359958,139.24851787740994
p2,97,500,49,1.0,147.4442399000651,7.293633029768679,5.1567920586781995,1.000000;1.000000,0.04031589283359958,139.24851787740994
p3,97,500,49,0.06233272141220471,51.242755344773194,7.293633029768679,5.1532082309177625,0.062333;0.080421,0.04031589283359958,139.24851787740994
