run,column,right_step,log_stride,MG,MG_2E,ident_ratio,LB,TwoNN,PRdelay,roughness,acorr,oscillations,degenerate
grokpos_s0,weight_norm,39990,10,19.213014716068244,22.101256302649556,1.1503273499377387,25.83668265471099,65.35883779550755,1.0169297935060828,0.006548137685767136,335.0,3,False
grokpos_s0,weight_norm,49990,10,17.957010577313472,21.232309859051064,1.1823966894509457,20.570460942776393,45.93115368850522,1.0037805298301103,0.026650665326504328,638.0,56,False
grokpos_s0,weight_norm,59990,10,16.91601552724588,20.03343635708964,1.1842881277108472,19.54132481724315,45.579013235306334,1.0019742441993007,0.02714359387142085,608.0,58,False
grokpos_s0,weight_norm,69990,10,16.26304686614842,20.9625167223973,1.288966138690213,18.894141352102398,35.18057326213471,1.0022073892265753,0.02489909344750549,911.0,79,False
grokpos_s0,weight_norm,79990,10,15.307780233834487,20.6784840690982,1.3508479840462402,17.928983658088068,26.731050338923303,1.0035556954506781,0.030363412657534995,845.0,67,False
grokpos_s0,weight_norm,89990,10,14.139951721934876,22.279739250608,1.5756587921050762,142.24960946677842,22.110516339616012,2.271584136204282,0.05174935609298506,37.0,21,False
grokpos_s0,weight_norm,99990,10,14.253615471625366,23.89104850632966,1.6761395418509435,121.97672244198243,19.59850036290416,2.2924440919289215,0.052369287143311544,36.0,107,False
grokpos_s0,weight_norm,109990,10,14.765524948597497,23.68859137475185,1.6043175882481517,93.53652770275804,19.415363413607373,2.288172759189601,0.05253902252710544,36.0,36,False
grokpos_s0,weight_norm,119990,10,8.408080894407721,9.472207748143806,1.1265600161439744,14.563323792880228,17.904768204665306,2.2640244426105505,0.04924032839890061,36.0,17,False
grokpos_s0,train_loss,39990,10,16.014068193482174,26.236660373888782,1.6383507336734875,195.6306102761096,18.71192306830322,1.0128534002414047,0.05335794518265119,71.0,10,False
grokpos_s0,train_loss,49990,10,15.253104509672498,24.00690585231016,1.5739029282259613,16.09152447669395,16.55764328554645,14.0548921340663,1.5007097497651334,1.0,2141,False
grokpos_s0,train_loss,59990,10,15.108452261698666,23.274152001431,1.5404722865248839,15.977005462274105,16.42764710011817,14.149775970110726,1.4994049431857057,1.0,2129,False
grokpos_s0,train_loss,69990,10,15.21729700132004,23.410578663356024,1.538418988689335,16.07282630246954,16.373095330684542,14.68238115202,1.4813727794202063,1.0,2130,False
grokpos_s0,train_loss,79990,10,15.2728622892454,23.66863541474414,1.549718380647663,16.17260957133072,16.333262564016618,14.37474967364857,1.4862965077180392,1.0,2145,False
grokpos_s0,train_loss,89990,10,15.715841200933445,24.765392488792543,1.5758235383112422,7097.4322017887,16.90434812093724,16.623622778638374,1.1181721703952554,2.0,3,False
grokpos_s0,train_loss,99990,10,15.531289598383745,24.925711252761364,1.6048706770206154,7364.849568267379,16.199022394982233,16.623625248826652,1.1181722050062226,2.0,4,False
grokpos_s0,train_loss,109990,10,15.418403781865763,24.79109617023954,1.6078899295267775,6409.299626401736,16.135597610793674,16.62362709090716,1.118172237304162,2.0,2,False
grokpos_s0,train_loss,119990,10,9.803922205506382,16.625524865574857,1.6958034261264452,16.525752867224003,13.599879980885554,18.851538620690725,1.1428205917624072,1.0,6,False
grokpos_s0,val_loss,39990,10,14.413414204512533,21.194748446285125,1.4704877099590672,32517.54369272821,18.85027020905632,1.0218891560050183,0.008533380370041026,250.0,2,False
grokpos_s0,val_loss,49990,10,13.824962807241914,21.89205559608021,1.5835164189094613,15.858473067610305,15.863782555199125,1.1912267425034193,0.41158699262490067,172.0,417,False
grokpos_s0,val_loss,59990,10,13.42224063436256,20.6947658509464,1.5418264665860106,14.237058447155544,14.374960059579125,1.4927272035732921,0.6952908450341628,605.0,2119,False
grokpos_s0,val_loss,69990,10,13.562715297306841,21.11672969266392,1.5569691783515567,14.402815243674537,14.758009992908466,1.5347470754670416,0.6987480885956685,806.0,2049,False
grokpos_s0,val_loss,79990,10,13.56610929949122,20.441384754549198,1.506797881638461,14.408725807574221,15.153442491298945,1.7747348934444442,0.7491856205425893,655.0,1564,False
grokpos_s0,val_loss,89990,10,14.614398702486016,22.19452417898334,1.518675152554028,3205.5462377405215,16.53925012283292,18.987580976143228,1.0080014480254986,2.0,3,False
grokpos_s0,val_loss,99990,10,14.99852192947105,22.422937981886953,1.495009847458865,3508.4389453473586,16.959569461900788,18.987577700876216,1.0080013579666123,2.0,2,False
grokpos_s0,val_loss,109990,10,14.88550707328032,22.96239199090066,1.5426005898125201,3341.8446183170927,17.12237165257005,18.98758528395879,1.0080014919939708,2.0,2,False
grokpos_s0,val_loss,119990,10,9.305112016771186,16.059919381078476,1.7259243469753698,14.277648030545631,13.697758836324843,18.420674764128105,0.981933937204353,2.0,4,False
grokpos_s0,train_acc,39990,10,27.772152728982046,185.44574343414175,6.677398948646032,1683083.8834874409,12.84414436279888,1.0480722224644596,0.08938319271602013,65.0,14,True
grokpos_s0,train_acc,89990,10,1899974.5158002034,1899973.9854318418,0.999999720855013,1899999.9999999998,403042145327.0696,19.999975308558625,1.4145672041741388,1.0,3,True
grokpos_s0,train_acc,99990,10,1899974.5158002034,1899973.9854318418,0.999999720855013,1899999.9999999998,403042145327.0696,19.99997530855889,1.4145672041741388,1.0,2,True
grokpos_s0,train_acc,109990,10,1899974.5158002034,1899973.9854318418,0.999999720855013,1899999.9999999998,403042145327.0696,19.999975308559296,1.4145672041741388,1.0,2,True
grokpos_s0,train_acc,119990,10,42.81037362776485,20.96902676873658,0.48981181409584873,1861264.167231238,1.1688472157395189,19.999684649442898,1.0696562550835313,2.0,3,True
grokpos_s0,val_acc,39990,10,107.48546565257553,77.51096226839717,0.7211297062147479,1698577.0307270337,97.94490487772116,1.0163769918372578,0.010254019234802186,290.0,2,True
grokpos_s0,val_acc,89990,10,1899974.5158002034,1899973.9854318418,0.999999720855013,1899999.9999999998,196721792611.89673,19.999836604400027,1.0695224536733425,2.0,5,True
grokpos_s0,val_acc,99990,10,1899974.5158002034,1899973.9854318418,0.999999720855013,1899999.9999999998,196721792611.89673,19.999836604399285,1.0695224536733425,2.0,4,True
grokpos_s0,val_acc,109990,10,1899974.5158002034,1899973.9854318418,0.999999720855013,1899999.9999999998,196721792611.89673,19.999836604399793,1.0695224536733425,2.0,4,True
grokpos_s0,val_acc,119990,10,41.691937174602344,20.42119724749487,0.48981166698905365,1851580.1078883605,13826590859.739344,19.999570644936863,1.2255364597615637,1.0,8,True
lowdata15_s0,weight_norm,39990,10,4.893664485159564,8.527308983019266,1.7425201521025857,6.9116203379611525,15.62324357365186,1.5181878755345977,0.06772211160371756,255.0,128,False
lowdata15_s0,weight_norm,49990,10,4.5009113966914835,7.2332610994926,1.6070658722163702,5.128055056771609,10.896102586300769,2.3192364706701465,0.10158305142251264,73.0,162,False
lowdata15_s0,weight_norm,59990,10,4.929935417373727,7.298737049332742,1.4804934408696417,6.0727404233375495,13.954494081214294,1.6324035882922965,0.07744027087906889,434.0,146,False
lowdata15_s0,weight_norm,69990,10,5.268391270747306,7.190798951649156,1.3648946295192617,6.591298405788207,18.9068095765143,1.1743101884795226,0.04643458493647686,800.0,128,False
lowdata15_s0,weight_norm,79990,10,4.938248242346791,8.29146147168158,1.6790288913748999,6.232420190173528,16.64244677340241,1.1244176767907206,0.04018159746090999,902.0,137,False
lowdata15_s0,weight_norm,89990,10,5.0315945569741345,8.043180017230561,1.5985350024043896,6.29126207185339,11.859998472707515,1.1939697620345038,0.049582804198830384,631.0,102,False
lowdata15_s0,weight_norm,99990,10,4.596620406675855,6.999827183584362,1.5228203689428506,5.3720601682514655,9.560126912151844,2.1676650793696886,0.10113458439345399,263.0,180,False
lowdata15_s0,weight_norm,109990,10,4.993379010222597,7.547536582253168,1.5115088533839756,6.923657540833074,9.914917261627776,1.9921724452012677,0.09737355693383704,307.0,182,False
lowdata15_s0,weight_norm,119990,10,4.763854296368189,7.641156456648117,1.6039861803652333,6.924714538948476,14.827894907673164,1.3370133650683602,0.05756963119157239,742.0,166,False
lowdata15_s0,train_loss,39990,10,3.690857285621817,6.773153949842609,1.8351167291751573,9.52548602911178,4.8412840714995555,1.0393578032036497,0.05997226134165459,32.0,66,False
