cfg_id,observer,rho,mae_raw,rho_rough,rho_prd,mae_prd,degenerate,sd_across_seeds,max_E,tau,k_neighbors,theiler,window,stride,dither,rho_spec64,mae_spec64,rho_spec256,mae_spec256,rho_spec1024,mae_spec1024,rho_spec0,mae_spec0
0,c_norm,0.8166666666666667,0.7155575084793666,-0.5,0.8666666666666667,1.7801358929981792,0.0,0.12766438794731527,10,1,5,embedding,4000,2000,1e-09,0.9333333333333332,2.5233755815080188,0.9333333333333332,2.454365255163166,0.9333333333333332,2.090756418050574,0.9,1.62716490844114
0,c_proj1,0.8499999999999999,1.0428299816348703,-0.33333333333333337,-0.049999999999999996,2.1302238924040795,0.0,0.4893683963337034,10,1,5,embedding,4000,2000,1e-09,0.7,2.0318872248946307,0.7333333333333334,1.771972032725298,0.43333333333333335,1.7107486028423107,0.3666666666666667,1.7206774966915692
0,g_fro,0.8833333333333333,1.4874766248968678,-0.09999999999999999,0.7,1.2915825243323211,0.0,0.3953660075561715,10,1,5,embedding,4000,2000,1e-09,0.8666666666666667,3.067380783733959,0.9,4.830808252209464,0.9,6.909005465881978,0.8499999999999999,14.37833305636728
0,w_fro,0.8166666666666667,0.7157486567291976,-0.5,0.8666666666666667,1.7800775854315614,0.0,0.1275522133583368,10,1,5,embedding,4000,2000,1e-09,0.9333333333333332,2.5233220997073835,0.9333333333333332,2.4543087896863245,0.9333333333333332,2.0906131416902283,0.9,1.6271219053902566
1,c_norm,0.6833333333333333,0.7457371222711422,-0.5,0.8666666666666667,1.780288292005985,0.0,0.3365360945118893,10,1,5,embedding,8000,2000,1e-09,0.9333333333333332,2.5324049275422493,0.9333333333333332,2.4726562016485425,0.9666666666666667,2.1586762063604694,0.9333333333333332,0.5354707092627388
1,c_proj1,0.7333333333333334,0.8752935285955239,-0.33333333333333337,-0.049999999999999996,2.1301806223058932,0.0,0.4259549486530008,10,1,5,embedding,8000,2000,1e-09,0.7,2.0513118003972735,0.7333333333333334,1.8807193601526624,0.43333333333333335,1.806864812963565,0.7,1.3133733693648426
1,g_fro,0.9166666666666666,1.229754790830024,-0.09999999999999999,0.7,1.2907605551729227,0.0,0.2875168196988923,10,1,5,embedding,8000,2000,1e-09,0.8666666666666667,2.742515728913402,0.9,3.738005996895111,0.8666666666666667,4.025876546557467,0.8499999999999999,5.426599205252837
1,w_fro,0.6833333333333333,0.7457533900704995,-0.5,0.8666666666666667,1.780230822892867,0.0,0.33635791246562424,10,1,5,embedding,8000,2000,1e-09,0.9333333333333332,2.5323512429587733,0.9333333333333332,2.4725999752942065,0.9666666666666667,2.158608639591557,0.9333333333333332,0.5353263130008229
2,c_norm,0.8166666666666667,0.7155575084793666,-0.5,0.8666666666666667,1.7801358929981792,0.0,0.12766438794731527,10,1,5,autocorr,4000,2000,1e-09,0.9333333333333332,2.5233755815080188,0.9333333333333332,2.454365255163166,0.9333333333333332,2.090756418050574,0.9,1.62716490844114
2,c_proj1,0.8499999999999999,1.0428299816348703,-0.33333333333333337,-0.049999999999999996,2.1302238924040795,0.0,0.4893683963337034,10,1,5,autocorr,4000,2000,1e-09,0.7,2.0318872248946307,0.7333333333333334,1.771972032725298,0.43333333333333335,1.7107486028423107,0.3666666666666667,1.7206774966915692
2,g_fro,0.8833333333333333,1.4874766248968678,-0.09999999999999999,0.7,1.2915825243323211,0.0,0.3953660075561715,10,1,5,autocorr,4000,2000,1e-09,0.8666666666666667,3.067380783733959,0.9,4.830808252209464,0.9,6.909005465881978,0.8499999999999999,14.37833305636728
2,w_fro,0.8166666666666667,0.7157486567291976,-0.5,0.8666666666666667,1.7800775854315614,0.0,0.1275522133583368,10,1,5,autocorr,4000,2000,1e-09,0.9333333333333332,2.5233220997073835,0.9333333333333332,2.4543087896863245,0.9333333333333332,2.0906131416902283,0.9,1.6271219053902566
3,c_norm,0.6833333333333333,0.7457371222711422,-0.5,0.8666666666666667,1.780288292005985,0.0,0.3365360945118893,10,1,5,autocorr,8000,2000,1e-09,0.9333333333333332,2.5324049275422493,0.9333333333333332,2.4726562016485425,0.9666666666666667,2.1586762063604694,0.9333333333333332,0.5354707092627388
3,c_proj1,0.7333333333333334,0.8752935285955239,-0.33333333333333337,-0.049999999999999996,2.1301806223058932,0.0,0.4259549486530008,10,1,5,autocorr,8000,2000,1e-09,0.7,2.0513118003972735,0.7333333333333334,1.8807193601526624,0.43333333333333335,1.806864812963565,0.7,1.3133733693648426
3,g_fro,0.9166666666666666,1.229754790830024,-0.09999999999999999,0.7,1.2907605551729227,0.0,0.2875168196988923,10,1,5,autocorr,8000,2000,1e-09,0.8666666666666667,2.742515728913402,0.9,3.738005996895111,0.8666666666666667,4.025876546557467,0.8499999999999999,5.426599205252837
3,w_fro,0.6833333333333333,0.7457533900704995,-0.5,0.8666666666666667,1.780230822892867,0.0,0.33635791246562424,10,1,5,autocorr,8000,2000,1e-09,0.9333333333333332,2.5323512429587733,0.9333333333333332,2.4725999752942065,0.9666666666666667,2.158608639591557,0.9333333333333332,0.5353263130008229
4,c_norm,0.9166666666666666,1.0007446019000572,-0.5,0.8666666666666667,1.7801358929981792,0.0,0.1897455921949068,10,1,20,embedding,4000,2000,1e-09,0.9333333333333332,2.5233755815080188,0.9333333333333332,2.454365255163166,0.9333333333333332,2.090756418050574,0.9,1.62716490844114
4,c_proj1,0.9166666666666666,0.9179274917109924,-0.33333333333333337,-0.049999999999999996,2.1302238924040795,0.0,0.1517863664688144,10,1,20,embedding,4000,2000,1e-09,0.7,2.0318872248946307,0.7333333333333334,1.771972032725298,0.43333333333333335,1.7107486028423107,0.3666666666666667,1.7206774966915692
4,g_fro,0.9,0.665468080734703,-0.09999999999999999,0.7,1.2915825243323211,0.0,0.20715704437657975,10,1,20,embedding,4000,2000,1e-09,0.8666666666666667,3.067380783733959,0.9,4.830808252209464,0.9,6.909005465881978,0.8499999999999999,14.37833305636728
4,w_fro,0.9166666666666666,1.0009019309784934,-0.5,0.8666666666666667,1.7800775854315614,0.0,0.18970218833672933,10,1,20,embedding,4000,2000,1e-09,0.9333333333333332,2.5233220997073835,0.9333333333333332,2.4543087896863245,0.9333333333333332,2.0906131416902283,0.9,1.6271219053902566
5,c_norm,0.8833333333333333,0.8475322167186271,-0.5,0.8666666666666667,1.780288292005985,0.0,0.21655430618129623,10,1,20,embedding,8000,2000,1e-09,0.9333333333333332,2.5324049275422493,0.9333333333333332,2.4726562016485425,0.9666666666666667,2.1586762063604694,0.9333333333333332,0.5354707092627388
5,c_proj1,0.8833333333333333,0.9117297868363269,-0.33333333333333337,-0.049999999999999996,2.1301806223058932,0.0,0.2170320129464077,10,1,20,embedding,8000,2000,1e-09,0.7,2.0513118003972735,0.7333333333333334,1.8807193601526624,0.43333333333333335,1.806864812963565,0.7,1.3133733693648426
5,g_fro,0.9,0.6664212548069588,-0.09999999999999999,0.7,1.2907605551729227,0.0,0.19686294171594532,10,1,20,embedding,8000,2000,1e-09,0.8666666666666667,2.742515728913402,0.9,3.738005996895111,0.8666666666666667,4.025876546557467,0.8499999999999999,5.426599205252837
5,w_fro,0.8833333333333333,0.8471898486184081,-0.5,0.8666666666666667,1.780230822892867,0.0,0.2165060375258018,10,1,20,embedding,8000,2000,1e-09,0.9333333333333332,2.5323512429587733,0.9333333333333332,2.4725999752942065,0.9666666666666667,2.158608639591557,0.9333333333333332,0.5353263130008229
6,c_norm,0.9166666666666666,1.0007446019000572,-0.5,0.8666666666666667,1.7801358929981792,0.0,0.1897455921949068,10,1,20,autocorr,4000,2000,1e-09,0.9333333333333332,2.5233755815080188,0.9333333333333332,2.454365255163166,0.9333333333333332,2.090756418050574,0.9,1.62716490844114
6,c_proj1,0.9166666666666666,0.9179274917109924,-0.33333333333333337,-0.049999999999999996,2.1302238924040795,0.0,0.1517863664688144,10,1,20,autocorr,4000,2000,1e-09,0.7,2.0318872248946307,0.7333333333333334,1.771972032725298,0.43333333333333335,1.7107486028423107,0.3666666666666667,1.7206774966915692
6,g_fro,0.9,0.665468080734703,-0.09999999999999999,0.7,1.2915825243323211,0.0,0.20715704437657975,10,1,20,autocorr,4000,2000,1e-09,0.8666666666666667,3.067380783733959,0.9,4.830808252209464,0.9,6.909005465881978,0.8499999999999999,14.37833305636728
6,w_fro,0.9166666666666666,1.0009019309784934,-0.5,0.8666666666666667,1.7800775854315614,0.0,0.18970218833672933,10,1,20,autocorr,4000,2000,1e-09,0.9333333333333332,2.5233220997073835,0.9333333333333332,2.4543087896863245,0.9333333333333332,2.0906131416902283,0.9,1.6271219053902566
7,c_norm,0.8833333333333333,0.8475322167186271,-0.5,0.8666666666666667,1.780288292005985,0.0,0.21655430618129623,10,1,20,autocorr,8000,2000,1e-09,0.9333333333333332,2.5324049275422493,0.9333333333333332,2.4726562016485425,0.9666666666666667,2.1586762063604694,0.9333333333333332,0.5354707092627388
7,c_proj1,0.8833333333333333,0.9117297868363269,-0.33333333333333337,-0.049999999999999996,2.1301806223058932,0.0,0.2170320129464077,10,1,20,autocorr,8000,2000,1e-09,0.7,2.0513118003972735,0.7333333333333334,1.8807193601526624,0.43333333333333335,1.806864812963565,0.7,1.3133733693648426
7,g_fro,0.9,0.6664212548069588,-0.09999999999999999,0.7,1.2907605551729227,0.0,0.19686294171594532,10,1,20,autocorr,8000,2000,1e-09,0.8666666666666667,2.742515728913402,0.9,3.738005996895111,0.8666666666666667,4.025876546557467,0.8499999999999999,5.426599205252837
7,w_fro,0.8833333333333333,0.8471898486184081,-0.5,0.8666666666666667,1.780230822892867,0.0,0.2165060375258018,10,1,20,autocorr,8000,2000,1e-09,0.9333333333333332,2.5323512429587733,0.9333333333333332,2.4725999752942065,0.9666666666666667,2.158608639591557,0.9333333333333332,0.5353263130008229
8,c_norm,0.7,0.7927812288120273,-0.5,0.9166666666666666,1.495991928985984,0.0,0.4329043445884222,10,2,5,embedding,4000,2000,1e-09,0.9333333333333332,2.5233755815080188,0.9333333333333332,2.454365255163166,0.9333333333333332,2.090756418050574,0.9,1.62716490844114
8,c_proj1,0.9333333333333332,0.8799403021709788,-0.33333333333333337,0.21666666666666667,1.9903470835022778,0.0,0.6105134303275374,10,2,5,embedding,4000,2000,1e-09,0.7,2.0318872248946307,0.7333333333333334,1.771972032725298,0.43333333333333335,1.7107486028423107,0.3666666666666667,1.7206774966915692
8,g_fro,0.8499999999999999,2.5075304205654665,-0.09999999999999999,0.8333333333333333,2.5133663603094365,0.0,0.6489714192381068,10,2,5,embedding,4000,2000,1e-09,0.8666666666666667,3.067380783733959,0.9,4.830808252209464,0.9,6.909005465881978,0.8499999999999999,14.37833305636728
8,w_fro,0.7,0.7922639125311527,-0.5,0.9166666666666666,1.4959629196283843,0.0,0.43272891924036244,10,2,5,embedding,4000,2000,1e-09,0.9333333333333332,2.5233220997073835,0.9333333333333332,2.4543087896863245,0.9333333333333332,2.0906131416902283,0.9,1.6271219053902566
9,c_norm,0.6166666666666666,0.8850603175187545,-0.5,0.9166666666666666,1.496005567232551,0.0,0.6588121239904013,10,2,5,embedding,8000,2000,1e-09,0.9333333333333332,2.5324049275422493,0.9333333333333332,2.4726562016485425,0.9666666666666667,2.1586762063604694,0.9333333333333332,0.5354707092627388
9,c_proj1,0.6833333333333333,0.8607516131733578,-0.33333333333333337,0.21666666666666667,1.9901501128701522,0.0,0.766146268928726,10,2,5,embedding,8000,2000,1e-09,0.7,2.0513118003972735,0.7333333333333334,1.8807193601526624,0.43333333333333335,1.806864812963565,0.7,1.3133733693648426
9,g_fro,0.9,1.8775770971825676,-0.09999999999999999,0.8333333333333333,2.511756056623499,0.0,0.3560468033629565,10,2,5,embedding,8000,2000,1e-09,0.8666666666666667,2.742515728913402,0.9,3.738005996895111,0.8666666666666667,4.025876546557467,0.8499999999999999,5.426599205252837
9,w_fro,0.6166666666666666,0.8850536726105811,-0.5,0.9166666666666666,1.4959755015754685,0.0,0.6588675883979643,10,2,5,embedding,8000,2000,1e-09,0.9333333333333332,2.5323512429587733,0.9333333333333332,2.4725999752942065,0.9666666666666667,2.158608639591557,0.9333333333333332,0.5353263130008229
