run,column,MG,MG_2E,ident,PRdelay,roughness,acorr,osc,degen,n
g_p1_p97,train_loss,19.42262234455296,19.48908509335075,0.9990157827725012,1.0000117850295875,0.0008353200870182394,643.0,2.0,0.0,7
g_p1_p97,weight_norm,25.603267558022967,25.94490040108725,0.9989493485835521,1.0000007883766218,0.00035894517295655874,705.0,2.0,0.0,7
g_p1x_p97,train_loss,22.583148595858326,22.61740261991155,0.997912424268208,1.0000050486947787,0.0005249000703392972,690.0,2.0,0.0,7
g_p1x_p97,weight_norm,24.399009583025315,24.40362704162368,0.9988208709365571,1.0000031683149007,0.0004203713149366266,699.0,2.0,0.0,7
g_p2_p97,train_loss,20.045556510742074,20.100292074474154,0.9992166757154348,1.0000062815530604,0.0007056295463953142,662.0,2.0,0.0,7
g_p2_p97,weight_norm,25.572297545255744,25.548943171694468,0.9995402796759046,1.0000015793796557,0.0003487745433538169,706.0,2.0,0.0,7
g_p2x_p97,train_loss,23.024743307511844,23.046279388367378,0.9986916193237609,1.0000044400604313,0.0005018619138109271,689.0,2.0,0.0,7
g_p2x_p97,weight_norm,24.820199028041344,24.821049574212925,0.9986605137806369,1.0000045985934365,0.00039356985452869284,700.0,2.0,0.0,7
g_p3_p97,train_loss,19.29230698742152,19.256902406340007,0.9981648342469049,1.0000083303550509,0.0007950545798964567,649.0,2.0,0.0,7
g_p3_p97,weight_norm,24.88505969181746,25.16375340884353,0.9984060882711746,1.0000005365114448,0.00039165928725033705,702.0,2.0,0.0,7
g_p3x_p97,train_loss,22.827508321810033,22.83982708246227,0.9981109698556342,1.0000028667254357,0.0005097753515766809,689.0,2.0,0.0,7
g_p3x_p97,weight_norm,24.96902532165458,24.962500637916552,0.9986355709943742,1.0000019092812453,0.00037048473417751373,704.0,2.0,0.0,7
