run,column,right_step,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,oscillations,degenerate
g_p1_p97,train_loss,33320,11.663898893570625,19.552098922481623,1.6762918729738931,1.0018735291431065,0.0014086939197209586,553.0,2.0,False
g_p1_p97,train_loss,43320,12.554821478500575,18.72962637748726,1.4918273756071077,1.0001881461930668,0.0035590621254888636,296.0,2.0,False
g_p1_p97,train_loss,53320,14.297384169071739,18.22637261932162,1.2748047057971004,1.0000632355258292,0.001480038251468628,544.0,2.0,False
g_p1_p97,train_loss,63320,15.2909928825917,19.344479662650343,1.2650898349886361,1.0000114039810344,0.0008233470742057075,645.0,2.0,False
g_p1_p97,train_loss,73320,15.41782006302514,21.599613640532564,1.4009512079034143,1.0000033932150565,0.0005792898592746253,680.0,2.0,False
g_p1_p97,train_loss,83320,15.577196539529508,23.72013254032245,1.522747208082597,1.0000013997041222,0.00045045664747909883,696.0,2.0,False
g_p1_p97,train_loss,93320,15.669362451914388,25.138276603321053,1.6042947937712557,1.0000006723591248,0.0003691358017698234,705.0,2.0,False
g_p1_p97,weight_norm,33320,15.665428185021215,26.190919463577117,1.6718929833414986,1.0018381697470116,0.0014900299686225675,505.0,2.0,False
g_p1_p97,weight_norm,43320,18.440080021853557,28.852326889259064,1.5646530196759358,1.0078229611982437,0.0057272155905331475,177.0,2.0,False
g_p1_p97,weight_norm,53320,15.343398393258353,24.129764475566777,1.5726479790923642,1.0000125510088065,0.00036230084467844673,704.0,2.0,False
g_p1_p97,weight_norm,63320,15.600229627692205,24.730956288996545,1.5852943757376654,1.0000009279279742,0.0004013458408975414,701.0,2.0,False
g_p1_p97,weight_norm,73320,15.906605732878695,25.633014714406613,1.6114697971939789,1.0000005599014627,0.0003332325271070333,708.0,2.0,False
g_p1_p97,weight_norm,83320,16.225308671662795,26.558829207880702,1.6368766687480782,1.0000002651903892,0.0002838348331639161,713.0,2.0,False
g_p1_p97,weight_norm,93320,16.240632233406004,27.040212878683068,1.6649729203930237,1.0000001338627216,0.0002500673896933358,716.0,2.0,False
g_p1x_p97,train_loss,33320,12.357604826327401,18.642166655014154,1.5085582454698452,1.00071379596768,0.000862568859196049,691.0,2.0,False
g_p1x_p97,train_loss,43320,13.634439073963545,18.62778251780763,1.3662302069602132,1.0001443270983545,0.001999176887482844,451.0,2.0,False
g_p1x_p97,train_loss,53320,15.197713443905501,19.723439327842716,1.2977899208747152,1.0000192480494492,0.0008469950124655812,643.0,2.0,False
g_p1x_p97,train_loss,63320,15.539135521548447,22.43373388757002,1.443692530801388,1.0000048267795003,0.0005396333142170486,683.0,2.0,False
g_p1x_p97,train_loss,73320,15.831426407582237,24.952291692313178,1.5761240364521185,1.0000018519580234,0.00038911635093727095,703.0,2.0,False
g_p1x_p97,train_loss,83320,16.068322308355267,26.112876087793605,1.6251152787877134,1.0000002750074517,0.00031039467530784683,711.0,2.0,False
g_p1x_p97,train_loss,93320,16.149597428461718,26.73196020543866,1.655270995073029,1.0000003844246435,0.0002688913592900771,713.0,2.0,False
g_p1x_p97,weight_norm,33320,12.788360704843605,18.714763317435104,1.4634216026098534,1.0006425426505312,0.0008939615631745567,648.0,2.0,False
g_p1x_p97,weight_norm,43320,13.760989742641494,19.403213285789857,1.4100158236194797,1.0003142906845433,0.002305869350147852,421.0,2.0,False
g_p1x_p97,weight_norm,53320,15.334130968727168,20.858921452109065,1.3602936804602297,1.0000155824817505,0.0007099924610555141,664.0,2.0,False
g_p1x_p97,weight_norm,63320,15.81691196973492,23.9289016828622,1.5128681077981136,1.0000038084234615,0.00044794922245335094,694.0,2.0,False
g_p1x_p97,weight_norm,73320,15.997942763686629,25.944395872358534,1.621733260056983,1.0000014769935723,0.00031802907782045294,709.0,2.0,False
g_p1x_p97,weight_norm,83320,16.19448175208722,27.018818300220204,1.6683966003875297,1.0000001609048024,0.0002511354118602169,716.0,2.0,False
g_p1x_p97,weight_norm,93320,15.88121807281262,27.66155976563225,1.7417782212175927,1.0000004185161835,0.0002152471438401247,717.0,2.0,False
g_p2_p97,train_loss,33320,12.645350833330918,20.100292074474154,1.5895400878474106,1.0038820632407757,0.001987058796352742,459.0,2.0,False
g_p2_p97,train_loss,43320,13.247847454937036,18.573674744286155,1.4020145391517442,1.0020842004081345,0.005432482667754629,267.0,2.0,False
g_p2_p97,train_loss,53320,14.851147870767276,18.492772833634614,1.2452083161891778,1.0000303028655244,0.0011199747038600986,600.0,2.0,False
g_p2_p97,train_loss,63320,15.397147915641959,20.029854339529585,1.300880815672444,1.0000062815530604,0.000705629546395314,662.0,2.0,False
g_p2_p97,train_loss,73320,15.446399764454679,22.45590004442406,1.4537950840881169,1.0000021914793764,0.0005274360991329244,687.0,2.0,False
g_p2_p97,train_loss,83320,15.538467402673817,24.106264333469642,1.5513926636884088,1.0000009719247944,0.00042460140167686704,699.0,2.0,False
g_p2_p97,train_loss,93320,15.701732172452944,25.365332757186913,1.6154480587618065,1.0000004971443721,0.00035678371010818867,706.0,2.0,False
g_p2_p97,weight_norm,33320,14.843542341467293,20.194895709201305,1.3605172703812307,1.0039483742276574,0.0021051253686704165,412.0,2.0,False
g_p2_p97,weight_norm,43320,14.785968111709694,20.111206421938448,1.3601548623665332,1.0000864494523019,0.0008320773538198431,627.0,2.0,False
g_p2_p97,weight_norm,53320,15.627703971521637,22.89434591856703,1.4649846170804997,1.0000070062968283,0.0005162548481371268,687.0,2.0,False
g_p2_p97,weight_norm,63320,15.902222938608945,25.548943171694468,1.6066271533437182,1.0000015793796555,0.00034877454335381696,706.0,2.0,False
g_p2_p97,weight_norm,73320,16.085852698628113,26.717328693774903,1.6609208846015044,1.0000005505985528,0.0002688731207484708,713.0,2.0,False
g_p2_p97,weight_norm,83320,15.980125851377595,27.15879412742033,1.6995356845127134,1.0000002457411454,0.0002212710705949119,717.0,2.0,False
g_p2_p97,weight_norm,93320,15.687307818276357,27.70145961079739,1.7658517275044512,1.0000001239525178,0.00018958360792798294,720.0,2.0,False
g_p2x_p97,train_loss,33320,12.696879293526882,17.699371981580242,1.3939938761648092,1.0006493103293879,0.0008516158175182329,674.0,2.0,False
g_p2x_p97,train_loss,43320,13.78286113766949,18.767972361676982,1.3616891423496131,1.000186824155043,0.001975616404291789,469.0,2.0,False
g_p2x_p97,train_loss,53320,15.220745857782537,20.127518872684014,1.3223740190361688,1.000016006954875,0.0007773115432731241,653.0,2.0,False
g_p2x_p97,train_loss,63320,15.549853513623598,23.046279388367378,1.482089806709496,1.000004440060431,0.0005018619138109271,689.0,2.0,False
g_p2x_p97,train_loss,73320,15.810691867712526,25.48820164635141,1.6120864197221887,1.0000018114917402,0.00035958147722516036,704.0,2.0,False
