key,task,alpha,t_mem,t_grok,val_acc,val_loss,wnorm,wnorm_ref,ipr_u1,ipr_ref,erank,erank_ref
g_p1_p97,(4 n1 + n2^2)^3,0.5,7410.0,12560.0,1.0,0.00028170974898448283,5.352386474725187,5.170214915729188,0.242723140667312,1.0,106.5029328447702,107.8848193232046
g_p1x_p97,(4 n1 + n2^2)^3 + n1 n2,0.5,10050.0,,0.012114771519659936,0.022376493040672213,6.162878532324878,,0.0401424941227139,,134.24563967288307,
g_p2_p97,(2 n1 + 3 n2)^4,0.5,6520.0,7750.0,1.0,8.928334327576639e-05,4.353982210827836,5.193096316834655,0.2829985926917313,1.0,147.98273451546828,148.840688279909
g_p2x_p97,(2 n1 + 3 n2)^4 - n1^2,0.5,9780.0,,0.01934112646121148,0.021664597786819242,6.16139939498446,,0.0433862898151306,,129.19014755120304,
g_p3_p97,(5 n1^3 + 2 n2^4)^2,0.5,5880.0,6430.0,1.0,1.5897678344443043e-05,4.529219342992672,5.179177632307376,0.0439409257805244,0.06203101037479701,51.39600143472935,51.23714606798165
g_p3x_p97,(5 n1^3 + 2 n2^4)^2 - n2,0.5,9430.0,,0.7313496280552604,0.01178965916099654,6.494961826364822,,0.0391491239799169,,76.4589029188812,
f_p1_p97,(4 n1 + n2^2)^3,0.5,,,0.012539851222104145,0.010309278350515464,0.00013504847029493697,5.178468118161918,0.0405783266692886,1.0,186.8758327746065,126.19704235147957
