start_step,end_step,center_step,tau,mle_id_raw,mle_id_raw_se,mle_id_detrended,mle_id_detrended_se,mle_id_legacy_project,raw_local_estimates,detrended_local_estimates,loss_mean,loss_std,loss_slope_per_step,lag1_autocorrelation
1080,1479,1280,4,9.455649268637021,0.13777874987391464,10.478187179863232,0.16026968299889632,13.999333380198312,320,320,3.5307666015625,0.047529859443503276,-0.0002491042790697187,0.21736163897568941
1120,1519,1320,4,9.693452357908399,0.13690103900240655,10.375079115477579,0.1580594590509063,13.941893499437349,320,320,3.5203466796875,0.04786663481335833,-0.00025392694104729176,0.24840231153266978
1160,1559,1360,4,9.741757997667543,0.13981262389609644,10.13141842437049,0.14532392800328905,15.445480770076722,320,320,3.5111865234375,0.04815208737888511,-0.00026108604340887713,0.27509394531247894
1200,1599,1400,4,9.930403091434666,0.1497510631428647,9.792269627533067,0.1389409911820388,14.730137311667276,320,320,3.5012255859375,0.04993811568547864,-0.00028941410131860524,0.32178596642249163
1240,1639,1440,4,9.832301692205736,0.14170946912464116,9.90600154799122,0.137547505572454,14.702527018412367,320,320,3.489208984375,0.04820814900979841,-0.0002805211624369573,0.34071045667228456
1280,1679,1480,4,9.87879783096723,0.14648681853374418,9.978809732058258,0.1463318086433223,13.839141727932272,320,320,3.477978515625,0.04836378333192607,-0.000283958805992544,0.33353411583505616
1320,1719,1520,4,9.821815056094282,0.14786823035041582,9.93205714413648,0.12868107887904723,13.658643905751854,320,320,3.4667822265625,0.047754902523078284,-0.0002751768297184709,0.30497408637924356
1360,1759,1560,4,9.996381362706604,0.15075335444664148,9.924419180281452,0.1289513375943777,13.63294302145852,320,320,3.455361328125,0.04713748833194124,-0.00026842623821087284,0.3144783545440504
1400,1799,1600,4,10.34494876191205,0.1484837707310257,10.213048754289403,0.13770058949920802,13.79580054651758,320,320,3.445830078125,0.0471381276511986,-0.0002634230331127116,0.30587924225951857
1440,1839,1640,2,9.96962358484891,0.15157294023638035,10.250595726331703,0.16266749623993013,15.494060100810433,340,340,3.435537109375,0.04592398619885184,-0.00025245824290307965,0.2891797132857663
1480,1879,1680,2,10.39392965520952,0.16137823273500693,10.57695947913339,0.1657754997165317,15.568494900136304,340,340,3.42578125,0.04560515507788275,-0.0002443114634700881,0.27221499031620944
1520,1919,1720,4,10.424054201476315,0.14464613024181922,11.031754911464281,0.1549823975927127,14.40010460922399,320,320,3.417001953125,0.04357132420315181,-0.0002243202496578173,0.22615733519263542
1560,1959,1760,4,10.209367567085241,0.1599955915307581,11.089423610759331,0.16048485372730764,14.570502255257662,320,320,3.40736328125,0.04176195514852182,-0.0002037994915202642,0.2105727938046592
1600,1999,1800,3,10.569196081579822,0.1557190297603523,10.593610555828505,0.16415235452294602,15.523897333722946,329,329,3.398876953125,0.04195807912548126,-0.00020022232072545065,0.1799726306067374
1640,2039,1840,4,10.096978215896439,0.15566863983262966,10.698065205869275,0.15415242345168742,13.934644100973992,320,320,3.3901123046875,0.04206224142734808,-0.00020134970814271124,0.154244144020803
1680,2079,1880,6,9.961453452120027,0.15088462266700414,10.264245705620038,0.16817357340192637,13.862512146369436,300,300,3.3819091796875,0.04305936794766817,-0.00020326390467675804,0.15291950985807912
1720,2119,1920,6,9.79090718149392,0.1451139366439394,10.571170888117019,0.1589205579801989,13.95174281928543,300,300,3.373564453125,0.04324594427949002,-0.00020355229759249803,0.139674468210003
1760,2159,1960,3,10.023528719361462,0.15927123506842172,9.627370289916472,0.14211587438352152,15.725017233496912,329,329,3.3668359375,0.04296265049037598,-0.0001942819759811,0.08265580225099065
1800,2199,2000,6,9.36090286443325,0.15205392084418554,10.052934485340442,0.16127854685236695,14.397416135196693,300,300,3.3597802734375,0.04183014901771421,-0.0001766174979023349,0.05360910873108593
1840,2239,2040,4,10.03840537783753,0.15046004818928052,10.564949290927014,0.157076126532383,14.84279934973913,320,320,3.3535546875,0.041167158692749055,-0.00016349882460202814,0.022568289433294968
1880,2279,2080,4,10.361770225475325,0.1540080231998875,10.65416505220097,0.1489532793545692,15.409278137228373,320,320,3.34625,0.04130855219412804,-0.0001687957327077119,0.05041954094402539
1920,2319,2120,4,10.247325213499465,0.1524982577792297,10.568842995113721,0.14899556285090532,15.044999917956904,320,320,3.3390673828125,0.04131330285612341,-0.0001520577740915631,-0.008248185570194464
