run,ladder,n_samples,row_stride,window_steps,left_step,right_step,centre_step,PR_pos,PR_pos_det,PR_step,fn_PR_pos,fn_PR_pos_det,fn_PR_step,move
a_add,fixed_n,60,1,3000,0,2950,1475,1.0661281375577327,1.0648327200028804,1.1617261583068086,1.0884790481771331,1.079623288000266,1.1949670178382892,205.14189291000366
a_add,fixed_n,60,1,3000,3650,6600,5125,1.0053182706827188,1.0115809882839133,1.0275077695487687,1.0285478011433087,1.0969465510286642,1.226698457177731,242.26936221122742
a_add,fixed_n,60,1,3000,7300,10250,8775,1.0546460176187085,1.117775383208529,1.29027000714682,1.3878141258362513,1.4143187899701042,2.108473413437374,720.3668169975281
a_add,fixed_n,60,1,3000,10950,13900,12425,1.1340473173431733,1.2267491451142392,1.52525451903494,1.2947995077560295,1.413271832648356,1.9765488151691337,1197.4587268829346
a_add,fixed_n,60,1,3000,14600,17550,16075,1.054334739585819,1.097885134742305,1.22521941586953,1.103504801470182,1.1585753453288579,1.3577408994094882,571.6635241508484
a_add,fixed_n,60,1,3000,18250,21200,19725,1.0068720470284407,1.0093947150995926,1.0211936028235251,1.0134140260780073,1.015984197821966,1.0354896237292373,197.39306163787842
a_add,fixed_n,60,1,3000,21900,24850,23375,1.0024592463964508,1.002924560718597,1.0066611782541677,1.0044113496879534,1.004529670371264,1.0112206434164634,119.04206204414368
a_add,fixed_n,60,1,3000,25550,28500,27025,1.0013473415050862,1.0016172214360175,1.003983298540303,1.0023899089999087,1.0026882495471479,1.0118425456009845,84.07748782634735
a_add,fixed_n,60,1,3000,29200,32150,30675,1.0008242672670458,1.0010423534758122,1.0033319709559434,1.0014725146119798,1.0026684546675382,1.0240899356579016,63.847483694553375
a_add,fixed_n,60,1,3000,32850,35800,34325,1.0005333605459898,1.000865824442714,1.004111903155289,1.000966264445068,1.0047937331342176,1.0524072815474288,50.682769775390625
a_add,fixed_n,60,1,3000,36500,39450,37975,1.0003659141490249,1.000977696208704,1.006241852251743,1.0006932422036068,1.0111200726609804,1.1035651226651073,41.51860332489014
a_add,fixed_n,60,1,3000,40150,43100,41625,1.0002659779196421,1.0014735789272617,1.0100867872817303,1.0005178890661721,1.0235588034793799,1.1857422326779388,34.82674199342728
a_add,fixed_n,60,1,3000,43800,46750,45275,1.0002018996305777,1.0023962984315298,1.0155644715872052,1.000412846319907,1.0455476811223638,1.311779914717923,29.757096827030182
