metric,window_size,center_step,lb,mg
train_loss,100,2500,6.259989323456667,4.489063282962838
train_loss,100,3500,7.183985512338365,4.681311491523443
train_loss,100,4500,6.9074197917021545,5.7120304442968575
train_loss,100,5500,9.14732476973572,7.966892244083124
train_loss,100,6500,7.916369565918915,6.295210633491586
train_loss,100,7500,8.67996829321317,6.30741430522751
train_loss,100,8500,11.879500397912219,8.609849391596027
train_loss,100,9500,14.542394364090487,11.19549665628494
train_loss,100,10500,14.576119205634384,10.032412897095671
train_loss,100,11500,15.499157219356233,11.21698224242188
train_loss,100,12500,10.140272117221619,8.74229725488727
train_loss,100,13500,12.65056979699263,9.569965173793133
train_loss,100,14500,11.723045247854985,9.176181729590613
train_loss,100,15500,14.129029805472507,10.000595239085458
train_loss,100,16500,10.09181652768675,7.32539537816713
train_loss,100,17500,10.59486157542784,8.3331047961186
train_loss,100,18500,11.85616124480755,9.318749291160561
train_loss,100,19500,9.745178970787025,8.052684489987625
train_loss,100,20500,11.39516459824036,9.041932856277434
train_loss,100,21500,12.014226806902304,9.6398628978765
train_loss,100,22500,12.094082796654513,9.868320602736908
train_loss,100,23500,12.70417565733197,9.976956312437473
train_loss,100,24500,8.33503907547073,7.160574141573077
train_loss,100,25500,10.49132044326269,7.941977621414541
train_loss,100,26500,11.551762849975994,9.101426204449028
train_loss,100,27500,13.685485476323123,9.817702824613798
train_loss,100,28500,12.410797252115923,9.366928176842949
train_loss,100,29500,10.830577668055879,8.729600859806453
train_loss,100,30500,13.173019309627486,9.214121153642578
train_loss,100,31500,14.026313564629124,9.909812552780574
train_loss,100,32500,11.373014118848953,8.82897820498516
train_loss,100,33500,12.904586543973398,8.926789277997408
train_loss,100,34500,10.927622807938885,9.176532178650016
train_loss,100,35500,16.325059195788295,10.127247049505225
train_loss,100,36500,13.49178477100767,10.142476528600636
train_loss,100,37500,14.128183761049492,11.975730158383241
train_loss,100,38500,16.140126479422733,11.783027041299624
train_loss,100,39500,11.976234389309532,8.843372720548542
train_loss,100,40500,11.581123479540437,9.270181722164356
train_loss,100,41500,8.755187852596999,7.317761589048013
train_loss,100,42500,11.381081848704465,9.526942185791412
train_loss,100,43500,16.552632201616852,11.385722565210088
train_loss,100,44500,12.998760178819117,9.473390809807167
train_loss,100,45500,13.157888441879809,9.118920972679312
train_loss,100,46500,11.139302372938518,7.888022590268505
train_loss,100,47500,10.314466712386992,5.954415677404591
train_loss,100,48500,5.996388756519285,4.7524236507760325
train_loss,150,3750,6.166733635305796,4.011666373842581
