run,column,mid_step,MG,PRdelay,roughness,PR_det,t_gen
mod_wd0,weight_norm,295.0,2.8159976696341418,1.0015398435317266,0.01637083242724128,4.784591538763095,
mod_wd0,weight_norm,395.0,2.694840972990283,1.0005402871927116,0.012537771277289543,4.212318144758078,
mod_wd0,weight_norm,495.0,2.4927180425941815,1.000180375347024,0.017821166259778753,4.3915005081859455,
mod_wd0,weight_norm,595.0,2.4457997775670877,1.000088131899386,0.02245061354773962,5.147701980909403,
mod_wd0,weight_norm,695.0,2.348010883531575,1.0001979132559933,0.02604161156483486,9.48425730509193,
mod_wd0,weight_norm,795.0,2.1985961207532485,1.0006343812033447,0.03162205078255786,14.599081368793932,
mod_wd0,weight_norm,895.0,1.9537972722303294,1.0008506941154613,0.037804701767098166,17.897757832382084,
mod_wd0,weight_norm,995.0,1.8472261870441076,1.0021411502822595,0.03926242558833137,13.99956978048374,
mod_wd0,weight_norm,1095.0,2.421853439281402,1.0121276531352428,0.0355533696638329,10.26210673389914,
mod_wd0,weight_norm,1195.0,2.461090283546486,1.0039559101080602,0.021197544135905234,9.945799254243834,
mod_wd0,weight_norm,1295.0,2.4504119755227283,1.000617008260759,0.016515590817847984,6.5578161739947,
mod_wd0,weight_norm,1395.0,2.7283806090429032,1.0007416498570814,0.013663830425070161,7.194174920981029,
mod_wd0,weight_norm,1495.0,2.8116948596186577,1.0004126643844944,0.007540609968819522,15.214840240604854,
mod_wd0,weight_norm,1595.0,2.797052911247406,1.0001560978174384,0.0036266091235644085,25.545169045584693,
mod_wd0,weight_norm,1695.0,2.764706085341767,1.0000364904151875,0.004374976838131781,31.317410389008508,
mod_wd0,weight_norm,1795.0,2.749669727597463,1.0000109760483902,0.005873349525984316,32.63819173408804,
mod_wd0,weight_norm,1895.0,2.7452380831018632,1.0000133951583021,0.007474112033460138,32.695122259479874,
mod_wd0,weight_norm,1995.0,2.734832045282165,1.000078869824749,0.009799744673999964,31.83587513493159,
mod_wd0,weight_norm,2095.0,2.68904883257909,1.0001868848840885,0.01340003392371316,30.312689194786337,
mod_wd0,weight_norm,2195.0,2.5145812344335035,1.0002881294352475,0.017940436842448382,28.5596256440773,
mod_wd0,weight_norm,2295.0,2.381944998766332,1.0002240561009892,0.022806467914936707,26.229485549850075,
mod_wd0,weight_norm,2395.0,2.276443902017672,1.0000864430867982,0.026940649516606623,23.723943542501303,
mod_wd0,weight_norm,2495.0,2.2487452020744167,1.0000206547479966,0.029304872732758107,21.580767492641936,
mod_wd0,weight_norm,2595.0,2.3001353172138805,1.0000773922402972,0.028849555642099105,18.66838971550704,
mod_wd0,weight_norm,2695.0,2.386670512077622,1.0001154527684881,0.02569613559618834,16.545629285083333,
mod_wd0,weight_norm,2795.0,2.467648856280323,1.0000954802765882,0.021741148977634576,17.30028061813683,
mod_wd0,weight_norm,2895.0,2.52836882382814,1.0000584926992326,0.01810807390012592,16.679644974324468,
mod_wd0,weight_norm,2995.0,2.575143409458694,1.0000330719024602,0.015304781791994156,13.784276991557228,
mod_wd0,weight_norm,3095.0,2.594539239770148,1.000020385571449,0.013224451877094983,11.35282040450025,
mod_wd0,weight_norm,3195.0,2.623594695444555,1.000011987895849,0.011571653944714374,9.85027216278326,
mod_wd0,weight_norm,3295.0,2.6328172005434665,1.0000083232617065,0.010362434832005215,8.183403338826396,
mod_wd0,weight_norm,3395.0,2.6383308947699167,1.0000051282536353,0.009348102595245439,8.057630112546196,
mod_wd0,weight_norm,3495.0,2.6491332049120455,1.0000037179774242,0.008520852457181975,7.934624237174949,
mod_wd0,weight_norm,3595.0,2.6616801172882267,1.0000028051391456,0.00785795011308738,8.055997553014816,
mod_wd0,weight_norm,3695.0,2.667403330966409,1.000001994426262,0.0072600874928803886,7.52949495768266,
mod_wd0,weight_norm,3795.0,2.6679870818258458,1.0000014881842776,0.006764170093777516,6.853422626579873,
mod_wd0,weight_norm,3895.0,2.7398427739003304,1.000001248880547,0.0063423343038471105,6.767360314169085,
mod_wd0,weight_norm,3995.0,2.7417597627731167,1.0000008921916277,0.005955718015171518,7.404199702737934,
mod_wd0,weight_norm,4095.0,2.7432956309067227,1.0000008159216713,0.005623268508621187,5.668354931303233,
mod_wd0,weight_norm,4195.0,2.7446565264240914,1.0000006574469005,0.005320551346135254,5.341183557973634,
mod_wd0,weight_norm,4295.0,2.7462558364903873,1.0000004675856728,0.005047196664669663,5.776057363703882,
mod_wd0,weight_norm,4395.0,2.7480629182671654,1.000000401409192,0.0048118126319272045,5.147746876289596,
mod_wd0,weight_norm,4495.0,2.7506057014006364,1.0000003348572337,0.004596873020082024,4.953123366722855,
mod_wd0,weight_norm,4595.0,2.7529502972216573,1.0000003433381306,0.004397484672230728,4.716220544585045,
mod_wd0,weight_norm,4695.0,2.7549789182873163,1.0000002930175766,0.00420656893558342,5.8293150255545,
mod_wd0,weight_norm,4795.0,2.757165537624551,1.0000002548328237,0.004033971422008012,5.561179783171505,
mod_wd0,weight_norm,4895.0,2.758909916034435,1.0000002195051485,0.0038792878821005184,5.74815363423043,
mod_wd0,weight_norm,4995.0,2.760699838015058,1.0000001736593718,0.0037373724463894338,5.237214700880829,
mod_wd0,weight_norm,5095.0,2.762158461887571,1.0000001565597416,0.003597527912585746,5.9128305473297305,
mod_wd0,weight_norm,5195.0,2.7634908853930447,1.0000001163180599,0.0034691667621792347,6.153329777369267,
mod_wd0,weight_norm,5295.0,2.7640271647099404,1.0000001406867245,0.0033591490791751687,6.093309904316589,
mod_wd0,weight_norm,5395.0,2.7638603578314163,1.0000001631142965,0.003259630421765941,7.513413765709135,
mod_wd0,weight_norm,5495.0,2.764033095750418,1.0000001410773178,0.003143799415173478,6.004791706657402,
mod_wd0,weight_norm,5595.0,2.764221953377206,1.0000001176542903,0.0030528631865662757,8.139607320900645,
mod_wd0,weight_norm,5695.0,2.763998769167142,1.0000001417607047,0.002964749889005026,6.530692332170172,
mod_wd0,weight_norm,5795.0,2.7637620131496914,1.0000001576057798,0.002883786439090215,6.531895768589022,
mod_wd0,weight_norm,5895.0,2.763848415696974,1.0000001304133852,0.002800502094477023,6.085030897449335,
mod_wd0,weight_norm,5995.0,2.7640687490658715,1.0000001040674036,0.0027399335960883275,5.824460153858646,
mod_wd0,weight_norm,6095.0,2.763725911407757,1.000000108830648,0.002638118984004889,6.378688198351501,
mod_wd0,weight_norm,6195.0,2.763791522682916,1.0000000869922383,0.0026047446805192113,6.228976389751496,
mod_wd0,weight_norm,6295.0,2.7638745988672615,1.0000000903530752,0.0025273989825508433,7.517469822091502,
mod_wd0,weight_norm,6395.0,2.763769597219367,1.0000000961604643,0.0024789104440940918,6.891915449510222,
mod_wd0,weight_norm,6495.0,2.763564270178459,1.0000001141049444,0.0024094126132505923,7.931440157697082,
mod_wd0,weight_norm,6595.0,2.7636278347790837,1.000000100678487,0.0023543479381281586,6.881536128716834,
mod_wd0,weight_norm,6695.0,2.763655909354748,1.0000000869131658,0.0022947803525261816,6.313073000444403,
mod_wd0,weight_norm,6795.0,2.763821001278305,1.0000000633662414,0.002253107895465849,5.970413636577588,
mod_wd0,weight_norm,6895.0,2.763546465050782,1.0000000556545756,0.0022056598621672907,6.862230038383482,
mod_wd0,weight_norm,6995.0,2.763551848545681,1.0000000487594418,0.0021681975118056375,7.087059611232448,
mod_wd0,weight_norm,7095.0,2.76341217728934,1.0000000633155004,0.002108357800719773,6.380911566770651,
mod_wd0,weight_norm,7195.0,2.763599680982041,1.0000000421215076,0.0020704462845260087,7.312685966780305,
mod_wd0,weight_norm,7295.0,2.763449692550819,1.0000000621894862,0.0020243222585523716,6.699272257935791,
mod_wd0,weight_norm,7395.0,2.7634101395693036,1.0000000736808643,0.0019785122293227778,6.622888616187823,
mod_wd0,weight_norm,7495.0,2.7632995404394194,1.000000092775905,0.0019456949351713908,6.2337793491765385,
mod_wd0,weight_norm,7595.0,2.763497209727555,1.000000088254324,0.0019142979769728686,6.712192509466364,
mod_wd0,weight_norm,7695.0,2.7633674308838607,1.000000092419282,0.0018681603733535844,7.189048180097501,
mod_wd0,weight_norm,7795.0,2.7632285628876296,1.0000001037609223,0.0018474997838485829,6.484376547196145,
mod_wd0,weight_norm,7895.0,2.7633191927603526,1.0000001067275806,0.001807658595319237,5.591521152489429,
mod_wd0,weight_norm,7995.0,2.7630832811492865,1.0000000828094777,0.0017668433571324674,5.820313460109439,
mod_wd0,weight_norm,8095.0,2.7633546903061648,1.0000000544843752,0.0017322169114432225,5.645807834018246,
mod_wd0,weight_norm,8195.0,2.7633232079080705,1.0000000551131132,0.0017164025191560954,5.336175876106583,
mod_wd0,weight_norm,8295.0,2.7632240493583446,1.0000000605551678,0.0017108484725252954,5.0537624480942345,
mod_wd0,weight_norm,8395.0,2.763004585674674,1.0000000848975439,0.0016627678349979596,5.957470061038359,
mod_wd0,weight_norm,8495.0,2.7631586847462377,1.0000000841411796,0.0016394669889429373,7.490091220172704,
mod_wd0,weight_norm,8595.0,2.763500192675092,1.0000000868846608,0.0016079323736137745,8.64941554145597,
mod_wd0,weight_norm,8695.0,2.7636251875997178,1.000000088486705,0.0015800134691191002,7.905808243089265,
mod_wd0,weight_norm,8795.0,2.7636042736774282,1.000000072189352,0.001570025432592679,6.857388054345817,
mod_wd0,weight_norm,8895.0,2.763970258562726,1.0000000430266045,0.0015457521108918155,6.440901756512888,
mod_wd0,weight_norm,8995.0,2.763900937627702,1.0000000495540835,0.0015138520293478364,5.729154928990273,
mod_wd0,weight_norm,9095.0,2.7641070269543944,1.0000000439209653,0.001500123197975375,5.132913936375738,
mod_wd0,weight_norm,9195.0,2.7642944134926073,1.0000000464355454,0.0014717792909424024,4.590583660539172,
mod_wd0,weight_norm,9295.0,2.7645336986896862,1.0000000396698698,0.001453254717188331,5.4850336102719215,
