run,column,smooth,seed,observed,surr_median,surr_max,p,n,generalises
mod_wd0,train_loss,101,0,1.0323918758366144,4.898925317974799,21.40478008480393,0.925,39,False
mod_wd0,train_loss,101,1,1.0323918758366144,6.280877679163468,21.269329327404048,0.95,39,False
mod_wd0,train_loss,101,2,1.0323918758366144,3.222631295044251,19.80119221099568,0.975,39,False
mod_wd0,train_loss,101,3,1.0323918758366144,3.107910717906559,14.102828740542012,0.825,39,False
mod_wd0,train_loss,101,4,1.0323918758366144,3.995058651132572,20.513955698287912,0.875,39,False
mod_wd0,train_loss,201,0,1.0323918758366144,2.514544455443554,29.68712398309804,0.9,39,False
mod_wd0,train_loss,201,1,1.0323918758366144,3.3836299076184884,22.712646920046335,0.95,39,False
mod_wd0,train_loss,201,2,1.0323918758366144,7.983896318669109,18.99584303097314,0.875,39,False
mod_wd0,train_loss,201,3,1.0323918758366144,2.463240509862499,31.806661178753814,0.85,39,False
mod_wd0,train_loss,201,4,1.0323918758366144,5.151423086885223,23.46198571795099,0.9,39,False
mod_wd0,train_loss,401,0,1.0323918758366144,4.727133060528687,23.379892343063332,0.95,39,False
mod_wd0,train_loss,401,1,1.0323918758366144,5.960008625725467,20.00384996235068,0.95,39,False
mod_wd0,train_loss,401,2,1.0323918758366144,5.206447312499428,19.621345135521402,0.825,39,False
mod_wd0,train_loss,401,3,1.0323918758366144,6.093272467964608,23.155828292080102,0.9,39,False
mod_wd0,train_loss,401,4,1.0323918758366144,4.095832379609507,19.72499913308017,0.85,39,False
mod_wd1,train_loss,101,0,1.3550441556471329,1.5088539338227078,2.587562564188167,0.65,39,True
mod_wd1,train_loss,101,1,1.3550441556471329,1.5113737445143116,2.654827449718857,0.675,39,True
mod_wd1,train_loss,101,2,1.3550441556471329,1.6215375965194054,2.5732970630276233,0.725,39,True
mod_wd1,train_loss,101,3,1.3550441556471329,1.4192769790767326,2.6701108737813075,0.65,39,True
mod_wd1,train_loss,101,4,1.3550441556471329,1.6586979101321915,2.6648391837303924,0.8,39,True
mod_wd1,train_loss,201,0,1.3550441556471329,1.516433161613945,2.328113166345797,0.65,39,True
mod_wd1,train_loss,201,1,1.3550441556471329,1.7923185955621197,3.226577938458942,0.775,39,True
mod_wd1,train_loss,201,2,1.3550441556471329,1.597377048144677,2.909851767476952,0.775,39,True
mod_wd1,train_loss,201,3,1.3550441556471329,1.7003634830919303,2.7033456687189683,0.75,39,True
mod_wd1,train_loss,201,4,1.3550441556471329,1.664909926435409,3.0863588171061846,0.725,39,True
mod_wd1,train_loss,401,0,1.3550441556471329,1.834743718526997,3.058828692511619,0.875,39,True
mod_wd1,train_loss,401,1,1.3550441556471329,1.812718848492912,3.7709349574488327,0.9,39,True
mod_wd1,train_loss,401,2,1.3550441556471329,1.754271129768188,3.3375797717868054,0.925,39,True
mod_wd1,train_loss,401,3,1.3550441556471329,1.8242869516049969,3.24931414554861,0.925,39,True
mod_wd1,train_loss,401,4,1.3550441556471329,1.8374043351876723,4.191211974098002,0.8,39,True
mod_wd1_s43,train_loss,101,0,2.048934494833673,2.2855364924164405,8.743126345987816,0.625,39,True
mod_wd1_s43,train_loss,101,1,2.048934494833673,2.05036282850155,6.95097122193842,0.525,39,True
mod_wd1_s43,train_loss,101,2,2.048934494833673,1.8816675964654679,12.485395838658201,0.375,39,True
mod_wd1_s43,train_loss,101,3,2.048934494833673,2.130745991948842,12.794688785622865,0.55,39,True
mod_wd1_s43,train_loss,101,4,2.048934494833673,2.0017076730253884,11.160563394191598,0.5,39,True
mod_wd1_s43,train_loss,201,0,2.048934494833673,1.952961653965566,6.906335086473104,0.475,39,True
mod_wd1_s43,train_loss,201,1,2.048934494833673,1.8961530515690554,8.229052839848181,0.475,39,True
mod_wd1_s43,train_loss,201,2,2.048934494833673,1.9077345370064445,4.961782293975232,0.475,39,True
mod_wd1_s43,train_loss,201,3,2.048934494833673,2.5611690917722165,10.513381265356887,0.625,39,True
mod_wd1_s43,train_loss,201,4,2.048934494833673,2.1402360785163133,6.904542544865401,0.575,39,True
mod_wd1_s43,train_loss,401,0,2.048934494833673,2.041119983039534,4.089812273099212,0.5,39,True
mod_wd1_s43,train_loss,401,1,2.048934494833673,2.324526762364758,4.897214136146002,0.675,39,True
mod_wd1_s43,train_loss,401,2,2.048934494833673,2.209422071182475,3.8615161925448502,0.625,39,True
mod_wd1_s43,train_loss,401,3,2.048934494833673,2.160923468412511,3.6125415287958433,0.575,39,True
mod_wd1_s43,train_loss,401,4,2.048934494833673,2.13276837749313,5.037753266073948,0.625,39,True
