run,column,smooth,seed,kind,i,depth,n_windows,grid_match
mod_wd0,weight_norm,101,1,surrogate,34,2.2414422876008944,195,True
mod_wd0,weight_norm,101,1,surrogate,35,1.4509291489444054,195,True
mod_wd0,weight_norm,101,1,surrogate,36,0.7532875893505775,195,True
mod_wd0,weight_norm,101,1,surrogate,37,2.974688086986504,195,True
mod_wd0,weight_norm,101,1,surrogate,38,1.7978807890154562,195,True
mod_wd0,weight_norm,101,2,observed,-1,0.9998327184567153,195,True
mod_wd0,weight_norm,101,2,surrogate,0,1.5389266083193862,195,True
mod_wd0,weight_norm,101,2,surrogate,1,2.3512978582638833,195,True
mod_wd0,weight_norm,101,2,surrogate,2,2.159107327938643,195,True
mod_wd0,weight_norm,101,2,surrogate,3,1.7127327447287493,195,True
mod_wd0,weight_norm,101,2,surrogate,4,4.1351621978061,195,True
mod_wd0,weight_norm,101,2,surrogate,5,2.5645763227710923,195,True
mod_wd0,weight_norm,101,2,surrogate,6,2.5593082322540353,195,True
mod_wd0,weight_norm,101,2,surrogate,7,1.192460300472191,195,True
mod_wd0,weight_norm,101,2,surrogate,8,3.4644856590223596,195,True
mod_wd0,weight_norm,101,2,surrogate,9,1.8846144201850474,195,True
mod_wd0,weight_norm,101,2,surrogate,10,1.708330688923868,195,True
mod_wd0,weight_norm,101,2,surrogate,11,1.771726135361344,195,True
mod_wd0,weight_norm,101,2,surrogate,12,2.519366594196252,195,True
mod_wd0,weight_norm,101,2,surrogate,13,2.3665857524809444,195,True
mod_wd0,weight_norm,101,2,surrogate,14,3.8811058580528317,195,True
mod_wd0,weight_norm,101,2,surrogate,15,2.718993059294414,195,True
mod_wd0,weight_norm,101,2,surrogate,16,3.311758773621772,195,True
mod_wd0,weight_norm,101,2,surrogate,17,2.2342443958496565,195,True
mod_wd0,weight_norm,101,2,surrogate,18,3.3483711418517035,195,True
mod_wd0,weight_norm,101,2,surrogate,19,1.8809348375747286,195,True
mod_wd0,weight_norm,101,2,surrogate,20,1.5384085737364237,195,True
mod_wd0,weight_norm,101,2,surrogate,21,3.2448563178645946,195,True
mod_wd0,weight_norm,101,2,surrogate,22,2.15621371790462,195,True
