step,ipr_u1,ipr_u2,ipr_w,erank_w1,erank_w2,w1_norm,w2_norm,sv1_0,sv2_0,sv1_1,sv2_1,sv1_2,sv2_2,sv1_3,sv2_3,sv1_4,sv2_4
0,0.040735951637306145,0.04010777570491066,0.040500116309834286,139.0554422896677,81.11975280916292,1.0023535693765804,0.998861993495237,35.86413479212756,31.89225145155409,35.535001178070935,31.053384478223514,35.38759461965741,30.886356167609783,34.900475055029546,30.299214858229366,34.78574383598283,30.120977300764068
100,0.040739957203705233,0.04010508740057134,0.04049855512975401,139.05762017786236,81.07664637808863,1.003090175639116,0.999610735427929,35.89659340544964,31.874514987625346,35.555458506038015,31.320726580279636,35.41557723462616,30.959289196501032,34.9473346501379,30.393574308467894,34.80335081590542,30.10776297134783
200,0.040743607095196886,0.04010200283382244,0.04086629600830943,139.05071854945461,80.73216582901469,1.0058697000504626,1.002408630634274,36.00219046666345,33.36082208148512,35.65075185621015,31.845184815311924,35.51731253446589,30.952497637378887,35.0695778949101,30.52563068573617,34.89422469942813,30.111524761857762
300,0.04074692738982526,0.0400986084596698,0.04188103826255954,139.03558890815134,79.48811413956989,1.010467352761434,1.00703003895279,36.17308527305897,38.161984389476174,35.812487020315785,31.85600089698546,35.684584821330446,30.942989455930217,35.25894333352634,30.604026450382563,35.05051408616551,30.12445043009922
400,0.04074996145282232,0.04009500591811093,0.04385484875871643,139.01271724221348,76.69442859913136,1.01668489886857,1.013275912408707,36.40244645858913,44.46846976788165,36.03345320630742,31.871042241898774,35.91015570093055,30.939797580090175,35.50819051483604,30.656874226409627,35.26525760806735,30.146382412539996
500,0.04075276105661945,0.040091303663399115,0.04704377905746101,138.98240279808394,72.0185226478291,1.0243400903441933,1.0209632198663832,36.68404689983916,51.3401508869875,36.30718642614621,31.89365489338398,36.187364820521374,30.944261590012626,35.81064154990061,30.705536894874843,35.532028789164904,30.17852467364325
600,0.040755379303162594,0.04008760918618892,0.05159520583602555,138.9448966145682,65.68529837467412,1.0332591319566717,1.029917410617875,37.01197154323296,58.37377770951735,36.627649786752805,31.924232637092203,36.5098581553301,30.956940669602865,36.159850580786724,30.757874047443856,35.8446915678265,30.221578856033727
700,0.040757862128324815,0.040084023382680474,0.057528678679777824,138.90051038044047,58.39527169681815,1.0432715219110944,1.0399672599511731,37.380413964686475,65.37549841096838,36.9889895694859,31.96308291168181,36.871435772438765,30.978304034022496,36.54937227655657,30.817355359793634,36.197232282518094,30.275453886912622
800,0.04076024474619244,0.040080633926943846,0.06474196692496453,138.8496990269268,50.984500404633984,1.054206921319639,1.0509417288452705,37.78354313207134,72.23599712872273,37.385349736997135,32.010589261973664,37.266009372793945,31.008858987505256,36.97259182061167,30.885932104250276,36.58366497566529,30.339725765752068
900,0.04076254547610752,0.0400775102668382,0.07303305043156848,138.7931168132874,44.10578312583768,1.0658938692548767,1.062668701192363,38.215442945408434,78.88356142596938,37.81075667377632,32.06721351103637,37.687656313822124,31.049203015683972,37.42262433380808,30.96494346113103,36.99799764596512,30.41407934148668
1000,0.04076476264438449,0.0400746998094757,0.08212986376540882,138.73164226531978,38.110432004749796,1.0781602305650102,1.0749754303835466,38.670114173907486,85.26481198674749,38.25909082190662,32.1334877167273,38.13073217501679,31.10013517695114,37.89226213339338,31.0553456161507,37.434255113330764,30.498432726192977
1100,0.040766872791331524,0.040072225124074365,0.0917215776119576,138.6663783859398,33.0959771560171,1.0908351795138795,1.087690536148017,39.14153145042478,91.33645964943018,38.724164290012624,32.20999853158673,38.58998844827613,31.16601883756547,38.37400059094629,31.154483844057317,37.88654782939885,30.59290348658826
1200,0.04076882997533466,0.04007008205160863,0.10148723227785121,138.5986167767255,29.008186888340354,1.103752547578478,1.1006473777376578,39.62375753389456,97.061938366595,39.199885659869366,32.29738053773084,39.06060680401549,31.277194903810553,38.86023100558078,31.233722814943793,38.34918028558167,30.69777040172362
1300,0.040770567579300504,0.04006824117586473,0.11111939106359889,138.52977709464025,25.726795696338854,1.1167551029268379,1.1136883020630706,40.1110968933363,102.41035962718955,39.68047713076924,32.39630603284898,39.53797670014343,31.408234293604618,39.34374943372347,31.320191831671927,38.816778246880276,30.81346023942976
1400,0.04077200128191143,0.04006664932287838,0.12034176844890988,138.46132909877593,23.11727737248614,1.1296992928678065,1.1266694409182978,40.59826943509159,107.35656531825354,40.16068579418619,32.50748291569639,40.0172429999864,31.554847976612894,39.818550254198726,31.419854470403994,39.28441317856841,30.940578685088926
1500,0.04077303385167114,0.04006523439824008,0.12892078807665883,138.3946969541206,21.055581079866727,1.1424598499180856,1.139465288695219,41.08058852640056,111.88159987035131,40.63597607690658,32.6316527333154,40.493118799594605,31.717602470367364,40.28037231965721,31.53374661975672,39.747703891749374,31.079972474943457
1600,0.040773561791335025,0.040063911327494574,0.13667158616011427,138.33117005698003,19.436900822474247,1.1549337073797334,1.1519726287649603,41.554117180830985,115.97321591892776,41.10265101062338,32.76959360921354,40.96038736345969,31.897124103308997,40.72653662617661,31.66272485099283,40.20288960320918,31.232813760059628
1700,0.04077348178667063,0.040062587763132686,0.14345934231181423,138.27182066873021,18.176627729477154,1.1670427258511753,1.1641132560490175,42.01578460417075,119.62615634465837,41.557900167716575,32.92213561358554,41.41467952728487,32.09393891026405,41.155441388904826,31.807574087879235,40.6468694266128,31.40067087937454
1800,0.04077269565340601,0.04006117156582984,0.1491970091228698,138.21744847211383,17.208135195736443,1.178734912436202,1.1758351755110326,42.463446693571655,122.8420891182371,41.9997809125395,33.09017915027279,41.85295030647936,32.30842452297859,41.56625564023382,31.969010189633195,41.077230158501266,31.58547875209053
1900,0.040771116913507724,0.040059575682370466,0.1538404963350406,138.16854725707688,16.479692002434064,1.1899840501818144,1.1871122400819052,42.8958879083833,125.62915329563042,42.42717447561597,33.274730050093,42.273563650301284,32.54076791245867,41.958842588671416,32.147686349238754,41.492275076969,31.789313810985224
2000,0.04076867255698641,0.0400577219822139,0.1573823507589459,138.12530233688034,15.951480201746357,1.2007879197346392,1.1979423325227263,43.31277367510025,128.00116267318694,42.839742614298,33.47695182242282,42.67615075679562,32.790921915159075,42.33375963864645,32.3442307783544,41.89105837894041,32.013972221935916
2100,0.04076530575225166,0.04005554471815769,0.15984478573130845,138.08761100848994,15.593063896825385,1.2111653383227243,1.2083444379175314,43.7145561995627,129.97655345999328,43.23788432292358,33.69823114773083,43.061366250468886,33.058548114187396,42.692224841481234,32.559316864896495,42.27338954917012,32.26057377974039
2200,0.04076097557696609,0.040052990768202255,0.1612727586193067,138.05512150513522,15.381366224241907,1.2211525542895034,1.2183549707242818,44.102359028641494,131.57718969043577,43.622671596973774,33.94025286229916,43.43064209573139,33.34295944288018,43.03604438881793,32.7937989056573,42.63981063842049,32.52941136138978
2300,0.04075565529086406,0.04005001915240387,0.16172759640013848,138.02728182409732,15.299103013795479,1.2307992903580618,1.2280238598583926,44.477847600393325,132.8271544281789,43.995747503108234,34.20505837318189,43.785971746354,33.64308805947068,43.36750199467995,33.04896407756487,42.99150983594839,32.81995011260756
