step,lam_max,eta_lam_over_2,power_iters,power_rel_change
0,8.827207409467519e-09,0.011034009261834399,30,0.02747120506085796
100,1.5971474809362007e-08,0.01996434351170251,23,8.842036844934364e-05
200,2.661806242088005e-08,0.033272578026100064,30,0.00023197091794749516
300,8.946445717583629e-08,0.11183057146979536,30,0.0024558805998219522
400,6.277995794334856e-07,0.784749474291857,30,0.0008294726171269028
500,8.983787438410218e-07,1.1229734298012772,30,0.001751026261850621
600,7.79905178660556e-07,0.974881473325695,30,0.0005026881095421311
700,1.4150766958209715e-07,0.17688458697762144,20,8.39549868709866e-05
800,1.2853153066316736e-06,1.606644133289592,30,0.0008285162430136233
900,4.2841952563321684e-07,0.535524407041521,30,0.0013785625692266622
1000,1.0592746093607275e-06,1.3240932617009094,30,0.003049752304217944
1100,9.080109748538234e-07,1.1350137185672793,30,0.001435779795263498
1200,8.692297797097126e-07,1.0865372246371408,30,0.0009707257266906152
1300,8.53215340157476e-07,1.066519175196845,30,0.001276155780412731
1400,8.537420512766403e-07,1.0671775640958003,30,0.00106483778851175
1500,8.551075438845146e-07,1.0688844298556432,30,0.0007613401154846529
1600,8.567949407733977e-07,1.070993675966747,30,0.0010837333449391544
1700,8.32458965760452e-07,1.040573707200565,30,0.0005907227104168839
1800,8.10650590210571e-07,1.0133132377632137,30,0.0005400699356207467
1900,8.192668019546545e-07,1.0240835024433181,30,0.0006652468997121565
2000,8.160617426256067e-07,1.0200771782820084,30,0.0007925434878461109
2100,8.035967198338767e-07,1.0044958997923459,30,0.0004892826445850728
2200,8.078745850070845e-07,1.0098432312588557,30,0.0004282212284024801
2300,8.032685627767933e-07,1.0040857034709916,30,0.00030761609907120743
2400,8.050847100093961e-07,1.006355887511745,30,0.0004423435381834614
2500,8.098903663267265e-07,1.0123629579084081,30,0.00046266980409948467
2600,8.019198958209017e-07,1.0023998697761272,30,0.00045032707369485955
2700,8.112196496767865e-07,1.0140245620959831,30,0.0005379392951937153
2800,8.076212338892219e-07,1.0095265423615274,30,0.0004461626527864262
2900,7.994495945240487e-07,0.9993119931550609,30,0.00041673581452191704
3000,8.047724691095937e-07,1.005965586386992,30,0.0004105890876255597
3100,8.068099077718216e-07,1.008512384714777,30,0.00041793631614360044
3200,8.044752348723705e-07,1.0055940435904631,30,0.000363752552733168
3300,8.093055043900677e-07,1.0116318804875846,30,0.0004955240238545476
3400,8.046084758461802e-07,1.0057605948077253,30,0.000296789320275451
3500,8.049522648434504e-07,1.006190331054313,30,0.0004618360312607912
3600,8.077007578322082e-07,1.0096259472902602,30,0.0004977753180293756
3700,8.061627454480913e-07,1.0077034318101141,30,0.00026328843304248683
3800,8.07894821264199e-07,1.0098685265802487,30,0.0003553176201796767
3900,8.04131559561938e-07,1.0051644494524226,30,0.0003542942842407188
