run,lr,at_eos,diverged,nn_over_travel,nn_over_scale,rises,n
eos_lr100000_s1,100000.0,False,False,1.0065030534858783,0.04239001769090837,0.0,3
eos_lr100000_s2,100000.0,False,False,1.0064921604389454,0.040656412195747366,0.0,3
eos_lr300000_s1,300000.0,False,False,1.0065523760625186,0.056683841655208116,0.0,5
eos_lr300000_s2,300000.0,False,False,1.0065524029340578,0.056646614481741894,0.0,5
eos_lr1e+06_s1,1000000.0,True,False,0.06483984102757212,0.00716075182791236,0.44993124140517565,6
eos_lr1e+06_s2,1000000.0,True,False,1.0076060183025544,0.05873583585315627,0.49993749218652334,6
eos_lr1.5e+06_s1,1500000.0,True,False,1.0131082394511999,0.05967294534500071,0.5000625078134767,6
eos_lr1.5e+06_s2,1500000.0,True,False,1.012871095868325,0.05953704790139945,0.49993749218652334,6
eos_lr2e+06_s1,2000000.0,True,False,1.0131449685579348,0.06006714635018841,0.5000625078134767,6
eos_lr2e+06_s2,2000000.0,True,False,1.013142540992538,0.0598612947632857,0.49993749218652334,6
eos_lr2.5e+06_s1,2500000.0,True,False,0.02630072764756614,0.004989041568372627,0.5000625078134767,6
control: 2-torus,,False,False,0.007676274418037591,0.0074214901394094816,0.5025628203525441,1
control: monotone decay,,False,False,1.0065002847684834,0.052279285326038163,0.0,1
