run,val_at_20k,x_chance_at_20k,rho_10k_20k,t_gen
grokpos_s0,1.0,113.0,,5070.0
lowdata15_s0,0.006471548507462686,0.7312849813432836,-0.1795812091268927,
lowdata15_s1,0.0031580379353233832,0.3568582866915423,-0.2739560892854624,106380.0
lowdata15_s2,0.0018462375621890548,0.20862484452736318,0.3683219094706454,
lowdata20_s0,0.008444107587064677,0.9541841573383085,-0.07550547654972332,38380.0
wd0_s0,0.05859375,6.62109375,0.325874355837354,
wd0_s1,0.072265625,8.166015625,-0.7218738091988002,
