run,n_rows,n_params,dim,t_mem,t_gen,final_val_acc
a_add,3001,145500,1024,9170,11950.0,1.0
g_p1_p97,3001,145500,1024,7410,12560.0,1.0
g_p1x_p97,3001,145500,1024,10050,,0.0095642933049946
x_no_grok,3001,145500,1024,9760,,0.0099893730074388
