run,right_step,left_step,PR_pos,PR_pos_sketchsd,PR_pos_det,PR_pos_det_sketchsd,PR_step,PR_step_sketchsd,PR_step1,PR_step1_sketchsd,PR_step5,PR_step5_sketchsd,PR_step20,PR_step20_sketchsd,fn_PR_pos,fn_PR_pos_sketchsd,fn_PR_pos_det,fn_PR_pos_det_sketchsd,fn_PR_step,fn_PR_step_sketchsd,fn_PR_step1,fn_PR_step1_sketchsd,fn_PR_step5,fn_PR_step5_sketchsd,fn_PR_step20,fn_PR_step20_sketchsd,move,pnorm,t_mem,t_gen
a_add,590,0,1.0039593818049237,2.256072970252543e-05,1.0009549789212075,1.7089738433284651e-06,1.0021588592435513,3.6792852668998677e-06,,,1.0016105927110956,9.734834904184808e-06,,,1.0052908136733751,0.0005240374284767313,1.013769039435148,0.0015899853687977306,1.0310875214364503,0.003590276135845283,,,1.0259933181676515,0.0030277244291877503,,,55.945201218128204,385.67104187011716,9170,11950
a_add,640,50,1.0037055736746736,1.6106442258023712e-05,1.001292603942053,8.496918751599303e-06,1.0029180374563689,1.9255114395044792e-05,,,1.0021704001527354,8.216469190469589e-06,,,1.0052020629549356,0.0005291536200158209,1.0139814932805606,0.0015513912122915308,1.03157360890101,0.0035059993165975634,,,1.0265127362206967,0.002999464012196973,,,56.26270419359207,386.66978047688804,9170,11950
a_add,690,100,1.0034616019872296,9.829275401718185e-06,1.001751146162317,1.9452120239127346e-05,1.0039468617077296,4.349159589944751e-05,,,1.0029422983799865,2.8574462075936502e-05,,,1.0051049395259104,0.0005304863126671666,1.014040847615115,0.001455395836030715,1.0317138743459486,0.0032922012230633957,,,1.0267446031607375,0.00286051171143642,,,55.60514748096466,387.8091074625651,9170,11950
a_add,740,150,1.0032299331146284,3.799453876407455e-06,1.0023508052206762,2.9703188816010417e-05,1.0052919889318637,6.655135524924471e-05,,,1.0039665549767083,4.861562488767124e-05,,,1.0050003940825136,0.0005282280361779135,1.0139484353540364,0.001307715268755838,1.0315118268934067,0.002962224351745646,,,1.0266840555472956,0.0026178620239544204,,,54.9972363114357,389.08001302083335,9170,11950
a_add,790,200,1.0030126032776114,1.943079809163528e-06,1.0031070327061515,3.71662090852265e-05,1.0069855169959137,8.300413307127386e-05,,,1.0052770851718924,6.561807621108251e-05,,,1.0048896373623148,0.0005226523222684465,1.0137133178126285,0.0011185166718574724,1.0309894441484504,0.002538696829902487,,,1.0263435663365765,0.002287636651448932,,,54.42698323726654,390.4737767537435,9170,11950
a_add,840,250,1.0028112702496634,7.372894279433773e-06,1.0040253490601747,3.864877806036837e-05,1.0090415595343947,8.681983386560344e-05,,,1.0068927526065443,7.471828380256618e-05,,,1.0047741051750614,0.0005140832722142497,1.0133501993519172,0.0009011809031768125,1.0301780301269998,0.002050852423885252,,,1.0257475776773086,0.0018937522541260243,,,53.88345110416412,391.98189646402994,9170,11950
a_add,890,300,1.002627256362522,1.2487945906025644e-05,1.0050951291023802,3.011133338859384e-05,1.011436884346813,6.77888660582937e-05,,,1.0088084558990094,6.625240939805987e-05,,,1.0046554262422362,0.0005029171710797531,1.0128788694010027,0.0006701415702152769,1.0291217895762668,0.0015313656111197727,,,1.0249288077330299,0.0014619849666069884,,,53.35667812824249,393.5960255940755,9170,11950
a_add,940,350,1.0024616388336065,1.7294243285448374e-05,1.0062819963660474,7.810174218803034e-06,1.014091663079834,1.882670557806776e-05,,,1.0109778321936664,3.772518212508125e-05,,,1.0045354073833468,0.000489571349403195,1.0123202309294839,0.00043930484653487145,1.027867010588018,0.001011908950323881,,,1.023926218229108,0.0010194960089316973,,,52.83763271570206,395.3079355875651,9170,11950
a_add,990,400,1.0023152433603686,2.1836229608718227e-05,1.0075220964147416,3.138014147419099e-05,1.0168673264301273,7.006309720747339e-05,,,1.013306425138309,2.4843851884948087e-05,,,1.0044160150979327,0.0004744869622684833,1.0116958178073256,0.00022074292974738619,1.0264619788000893,0.0005187246677227364,,,1.022781909866143,0.000592296544909332,,,52.318182945251465,397.1094772338867,9170,11950
a_add,1040,450,1.0021887589740839,2.617708043717304e-05,1.008720312028665,8.8451835609904e-05,1.0195481462888145,0.00019682383396379954,,,1.0156337468353147,0.00011914459743500583,,,1.004299345800124,0.0004581118626989511,1.0110268584854774,2.3615326256498648e-05,1.0249564329282903,7.378837996063758e-05,,,1.0215375220449567,0.00019767832745487546,,,51.79108840227127,398.99256337483723,9170,11950
a_add,1090,500,1.0020827500620717,3.038467466365269e-05,1.0097626382365283,0.00015960198688935723,1.021885748821442,0.0003573310949699371,,,1.0177574632822481,0.00024659755389888627,,,1.0041876062306971,0.00044089437203920223,1.0103312812306338,0.00014574566017488966,1.0233879477370782,0.00031019084503269845,,,1.0202279068433513,0.00014583144823099303,,,51.249995052814484,400.9491541544596,9170,11950
a_add,1140,550,1.0019977299689915,3.454612285391789e-05,1.010530670516212,0.00023786217157550915,1.023608460408608,0.0005329965634610634,,,1.019450487930995,0.0003911963412859265,,,1.004083112094622,0.00042327129817343323,1.009625473260244,0.00028428887599585284,1.0217957074488468,0.0006245647264797594,,,1.0188870250718236,0.0004356399080965856,,,50.68945133686066,402.97125549316405,9170,11950
a_add,1190,600,1.001934216921324,3.875577041878575e-05,1.0109316919733327,0.0003104176141852655,1.0245127607149032,0.0006941503029921359,,,1.0205113523253324,0.0005337542575587495,,,1.0039882774224607,0.0004056579081767042,1.0089226312944937,0.0003913870586621515,1.0202104305122055,0.0008684164068822886,,,1.0175429572679864,0.000664004245323313,,,50.104915618896484,405.0509267171224,9170,11950
a_add,1240,650,1.0018927304896388,4.3145865102789394e-05,1.010919871858471,0.0003660761919669353,1.024497959612752,0.0008204788911065908,,,1.0208087564895458,0.0006559059476449747,,,1.0039055970203457,0.00038841628273622586,1.008233023921619,0.0004686191808800366,1.0186519653210127,0.001045306143526492,,,1.0162149552528108,0.0008329718097450645,,,49.49277478456497,407.1802947998047,9170,11950
a_add,1290,700,1.0018738425628402,4.785054541178724e-05,1.0105099868536507,0.0003965936195290398,1.0235900463283594,0.000887431825774998,,,1.0203282406330052,0.0007333823680714113,,,1.0038376057756806,0.0003718729780791685,1.0075649420567456,0.0005186351355452867,1.0171418608251095,0.0011610324851981657,,,1.0149231055068726,0.0009492260791421625,,,48.85035568475723,409.35157063802086,9170,11950
a_add,1340,750,1.0018781711549396,5.303436683035123e-05,1.0097703998897383,0.0004010618201036875,1.0219481004586597,0.0009005453787211959,,,1.019161931180308,0.00076191648763968,,,1.003786901376145,0.000356298954419465,1.0069238829140956,0.0005451430913385735,1.015692925642905,0.001223318334975132,,,1.013678325559551,0.0010175277580904973,,,48.17593401670456,411.55708567301434,9170,11950
a_add,1390,800,1.001906400322581,5.886096327101242e-05,1.0088036215835392,0.00038122312026045435,1.0197976906209063,0.0008555010817662412,,,1.0174845676716961,0.0007441098713520944,,,1.0037560950651003,0.0003419008886679231,1.006314000322391,0.0005523022471485284,1.0143121631464942,0.001242468851794687,,,1.012489988146985,0.001046756821585837,,,47.468738317489624,413.78931528727213,9170,11950
a_add,1440,850,1.001959264012791,6.553333869352418e-05,1.0077183859451275,0.0003437671131220066,1.0173784859731838,0.00077124842956644,,,1.0154961714167061,0.0006829824049425781,,,1.0037477913753043,0.0003288350128165529,1.0057377021198677,0.0005437871831959207,1.0130092357621225,0.0012247394525551902,,,1.011363795006123,0.0010420941630456815,,,46.728937208652496,416.04091796875,9170,11950
a_add,1490,900,1.0020374974977089,7.32619029629733e-05,1.006612752598344,0.00029761404358241705,1.0149128144811703,0.0006706932044050484,,,1.0134031698530814,0.0006038637622030052,,,1.0037645566404267,0.0003171502378751523,1.00519685284227,0.0005234488882501775,1.0117853690234182,0.00118038542115817,,,1.0103059438017015,0.0010119952724453318,,,45.95762461423874,418.3047815958659,9170,11950
a_add,1540,950,1.0021418050614637,8.230566582223542e-05,1.0055575993325174,0.0002487920668287069,1.0125537407986194,0.0005606047761107513,,,1.0113540371056093,0.0005097697887814778,,,1.0038088503517015,0.0003068267152985804,1.0046921211747333,0.0004945160486976574,1.0106428670032601,0.0011172858631924854,,,1.0093153897682547,0.0009643825314329391,,,45.156780660152435,420.57405446370444,9170,11950
a_add,1590,1000,1.0022727664118438,9.289948005430926e-05,1.0045987293771899,0.0002022259943790239,1.0104060539703226,0.0004572102780667775,,,1.0094577795742525,0.0004196407673532354,,,1.0038829442053316,0.00029772914466164035,1.0042233296897698,0.00045969645334575926,1.009581695097774,0.001038895790231198,,,1.0083939429921582,0.0009007421305295971,,,44.32922625541687,422.842197672526,9170,11950
