run,column,right_step,log_stride,MG,MG_2E,ident_ratio,LB,TwoNN,PRdelay,roughness,acorr,oscillations,degenerate
grokpos_s0,weight_norm,39990,10,13.188352743462508,20.734476858220336,1.5721809434084524,18.416880919804534,33.67378609441781,1.0172712667698338,0.006757975812691921,335.0,5.0,False
grokpos_s0,weight_norm,49990,10,12.265146573269934,18.9434229398123,1.5444921776227833,13.222550749071132,28.324802305601796,1.0024156350207982,0.025351005695639674,564.0,168.0,False
grokpos_s0,weight_norm,59990,10,12.649840841439957,19.256971792178266,1.522309413498218,13.746099099199645,22.714567292546974,1.0031194536451282,0.036555371250939675,924.0,149.0,False
grokpos_s0,weight_norm,69990,10,12.82188294069578,19.78252558972375,1.5428721102214533,14.021801256086423,21.07877265502069,1.0050002178149104,0.04407520648511281,826.0,98.0,False
grokpos_s0,weight_norm,79990,10,13.32188387671705,19.836378306210342,1.4890069970418236,14.38749918384245,19.44446942890923,1.0254598872948564,0.09731083720302115,571.0,204.0,False
grokpos_s0,weight_norm,89990,10,13.851472870294467,20.312391770783698,1.466442735800693,14.692219158064582,17.125282825607236,1.3331028354744787,0.32383576784199725,640.0,896.0,False
grokpos_s0,weight_norm,99990,10,14.11978239663043,21.263815765571756,1.505959169076585,14.944916170510496,16.563885172385934,2.2090700195396087,0.5073731106229626,568.0,1142.0,False
grokpos_s0,weight_norm,109990,10,14.164600552318262,21.767359838662692,1.5367436418883071,14.989496149290376,16.406906752261822,3.090000277791152,0.578862744987631,431.0,1132.0,False
grokpos_s0,weight_norm,119990,10,14.478596126242316,22.106150066111372,1.5268158510233039,15.316139600649178,17.2104762293219,5.161560200033854,0.6612204791583053,3.0,1124.0,False
grokpos_s0,train_loss,39990,10,16.163355971069265,25.959603841312386,1.6060775922882222,175.3664646071725,20.51484727599644,1.0128544449305408,0.05335866995584829,71.0,10.0,False
grokpos_s0,train_loss,49990,10,15.381169868895528,23.155905977102922,1.5054710515830012,16.227966425198098,18.097382123435303,14.078163791954662,1.5052521027986059,1.0,2159.0,False
grokpos_s0,train_loss,59990,10,15.510383801546391,23.644482169697053,1.5244292128567243,16.33040756435621,17.709677047365222,13.902602901039598,1.5074070430965127,1.0,2179.0,False
grokpos_s0,train_loss,69990,10,15.40414010636696,23.54944437543127,1.5287737071216088,16.27857233243687,17.2105833480664,14.20016825440269,1.499165042055322,1.0,2158.0,False
grokpos_s0,train_loss,79990,10,15.178946905506296,23.497784422086088,1.5480510320226537,15.958463508655065,16.731242764405607,13.813062246531524,1.5048172766146066,1.0,2186.0,False
grokpos_s0,train_loss,89990,10,15.131641776578308,23.481121788654356,1.5517894314019443,15.92353523872127,17.10495781532219,13.834700290060734,1.5186835575280828,1.0,2194.0,False
grokpos_s0,train_loss,99990,10,15.025077218224334,23.355542685528853,1.5544374478954601,15.828158441309048,16.26806107135868,13.73235162228422,1.513154779824468,1.0,2186.0,False
grokpos_s0,train_loss,109990,10,15.02778082329238,23.665959274139922,1.5748139763562932,15.810196449938289,16.422588311830477,13.108646489142878,1.5211365735010665,1.0,2215.0,False
grokpos_s0,train_loss,119990,10,15.025093521805974,23.450981338470193,1.560787711865866,15.868512541856086,16.546488971401665,13.43815703849761,1.5130799029266495,1.0,2195.0,False
grokpos_s0,val_loss,39990,10,16.61808975881479,25.22546811472359,1.5179523327188167,199.29313675705762,21.24322708525023,1.0219568826748526,0.008477469921848575,250.0,2.0,False
grokpos_s0,val_loss,49990,10,15.051364931526688,23.479167207963492,1.5599360798690007,15.921609205494864,17.137273023791973,3.7584755969796766,1.1374922749991052,1.0,1862.0,False
grokpos_s0,val_loss,59990,10,15.036377761866248,23.182131536000302,1.5417364409926237,15.913559382345126,16.23641596084786,4.316208573169075,1.1767097481476345,1.0,1841.0,False
