run,column,MG,MG_2E,ident,PRdelay,roughness,acorr,osc,degen,n
grokpos_s0,train_acc,15.271752703864292,114.57259743258169,7.502255939725293,1.0480654594756034,0.08937351453720915,65.0,14.0,1.0,1
grokpos_s0,train_loss,15.178946905506296,23.497784422086088,1.5517894314019443,13.813062246531524,1.5074070430965127,1.0,2186.0,0.0,9
grokpos_s0,val_acc,109.0767922499023,77.78123208360371,0.7130869039988054,1.0168056946150466,0.010414696231492312,290.0,2.0,1.0,1
grokpos_s0,val_loss,15.212896758457038,24.031889776937017,1.566422697436789,13.92565288856317,1.4506651325417375,1.0,2020.0,0.0,9
grokpos_s0,weight_norm,13.32188387671705,20.312391770783698,1.5268158510233039,1.0254598872948564,0.09731083720302115,568.0,204.0,0.0,9
lowdata15_s0,train_acc,0.49423343332515324,5.983167066160499,11.290707486817444,17.87342944517312,0.9120026214175364,2.0,232.0,1.0,9
lowdata15_s0,train_loss,3.756972128495621,6.298965783141311,1.6784546937022728,15.07269001032327,0.7553449085611962,3.0,332.0,0.0,9
lowdata15_s0,val_acc,10.225900517067382,16.274092001549118,1.6419945796271838,1.0472174750326808,0.12766327287573592,811.0,649.0,0.0,9
lowdata15_s0,val_loss,4.567304425833089,8.042052753535353,1.716234215127251,1.6776232038685983,0.09801494952909852,627.0,165.0,0.0,9
lowdata15_s0,weight_norm,4.703422578865603,7.522497663190315,1.5902124266715518,1.50051929416248,0.06708758917849733,378.0,161.0,0.0,9
lowdata15_s1,train_acc,0.4936993727862939,4.863383928803953,10.366190813095164,18.59257301975208,0.916469486988044,2.0,194.0,1.0,9
lowdata15_s1,train_loss,3.5583955954390154,5.658002947014667,1.5900432639549211,15.348441324563,0.7622709590036915,3.0,240.0,0.0,9
lowdata15_s1,val_acc,4.099643796272759,17.68428047384409,2.0073782020107656,1.0150443767893442,0.08548566880211941,664.0,276.0,0.5555555555555556,9
lowdata15_s1,val_loss,4.2569056405639065,6.042661940712885,1.5609400985545008,1.5966578911053415,0.07375483093093187,631.0,152.0,0.0,9
lowdata15_s1,weight_norm,4.424689253942598,6.311926142207389,1.3968735970020096,1.4362073631882224,0.059518105809678624,640.0,137.0,0.0,9
lowdata15_s2,train_acc,0.45537636099433354,4.75046295740486,10.281421783859443,17.993005865092726,0.9317440267934525,2.0,200.0,1.0,9
lowdata15_s2,train_loss,3.473723919745478,5.260750562873797,1.5246197397044825,14.225197827579928,0.7831298880751953,3.0,208.0,0.0,9
lowdata15_s2,val_acc,5.622982776770485,19.77133827839032,3.654745925818596,3.459288580053132,0.8536771241184009,211.0,859.0,0.2222222222222222,9
lowdata15_s2,val_loss,3.4524234123769744,4.91517028369978,1.424147513658441,3.103902970256946,0.1529974027376243,9.0,157.0,0.0,9
lowdata15_s2,weight_norm,4.418244102538282,6.871570506342397,1.5493854125446855,4.042613868219976,0.13879514643837063,11.0,153.0,0.0,9
lowdata20_s0,train_acc,0.5343252669150613,5.970672499261755,10.194728432554726,18.169198752843158,1.037588024151649,2.0,74.5,1.0,4
lowdata20_s0,train_loss,15.733246298643255,24.937579277137036,1.6258494674280002,7.420487184503224,0.646143009870245,5.0,151.0,0.0,9
lowdata20_s0,val_acc,23.402320515746116,48.13474859504173,2.0568365672393276,1.0052612439463948,0.013349872680037945,422.0,13.0,0.8,5
lowdata20_s0,val_loss,15.107865575117389,23.969417036076685,1.5887484075341727,3.5376942358684405,0.39032282159236537,26.0,96.0,0.0,9
lowdata20_s0,weight_norm,12.657830024639406,19.656618865069206,1.5841634724398228,1.0812061999792273,0.036906077169786576,728.0,90.0,0.0,9
wd0_s0,train_acc,5117.608250355729,950029.6356938005,94.23271974209894,4.582702665013869,0.6380892946035794,15.5,29.5,1.0,2
wd0_s0,train_loss,13.942831146709707,20.846092863528117,1.4950736552221564,1.166512472266474,0.3885757736028195,698.5,773.0,0.3333333333333333,6
wd0_s0,val_acc,1899974.5158002034,1899973.9854318418,0.999999720855013,1.051922769319285,0.04278242986372653,529.0,2.0,1.0,8
wd0_s0,val_loss,15.68239985247428,28.099911219760287,1.772360363865998,1.0000005687297855,0.00024073080651542,857.0,2.0,0.0,9
wd0_s0,weight_norm,15.60287763368161,28.003490330375072,1.7631943813633242,1.0000005535563037,0.00020462994719671777,858.0,2.0,0.0,9
wd0_s1,train_acc,70.51596513369,127.66529005380305,1.8104451922591518,1.1086941518437445,0.07920421134936399,32.0,4.0,1.0,1
wd0_s1,train_loss,13.492653765779078,19.86147232458443,1.4957258405577674,1.1087964707248297,0.32735450177216036,776.0,1384.0,0.1111111111111111,9
wd0_s1,val_acc,1899974.5158002034,1899973.9854318418,0.999999720855013,1.049778258021092,0.08169904253102638,506.5,6.5,1.0,4
wd0_s1,val_loss,15.601284854404872,28.024119553988672,1.766710670530177,1.0000005031621275,0.00022190177914553307,859.0,2.0,0.0,9
wd0_s1,weight_norm,15.584177653240825,28.109469021418825,1.772412013394553,1.0000004319210796,0.000198495388168102,858.0,2.0,0.0,9
