run,n_rows,n_params,dim,t_mem,t_gen,final_val_acc
mod_wd0,2000,226816,1024,630,,0.033203125
mod_wd1,2000,226816,1024,1470,13700.0,1.0
mod_wd1_s43,2000,226816,1024,1580,6660.0,1.0
mod_wd1_s44,2000,226816,1024,1410,3680.0,1.0
s5_wd0,3000,228608,1024,1015,,0.015625
s5_wd1,3000,228608,1024,1280,6735.0,1.0
