run,stat,plateau,dip,at,recovered,depth
mod_wd1,fn_PR_step5,14.88711388680316,4.034213055570399,795.0,13.77260386858421,3.6902150882306994
mod_wd1,fn_PR_step20,4.69517344126071,2.6647929924849807,1545.0,5.475658581038511,1.7619280201132446
mod_wd1,PR_step20,3.4549811464395255,1.0447119254948074,2295.0,1.7539799508541771,3.3071137240087896
mod_wd1,PR_pos_det,4.312956145689483,1.0233232644242491,2295.0,1.2390627950692383,4.214656595456251
mod_wd1,move,112.68088742298073,11.701650617614533,3795.0,11.457156990856006,9.62948656605435
mod_wd1_s43,fn_PR_step5,20.09407471876279,2.9600988683999,835.0,16.312099331586374,6.788312016626921
mod_wd1_s43,fn_PR_step20,5.860548372813879,2.22131690875068,835.0,5.782273677929664,2.638321596403814
mod_wd1_s43,PR_step20,3.967333867525843,1.0862558536019344,2085.0,2.0009532221706245,3.652301485299704
mod_wd1_s43,PR_pos_det,2.563795959943359,1.0394838251674563,2085.0,1.3013102856082037,2.4664125577233897
mod_wd1_s43,move,118.81636104428759,14.256842663531328,3835.0,13.45946356929044,8.333988376558091
mod_wd1_s44,fn_PR_step5,21.169080200492463,2.91143275854833,1065.0,17.489093184860685,7.271018071201336
mod_wd1_s44,fn_PR_step20,6.2542568353189765,1.6709039407163624,-2685.0,5.067952788499616,3.743037934686781
mod_wd1_s44,PR_step20,2.118077158694619,1.0599479882925564,2565.0,3.063359140102245,1.998284049867934
mod_wd1_s44,PR_pos_det,1.446337335479329,1.0249962007206443,2565.0,1.6142746846984466,1.411066045378951
mod_wd1_s44,move,110.17746087438098,15.158293309474097,3815.0,14.75412240977321,7.268460810526663
s5_wd1,fn_PR_step5,25.92081181085266,2.450057947990232,1012.5,20.364503332691303,10.579672955129633
s5_wd1,fn_PR_step20,6.308267892468107,1.3748066118146198,1012.5,5.75775087171359,4.588476545178792
s5_wd1,PR_step20,7.309807818323168,1.367998809935607,1262.5,6.765750744287333,5.343431416191983
s5_wd1,PR_pos_det,10.018905629315281,1.1768371936226418,1262.5,3.5370684064728692,8.513416880098955
s5_wd1,move,235.28675582903702,7.694918750565771,3887.5,7.350831470868826,30.576899309266587
