run,stat,early,min,at,end,depth
mod_wd0,fn_PR_step5,6.419209962238498,2.091178769593303,1995.0,4.731591452019748,3.0696610235225945
mod_wd0,fn_PR_step20,2.8291316455532582,1.378581605850108,1995.0,3.434991989164456,2.052204696151203
mod_wd0,PR_step20,1.0721715120197055,1.016672549335636,3245.0,5.649175088581708,1.0545888277600652
mod_wd0,PR_pos_det,1.022196392313944,1.0102564416928774,3495.0,2.7217939225322088,1.0118187324804968
mod_wd0,move,6.4617353376798725,0.0639174649530777,18995.0,0.06769265594801074,101.09498776935979
s5_wd0,fn_PR_step5,26.22858392722692,8.54979447429967,497.5,28.642328886429446,3.0677443774898876
s5_wd0,fn_PR_step20,6.463030381689084,2.779065273049828,497.5,6.995697436527306,2.3256130197317617
s5_wd0,PR_step20,7.415752324516558,4.539441269718885,497.5,7.828616561746518,1.633626669868954
s5_wd0,PR_pos_det,8.516901530653696,2.3362604998520227,497.5,6.175378879954253,3.6455273421748777
s5_wd0,move,241.8096302138178,234.66320425016332,14497.5,236.0862213319951,1.0304539690680947
